title:فاكهاني جوع, start timestamp:1703490804.053433, stop timestamp:1703490814.844164, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703490804.053433,1703490804.053425,15.000000,0.000000,4335.128418,4282.436035,4334.615234,4336.922852,4291.922852,4285.897461,4255.512695,4299.615234,4301.282227,4278.974121,4493.589844,4477.692383,4386.410156,4456.282227,5642.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.061241,1703490804.061333,16.000000,0.000000,4340.641113,4277.948730,4334.871582,4338.461426,4295.128418,4280.128418,4246.666504,4294.615234,4291.666504,4261.794922,4487.436035,4476.922852,4382.948730,4451.922852,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.689023,-0.112732,-0.683533,-0.212891,0.995239,0.133805,0.041509,-19.328773,-34.900646,64.746574
1703490804.069049,1703490804.069141,17.000000,0.000000,4348.461426,4284.358887,4340.641113,4348.333496,4305.897461,4281.794922,4250.769043,4292.948730,4281.153809,4255.769043,4482.563965,4477.948730,4381.153809,4457.820313,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.076857,1703490804.076949,18.000000,0.000000,4356.282227,4297.563965,4342.563965,4354.743652,4311.666504,4276.922852,4248.974121,4284.358887,4270.641113,4254.615234,4483.333496,4475.256348,4384.743652,4469.358887,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.084665,1703490804.084657,19.000000,0.000000,4359.102539,4305.000000,4342.692383,4355.000000,4305.256348,4267.179688,4243.846191,4278.461426,4265.641113,4245.769043,4483.461426,4471.666504,4387.692383,4467.820313,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.092474,1703490804.092465,20.000000,0.000000,4355.641113,4304.358887,4346.666504,4358.333496,4299.871582,4266.410156,4246.666504,4287.179688,4265.769043,4241.410156,4480.256348,4472.692383,4382.179688,4460.000000,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.688921,-0.112610,-0.683655,-0.212891,0.985472,0.124527,0.041021,-19.379230,-34.943916,64.821915
1703490804.100282,1703490804.100173,21.000000,0.000000,4353.205078,4300.384766,4349.487305,4358.205078,4299.487305,4266.282227,4250.384766,4295.128418,4267.948730,4246.538574,4482.307617,4476.922852,4378.589844,4460.384766,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.108090,1703490804.108081,22.000000,0.000000,4351.153809,4298.461426,4347.692383,4356.153809,4300.256348,4265.000000,4250.769043,4296.410156,4279.230957,4253.717773,4492.820313,4478.846191,4386.025879,4465.256348,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.115898,1703490804.115889,23.000000,0.000000,4342.563965,4293.717773,4340.769043,4352.563965,4300.769043,4272.179688,4252.179688,4302.051270,4297.179688,4260.384766,4495.000000,4476.025879,4388.077148,4461.538574,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490804.123706,1703490804.123797,24.000000,0.000000,4338.589844,4285.128418,4333.974121,4345.384766,4296.666504,4271.922852,4250.128418,4307.948730,4303.077148,4265.256348,4487.948730,4474.615234,4377.692383,4449.743652,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.688860,-0.112732,-0.683716,-0.212830,0.989867,0.128922,0.034184,-19.557974,-34.766190,64.889725
