title:محمد جوع, start timestamp:1703415638.755039, stop timestamp:1703415649.608231, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1391      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415638.755039,1703415638.755242,84.000000,0.000000,4233.461426,4213.846191,4318.589844,4337.307617,4249.102539,4153.846191,4199.487305,4251.025879,4231.666504,4208.589844,4577.563965,4477.692383,4413.333496,4541.666504,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,83.333336,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,21.000000,0.000000,0.657525,0.260681,-0.656006,0.263367,0.989867,-0.015139,-0.001953,-15.048675,-40.487270,64.244713
1703415638.762848,1703415638.762950,85.000000,0.000000,4240.897461,4211.025879,4320.256348,4337.179688,4251.153809,4149.487305,4196.410156,4247.051270,4230.128418,4201.666504,4581.666504,4473.461426,4410.384766,4545.256348,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.770656,1703415638.770758,86.000000,0.000000,4245.256348,4216.666504,4326.282227,4342.307617,4266.410156,4155.128418,4202.436035,4260.128418,4231.922852,4204.743652,4595.641113,4475.256348,4416.025879,4553.205078,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.778463,1703415638.778466,87.000000,0.000000,4244.871582,4219.230957,4322.563965,4340.769043,4262.307617,4159.615234,4200.000000,4263.974121,4236.282227,4206.538574,4588.333496,4477.948730,4418.077148,4548.589844,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.786272,1703415638.786374,88.000000,0.000000,4242.820313,4216.153809,4309.615234,4332.820313,4240.897461,4153.846191,4186.538574,4248.589844,4227.436035,4221.282227,4581.153809,4469.230957,4420.128418,4540.641113,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.657391,0.260681,-0.656067,0.263550,0.997680,-0.008302,0.010255,-14.910474,-40.605209,64.203575
1703415638.794080,1703415638.794182,89.000000,0.000000,4251.153809,4215.256348,4317.436035,4336.666504,4246.538574,4158.717773,4188.974121,4244.487305,4225.256348,4231.666504,4593.205078,4474.102539,4429.743652,4549.230957,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.801888,1703415638.802090,90.000000,0.000000,4264.871582,4217.948730,4329.358887,4343.846191,4263.333496,4179.871582,4201.538574,4256.538574,4232.436035,4212.948730,4598.077148,4493.333496,4431.538574,4562.436035,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.809696,1703415638.809899,91.000000,0.000000,4268.717773,4225.769043,4325.769043,4340.512695,4252.051270,4187.307617,4201.410156,4263.846191,4235.512695,4203.717773,4601.282227,4497.307617,4426.666504,4565.641113,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.817504,1703415638.817807,92.000000,0.000000,4268.589844,4227.179688,4325.769043,4340.256348,4247.051270,4176.666504,4197.820313,4262.051270,4235.769043,4226.538574,4609.102539,4491.922852,4433.846191,4562.563965,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.657148,0.260986,-0.656189,0.263550,0.990844,-0.007325,0.001465,-14.819427,-40.811356,64.233215
1703415638.825312,1703415638.825615,93.000000,0.000000,4266.794922,4220.000000,4327.820313,4344.358887,4264.102539,4173.333496,4200.769043,4261.282227,4235.897461,4229.358887,4604.487305,4496.410156,4443.205078,4558.333496,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.833120,1703415638.833523,94.000000,0.000000,4257.692383,4216.153809,4323.717773,4334.102539,4261.666504,4174.615234,4195.769043,4259.743652,4235.512695,4207.436035,4589.102539,4493.077148,4434.615234,4550.641113,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.840928,1703415638.841431,95.000000,0.000000,4247.307617,4210.128418,4321.538574,4321.282227,4244.743652,4171.922852,4190.384766,4251.025879,4233.461426,4205.641113,4584.487305,4483.333496,4423.717773,4539.871582,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.848736,1703415638.849239,96.000000,0.000000,4247.307617,4206.025879,4323.589844,4330.641113,4246.794922,4179.487305,4198.077148,4246.794922,4233.461426,4224.743652,4593.205078,4488.077148,4428.846191,4537.307617,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.657051,0.261230,-0.656189,0.263550,0.998169,-0.016604,0.002930,-14.787484,-40.730221,64.193230
1703415638.856544,1703415638.857148,97.000000,0.000000,4245.256348,4207.307617,4321.794922,4337.948730,4249.871582,4186.538574,4196.153809,4248.077148,4231.025879,4221.794922,4590.384766,4486.410156,4428.077148,4538.846191,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.864352,1703415638.864956,98.000000,0.000000,4239.743652,4207.051270,4318.205078,4327.307617,4254.102539,4182.948730,4187.436035,4249.230957,4228.333496,4210.256348,4590.256348,4478.717773,4424.487305,4535.384766,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.872160,1703415638.872764,99.000000,0.000000,4244.487305,4204.743652,4321.410156,4326.538574,4260.897461,4178.974121,4189.487305,4254.358887,4237.436035,4225.641113,4601.538574,4490.769043,4435.641113,4537.820313,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.879968,1703415638.880472,100.000000,0.000000,4250.769043,4211.153809,4328.974121,4341.410156,4254.358887,4175.641113,4191.282227,4261.794922,4247.820313,4238.077148,4606.153809,4507.820313,4440.512695,4544.102539,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.657076,0.261597,-0.656067,0.263428,0.992797,-0.006348,0.001465,-14.992069,-40.740532,64.073906
1703415638.887776,1703415638.888280,101.000000,0.000000,4246.794922,4216.794922,4327.692383,4340.897461,4252.692383,4169.615234,4185.000000,4257.436035,4238.077148,4222.692383,4602.179688,4501.282227,4435.897461,4541.410156,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.895584,1703415638.895988,102.000000,0.000000,4246.538574,4215.128418,4321.922852,4332.307617,4260.000000,4164.487305,4183.717773,4248.205078,4228.077148,4206.410156,4595.000000,4488.077148,4435.384766,4536.922852,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.903392,1703415638.903796,103.000000,0.000000,4252.692383,4215.769043,4326.025879,4340.897461,4251.153809,4164.230957,4185.769043,4255.769043,4239.871582,4221.666504,4593.846191,4496.025879,4442.051270,4540.769043,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.911200,1703415638.911504,104.000000,0.000000,4249.615234,4208.333496,4327.436035,4343.589844,4237.179688,4162.436035,4183.077148,4262.051270,4243.077148,4238.077148,4598.974121,4505.128418,4441.666504,4540.384766,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.657174,0.261841,-0.655945,0.263245,0.997192,-0.005372,0.011232,-15.326196,-40.599812,64.083183
1703415638.919009,1703415638.919312,105.000000,0.000000,4244.358887,4199.358887,4320.512695,4329.871582,4245.512695,4158.333496,4183.077148,4250.769043,4228.717773,4223.717773,4596.794922,4496.922852,4432.692383,4529.102539,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.926817,1703415638.927020,106.000000,0.000000,4248.461426,4206.666504,4318.846191,4323.205078,4256.410156,4155.128418,4183.974121,4245.384766,4228.333496,4210.897461,4589.743652,4491.794922,4432.948730,4527.948730,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.934625,1703415638.934828,107.000000,0.000000,4248.589844,4213.717773,4317.179688,4324.102539,4244.358887,4150.897461,4177.307617,4250.769043,4234.615234,4213.717773,4590.641113,4494.487305,4435.769043,4535.641113,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.942433,1703415638.942536,108.000000,0.000000,4246.282227,4212.820313,4317.820313,4329.102539,4242.692383,4149.743652,4172.948730,4246.922852,4231.538574,4227.051270,4591.153809,4493.846191,4441.922852,4537.436035,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.657162,0.261780,-0.656006,0.263184,0.999145,-0.006348,0.007813,-15.310243,-40.556496,63.958199
1703415638.950241,1703415638.950344,109.000000,0.000000,4253.846191,4214.230957,4323.846191,4338.717773,4263.077148,4154.871582,4174.358887,4241.410156,4225.641113,4225.769043,4586.922852,4496.282227,4440.641113,4537.051270,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.958049,1703415638.958052,110.000000,0.000000,4247.179688,4213.589844,4319.743652,4338.205078,4253.974121,4149.230957,4170.769043,4244.102539,4221.538574,4202.307617,4579.743652,4498.077148,4424.615234,4530.512695,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.965857,1703415638.965960,111.000000,0.000000,4229.743652,4208.846191,4312.051270,4331.794922,4228.974121,4131.153809,4165.256348,4244.102539,4223.333496,4200.128418,4577.563965,4498.333496,4423.974121,4523.333496,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.973665,1703415638.973769,112.000000,0.000000,4242.307617,4213.077148,4323.974121,4336.538574,4251.153809,4138.205078,4172.307617,4247.051270,4230.000000,4224.871582,4597.692383,4505.256348,4443.846191,4536.410156,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.657333,0.261536,-0.656006,0.263000,0.995727,0.002930,0.001465,-15.429218,-40.600845,63.929043
1703415638.981473,1703415638.981677,113.000000,0.000000,4250.384766,4218.333496,4328.974121,4342.051270,4276.153809,4152.563965,4176.794922,4251.666504,4233.846191,4226.153809,4606.025879,4501.410156,4443.333496,4540.256348,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.989281,1703415638.989485,114.000000,0.000000,4232.179688,4215.000000,4314.358887,4340.128418,4260.384766,4141.922852,4169.743652,4248.077148,4231.410156,4210.897461,4586.282227,4489.615234,4432.179688,4524.615234,5930.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415638.997089,1703415638.997393,115.000000,0.000000,4241.538574,4216.922852,4314.358887,4341.282227,4255.128418,4139.358887,4164.102539,4244.358887,4222.692383,4216.794922,4575.128418,4491.666504,4440.769043,4524.358887,6267.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415639.004897,1703415639.005201,116.000000,0.000000,4267.563965,4215.641113,4321.282227,4340.128418,4259.743652,4153.333496,4159.358887,4244.358887,4217.307617,4219.743652,4575.128418,4497.692383,4437.563965,4530.000000,6796.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.657441,0.261047,-0.656067,0.263062,0.994750,-0.009278,0.002442,-15.586296,-40.474094,63.819473
1703415639.012705,1703415639.013109,117.000000,0.000000,4269.358887,4203.333496,4313.717773,4337.179688,4248.974121,4153.974121,4154.358887,4244.871582,4224.743652,4209.487305,4577.051270,4494.358887,4427.563965,4526.153809,7342.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
