title:ملاح جوع, start timestamp:1703496089.020604, stop timestamp:1703496099.748864, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1375      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703496089.020604,1703496089.021081,83.000000,0.000000,4257.563965,4265.897461,4316.922852,4306.282227,4237.820313,4218.846191,4264.230957,4251.410156,4206.153809,4208.461426,4550.128418,4484.102539,4413.205078,4492.692383,6185.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.028412,1703496089.028989,84.000000,0.000000,4245.000000,4259.230957,4310.897461,4297.179688,4232.436035,4218.077148,4263.333496,4253.846191,4201.538574,4202.563965,4553.205078,4479.743652,4404.230957,4499.358887,6673.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.683787,0.292114,-0.618225,0.254761,0.981077,0.082530,0.068856,-18.983212,-39.231850,68.915054
1703496089.036220,1703496089.036797,85.000000,0.000000,4251.153809,4257.436035,4304.871582,4295.384766,4231.794922,4212.692383,4260.641113,4247.307617,4204.487305,4201.794922,4546.666504,4472.692383,4396.282227,4511.794922,6424.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.044028,1703496089.044705,86.000000,0.000000,4252.948730,4253.974121,4293.717773,4294.487305,4235.769043,4213.461426,4261.282227,4240.384766,4213.846191,4204.487305,4531.538574,4459.358887,4390.128418,4493.974121,5933.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.051836,1703496089.052513,87.000000,0.000000,4232.948730,4241.922852,4282.948730,4280.384766,4243.589844,4223.077148,4262.692383,4243.717773,4219.615234,4199.615234,4520.256348,4444.615234,4381.666504,4468.205078,6185.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.059644,1703496089.060421,88.000000,0.000000,4224.871582,4237.563965,4281.666504,4273.589844,4249.230957,4234.487305,4264.743652,4242.179688,4220.897461,4198.077148,4520.384766,4436.025879,4384.102539,4468.205078,6673.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.683673,0.292175,-0.618347,0.254700,0.986937,0.082041,0.066903,-19.051558,-39.241997,68.806885
1703496089.067452,1703496089.068229,89.000000,0.000000,4231.666504,4242.436035,4282.051270,4280.641113,4247.563965,4237.563965,4264.615234,4232.820313,4214.743652,4199.358887,4520.897461,4435.897461,4387.051270,4472.692383,6424.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.075261,1703496089.076037,90.000000,0.000000,4229.230957,4241.538574,4284.358887,4280.256348,4243.974121,4233.589844,4264.230957,4230.512695,4205.641113,4194.230957,4522.563965,4443.846191,4386.025879,4473.077148,5933.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.083068,1703496089.083845,91.000000,0.000000,4234.102539,4245.897461,4291.538574,4281.410156,4246.410156,4235.128418,4263.589844,4225.769043,4196.538574,4184.487305,4523.333496,4448.846191,4389.487305,4470.897461,6185.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703496089.090876,1703496089.091553,92.000000,0.000000,4250.256348,4260.897461,4301.922852,4295.128418,4247.820313,4233.205078,4264.230957,4212.436035,4186.153809,4180.897461,4523.333496,4451.794922,4390.769043,4468.589844,6673.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.683614,0.292236,-0.618408,0.254639,0.989867,0.089366,0.065438,-19.063068,-39.334465,68.742859
1703496089.098685,1703496089.099361,93.000000,0.000000,4254.743652,4264.615234,4308.461426,4298.333496,4245.769043,4222.051270,4262.436035,4214.487305,4189.743652,4189.743652,4531.922852,4461.410156,4396.794922,4490.641113,6424.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
