title:يمان جوع, start timestamp:1703417315.543425, stop timestamp:1703417326.279495, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703417315.543425,1703417315.543695,117.000000,0.000000,4253.461426,4250.897461,4319.102539,4280.641113,4231.282227,4226.153809,4233.077148,4202.179688,4206.538574,4215.384766,4541.794922,4485.256348,4382.692383,4482.563965,7411.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.551233,1703417315.551403,118.000000,0.000000,4250.769043,4246.153809,4318.589844,4275.769043,4222.051270,4222.692383,4232.563965,4199.487305,4202.436035,4204.743652,4534.615234,4481.922852,4379.230957,4480.128418,6087.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.559041,1703417315.559211,119.000000,0.000000,4240.769043,4235.384766,4307.436035,4265.000000,4216.410156,4216.922852,4232.179688,4201.538574,4197.563965,4207.051270,4518.717773,4466.666504,4363.717773,4463.077148,6347.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.566849,1703417315.566919,120.000000,0.000000,4235.897461,4230.256348,4304.615234,4260.897461,4224.615234,4224.743652,4233.589844,4207.307617,4199.358887,4212.179688,4516.666504,4465.641113,4357.563965,4458.846191,6855.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.709413,0.005371,-0.692017,0.133484,0.973263,-0.188011,0.047369,-12.665951,-48.081604,64.932312
1703417315.574657,1703417315.574827,121.000000,0.000000,4233.333496,4235.384766,4306.153809,4264.102539,4230.512695,4232.436035,4234.487305,4205.897461,4200.384766,4203.717773,4522.051270,4467.563965,4361.025879,4463.461426,7411.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.582465,1703417315.582635,122.000000,0.000000,4237.948730,4240.384766,4304.871582,4270.769043,4230.384766,4230.769043,4240.384766,4205.128418,4202.820313,4203.205078,4524.615234,4464.871582,4364.743652,4463.589844,6087.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.590273,1703417315.590544,123.000000,0.000000,4249.871582,4241.153809,4308.333496,4277.436035,4233.974121,4230.384766,4245.641113,4215.641113,4213.589844,4216.794922,4527.820313,4471.153809,4368.461426,4466.153809,6347.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.598081,1703417315.598352,124.000000,0.000000,4251.282227,4245.000000,4312.051270,4277.820313,4237.051270,4233.461426,4239.230957,4219.230957,4218.717773,4217.051270,4531.538574,4477.563965,4370.897461,4466.282227,6855.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.709401,0.005432,-0.692017,0.133545,0.972775,-0.178733,0.047369,-12.749356,-48.173443,64.772415
1703417315.605889,1703417315.606260,125.000000,0.000000,4241.025879,4242.820313,4308.974121,4274.230957,4235.769043,4228.205078,4232.179688,4215.384766,4217.307617,4212.179688,4536.153809,4476.794922,4374.871582,4465.769043,7411.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417315.613697,1703417315.614068,126.000000,0.000000,4239.358887,4234.102539,4310.512695,4275.000000,4232.051270,4221.153809,4234.102539,4216.922852,4217.051270,4214.102539,4537.820313,4477.436035,4379.615234,4472.948730,6087.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
