title:حازم جوع, start timestamp:1703494690.363222, stop timestamp:1703494701.130527, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494690.363222,1703494690.364144,93.000000,0.000000,4229.615234,4227.820313,4275.512695,4280.641113,4231.282227,4223.205078,4247.820313,4231.794922,4225.897461,4199.487305,4521.282227,4439.102539,4288.461426,4428.461426,7070.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494690.371030,1703494690.371852,94.000000,0.000000,4218.974121,4218.461426,4270.128418,4273.974121,4228.333496,4220.000000,4248.333496,4232.436035,4226.410156,4196.666504,4519.487305,4433.717773,4279.615234,4423.077148,5956.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703494690.378838,1703494690.379660,95.000000,0.000000,4215.000000,4222.051270,4267.563965,4272.563965,4233.461426,4229.358887,4248.589844,4230.897461,4220.512695,4195.256348,4516.794922,4430.512695,4275.512695,4415.256348,6214.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494690.386646,1703494690.387368,96.000000,0.000000,4216.410156,4215.897461,4268.717773,4274.615234,4240.128418,4227.820313,4245.769043,4230.384766,4217.563965,4196.282227,4515.512695,4429.102539,4277.436035,4410.256348,6715.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.720521,0.009766,-0.676270,0.153015,0.964473,-0.201196,0.092785,-14.217093,-43.669094,63.536129
1703494690.394455,1703494690.395176,97.000000,0.000000,4213.846191,4213.974121,4270.897461,4278.205078,4243.846191,4217.179688,4249.102539,4238.205078,4225.769043,4191.538574,4517.179688,4432.051270,4274.358887,4410.512695,7070.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494690.402263,1703494690.402884,98.000000,0.000000,4211.794922,4218.205078,4270.897461,4280.000000,4236.410156,4224.230957,4255.641113,4247.179688,4234.230957,4193.333496,4520.384766,4441.666504,4276.153809,4410.897461,5956.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494690.410071,1703494690.410692,99.000000,0.000000,4216.410156,4213.589844,4271.410156,4279.743652,4230.641113,4229.743652,4254.871582,4242.436035,4226.282227,4198.717773,4523.589844,4447.948730,4283.205078,4413.333496,6214.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494690.417879,1703494690.418400,100.000000,0.000000,4212.563965,4213.333496,4271.282227,4280.769043,4233.589844,4217.307617,4251.794922,4231.922852,4214.102539,4193.077148,4519.743652,4438.333496,4279.743652,4410.384766,6715.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.720443,0.009399,-0.676331,0.153137,0.955683,-0.196801,0.083018,-14.295384,-43.802185,63.649181
1703494690.425687,1703494690.426208,101.000000,0.000000,4204.871582,4218.717773,4268.333496,4277.948730,4231.410156,4217.563965,4253.077148,4233.333496,4222.051270,4191.922852,4516.282227,4429.230957,4275.384766,4404.102539,7070.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494690.433495,1703494690.433916,102.000000,0.000000,4211.410156,4222.563965,4271.666504,4278.717773,4237.051270,4233.461426,4258.333496,4236.794922,4228.974121,4199.487305,4521.666504,4434.358887,4279.230957,4408.974121,5956.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
