title:رشيد جوع, start timestamp:1703406739.743373, stop timestamp:1703406750.456018, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1373      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703406739.743373,1703406739.743442,88.000000,0.000000,4181.794922,4144.615234,4267.820313,4231.025879,4155.256348,4180.256348,4214.743652,4171.025879,4141.025879,4138.461426,4602.179688,4442.179688,4359.230957,4496.538574,6524.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.566748,0.287537,-0.657959,0.403992,0.967403,-0.197778,-0.039067,-10.719097,-43.398907,60.148499
1703406739.751181,1703406739.751350,89.000000,0.000000,4184.358887,4144.871582,4265.641113,4234.102539,4155.000000,4176.153809,4211.922852,4175.897461,4134.615234,4136.538574,4600.897461,4446.666504,4355.897461,4497.179688,7024.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406739.758989,1703406739.759158,90.000000,0.000000,4184.358887,4151.538574,4268.974121,4233.589844,4154.230957,4169.615234,4212.948730,4187.948730,4138.205078,4137.820313,4608.077148,4455.256348,4356.025879,4496.410156,5841.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406739.766797,1703406739.767066,91.000000,0.000000,4187.820313,4157.436035,4275.128418,4243.205078,4156.538574,4171.538574,4217.051270,4204.743652,4142.179688,4144.102539,4620.512695,4465.641113,4366.153809,4505.769043,6113.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406739.774605,1703406739.774874,92.000000,0.000000,4198.333496,4158.717773,4273.589844,4249.743652,4159.615234,4175.000000,4218.077148,4216.153809,4144.102539,4151.794922,4627.307617,4468.461426,4377.948730,4516.538574,6524.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.566806,0.287476,-0.657898,0.404053,0.972287,-0.190453,-0.024905,-10.697187,-43.459015,60.083649
1703406739.782413,1703406739.782782,93.000000,0.000000,4200.000000,4158.846191,4267.436035,4240.384766,4157.179688,4172.820313,4214.358887,4219.487305,4143.589844,4145.512695,4625.128418,4467.692383,4375.641113,4515.000000,7024.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406739.790221,1703406739.790590,94.000000,0.000000,4185.897461,4156.282227,4260.000000,4231.153809,4153.717773,4171.922852,4210.897461,4217.051270,4137.820313,4132.436035,4617.692383,4461.922852,4363.589844,4506.410156,5841.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406739.798029,1703406739.798497,95.000000,0.000000,4174.102539,4147.179688,4251.025879,4227.051270,4154.230957,4171.922852,4212.820313,4220.641113,4133.589844,4131.922852,4610.000000,4448.974121,4359.102539,4497.563965,6113.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406739.805838,1703406739.806305,96.000000,0.000000,4169.871582,4137.692383,4244.743652,4219.615234,4150.769043,4171.153809,4215.641113,4234.871582,4135.512695,4137.820313,4608.077148,4442.179688,4357.179688,4491.666504,6524.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.566763,0.287476,-0.657898,0.404114,0.971310,-0.209010,-0.029300,-10.694136,-43.479782,60.091953
1703406739.813645,1703406739.814213,97.000000,0.000000,4165.641113,4135.128418,4245.000000,4212.436035,4142.051270,4170.641113,4214.743652,4240.769043,4136.153809,4136.282227,4611.538574,4444.230957,4353.974121,4489.743652,7024.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
