title:صنجي حذف, start timestamp:1703492995.134004, stop timestamp:1703493005.924730, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492995.134004,1703492995.134480,77.000000,0.000000,4281.153809,4254.230957,4308.077148,4288.205078,4239.871582,4233.461426,4253.205078,4210.641113,4203.461426,4241.538574,4568.717773,4476.153809,4430.641113,4523.717773,7317.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.141812,1703492995.142388,78.000000,0.000000,4280.641113,4247.179688,4306.922852,4290.897461,4230.897461,4228.846191,4253.077148,4232.051270,4215.512695,4268.461426,4565.000000,4476.794922,4430.256348,4521.025879,5955.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.149620,1703492995.150196,79.000000,0.000000,4279.487305,4248.717773,4304.743652,4285.897461,4230.769043,4238.077148,4263.589844,4252.179688,4230.512695,4259.487305,4569.615234,4482.436035,4425.384766,4525.897461,6275.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.157428,1703492995.158104,80.000000,0.000000,4269.230957,4243.333496,4299.102539,4273.974121,4231.025879,4246.538574,4269.102539,4256.794922,4238.205078,4222.948730,4569.358887,4481.153809,4410.000000,4521.153809,6795.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.142361,0.672913,-0.057251,0.723633,0.983030,0.114272,0.086436,-19.258686,-30.412607,63.118538
1703492995.165237,1703492995.165912,81.000000,0.000000,4259.487305,4230.384766,4295.384766,4266.538574,4225.256348,4239.615234,4263.717773,4255.384766,4234.743652,4228.333496,4557.179688,4471.410156,4401.025879,4512.307617,7317.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.173045,1703492995.173820,82.000000,0.000000,4259.615234,4228.333496,4291.410156,4270.384766,4224.487305,4231.153809,4262.563965,4248.333496,4220.256348,4250.000000,4547.051270,4460.256348,4404.102539,4501.794922,5955.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.180853,1703492995.181629,83.000000,0.000000,4260.512695,4236.282227,4286.410156,4275.128418,4229.871582,4232.820313,4265.769043,4229.743652,4205.384766,4223.974121,4545.512695,4453.717773,4398.717773,4489.871582,6275.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.188661,1703492995.189537,84.000000,0.000000,4264.358887,4245.769043,4291.282227,4277.820313,4233.974121,4234.358887,4259.230957,4215.256348,4197.820313,4194.487305,4550.000000,4460.641113,4391.153809,4495.256348,6795.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.142410,0.672913,-0.057129,0.723633,0.981565,0.112807,0.080088,-19.166151,-30.338013,63.256683
1703492995.196469,1703492995.197345,85.000000,0.000000,4275.769043,4250.897461,4306.153809,4289.102539,4235.256348,4230.512695,4252.307617,4207.051270,4183.717773,4219.615234,4553.589844,4468.077148,4405.256348,4513.205078,7317.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492995.204277,1703492995.205253,86.000000,0.000000,4279.743652,4249.230957,4310.897461,4296.666504,4236.410156,4228.974121,4254.871582,4192.563965,4162.692383,4250.769043,4551.922852,4464.743652,4419.230957,4515.897461,5955.000000,4.000000,82.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
