title:فارس حذف, start timestamp:1703505248.560492, stop timestamp:1703505259.163830, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1359      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703505248.560492,1703505248.560516,17.000000,0.000000,4223.461426,4218.205078,4260.641113,4246.922852,4160.512695,4243.974121,4265.256348,4215.769043,4198.333496,4184.358887,4416.538574,4369.358887,4328.846191,4323.461426,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.568300,1703505248.568424,18.000000,0.000000,4229.615234,4221.153809,4262.948730,4248.846191,4170.512695,4245.769043,4267.563965,4222.692383,4200.128418,4183.846191,4423.077148,4377.179688,4327.820313,4324.358887,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.576108,1703505248.576232,19.000000,0.000000,4232.307617,4222.692383,4271.153809,4248.077148,4164.871582,4244.743652,4265.512695,4230.769043,4200.384766,4186.025879,4428.717773,4385.256348,4333.717773,4332.692383,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.583916,1703505248.584140,20.000000,0.000000,4230.256348,4221.153809,4276.153809,4251.153809,4161.666504,4244.871582,4266.410156,4233.717773,4208.077148,4195.384766,4432.563965,4387.820313,4337.179688,4329.615234,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.305451,-0.721069,-0.062866,-0.618713,0.917104,-0.373581,-0.038091,-5.460606,-49.235905,61.095135
1703505248.591725,1703505248.591948,21.000000,0.000000,4229.487305,4216.410156,4269.743652,4249.615234,4167.692383,4246.538574,4266.666504,4233.461426,4217.820313,4206.922852,4441.666504,4391.922852,4341.025879,4325.897461,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.599532,1703505248.599855,22.000000,0.000000,4230.000000,4214.487305,4271.410156,4248.333496,4173.333496,4247.051270,4267.563965,4235.128418,4216.794922,4208.974121,4444.102539,4395.769043,4348.461426,4332.051270,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.607340,1703505248.607763,23.000000,0.000000,4223.333496,4218.589844,4272.692383,4251.025879,4169.102539,4247.436035,4268.717773,4234.230957,4207.563965,4200.384766,4433.333496,4387.051270,4343.077148,4328.846191,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.615149,1703505248.615571,24.000000,0.000000,4215.769043,4216.794922,4263.205078,4247.179688,4159.871582,4247.436035,4265.128418,4223.846191,4195.256348,4189.615234,4420.897461,4376.282227,4326.282227,4314.871582,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.305621,-0.721008,-0.062744,-0.618713,0.927848,-0.361861,-0.037114,-5.631212,-49.445648,61.085621
1703505248.622957,1703505248.623379,25.000000,0.000000,4221.666504,4215.128418,4262.820313,4247.563965,4163.461426,4246.794922,4264.487305,4217.948730,4191.666504,4183.205078,4417.563965,4379.230957,4318.974121,4312.820313,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.630765,1703505248.631087,26.000000,0.000000,4226.538574,4218.717773,4268.333496,4258.333496,4168.205078,4247.563965,4267.436035,4222.820313,4199.358887,4188.974121,4424.358887,4384.743652,4323.974121,4322.307617,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.638573,1703505248.638895,27.000000,0.000000,4223.974121,4218.205078,4271.666504,4263.974121,4156.794922,4246.025879,4266.922852,4222.563965,4199.487305,4193.333496,4428.589844,4382.692383,4324.487305,4320.000000,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.646381,1703505248.646603,28.000000,0.000000,4230.256348,4221.666504,4277.307617,4267.563965,4151.410156,4245.769043,4265.256348,4215.000000,4191.538574,4187.436035,4426.153809,4381.410156,4325.256348,4316.538574,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.305353,-0.720886,-0.062439,-0.619019,0.927359,-0.364302,-0.040532,-5.668091,-49.351082,61.093727
1703505248.654189,1703505248.654411,29.000000,0.000000,4231.794922,4226.025879,4279.102539,4273.205078,4160.384766,4249.230957,4271.025879,4216.794922,4192.051270,4183.846191,4424.871582,4384.102539,4327.051270,4320.897461,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703505248.661997,1703505248.662119,30.000000,0.000000,4219.230957,4214.615234,4278.974121,4268.461426,4153.846191,4250.384766,4275.384766,4221.025879,4197.563965,4185.641113,4425.256348,4387.436035,4312.692383,4315.384766,0.000000,3.000000,56.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
