title:فاكهاني حذف, start timestamp:1703490979.945493, stop timestamp:1703490990.751840, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1385      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703490979.945493,1703490979.945879,14.000000,0.000000,4337.179688,4341.922852,4340.769043,4350.256348,4299.743652,4291.410156,4278.205078,4301.153809,4283.974121,4270.512695,4490.897461,4470.769043,4374.615234,4467.820313,6005.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490979.953301,1703490979.953787,15.000000,0.000000,4343.333496,4341.410156,4343.717773,4349.615234,4302.563965,4290.769043,4272.692383,4300.128418,4280.128418,4276.282227,4498.717773,4468.461426,4380.641113,4471.282227,5661.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490979.961109,1703490979.961595,16.000000,0.000000,4347.563965,4337.179688,4347.948730,4349.358887,4296.282227,4281.922852,4263.717773,4299.358887,4270.769043,4274.871582,4494.102539,4474.871582,4377.436035,4473.461426,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.669767,-0.121948,-0.689453,-0.247375,0.981565,0.166036,0.027835,-19.673193,-32.943584,63.299816
1703490979.968917,1703490979.969503,17.000000,0.000000,4349.102539,4346.282227,4352.179688,4354.743652,4298.077148,4276.282227,4259.871582,4297.307617,4271.922852,4279.230957,4500.128418,4472.436035,4388.974121,4477.692383,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490979.976725,1703490979.977311,18.000000,0.000000,4347.692383,4349.871582,4351.794922,4350.897461,4301.410156,4276.922852,4262.436035,4295.256348,4276.794922,4283.974121,4509.487305,4473.589844,4399.230957,4482.692383,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490979.984533,1703490979.985219,19.000000,0.000000,4349.871582,4345.384766,4346.153809,4348.333496,4308.974121,4283.589844,4258.205078,4295.897461,4287.051270,4289.487305,4506.025879,4471.025879,4396.025879,4477.179688,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490979.992341,1703490979.993027,20.000000,0.000000,4344.358887,4343.589844,4339.743652,4349.358887,4318.717773,4289.487305,4252.179688,4295.512695,4299.230957,4294.871582,4497.820313,4466.153809,4388.974121,4465.641113,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.669772,-0.121704,-0.689514,-0.247314,0.970333,0.178733,0.025394,-19.622541,-32.832558,63.253170
1703490980.000150,1703490980.000934,21.000000,0.000000,4327.179688,4337.692383,4333.846191,4345.128418,4313.333496,4288.205078,4255.641113,4293.333496,4302.307617,4292.820313,4495.641113,4467.051270,4384.230957,4464.102539,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.007958,1703490980.008742,22.000000,0.000000,4325.256348,4335.128418,4331.922852,4346.794922,4307.948730,4290.000000,4262.051270,4295.256348,4305.256348,4292.436035,4501.025879,4462.436035,4387.051270,4467.179688,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.015766,1703490980.016550,23.000000,0.000000,4330.769043,4335.000000,4337.820313,4351.410156,4315.897461,4299.358887,4264.102539,4303.461426,4310.256348,4293.846191,4498.974121,4470.384766,4383.717773,4467.179688,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.023574,1703490980.024358,24.000000,0.000000,4332.051270,4333.461426,4341.666504,4349.358887,4321.794922,4306.538574,4265.000000,4308.717773,4309.230957,4290.128418,4495.641113,4473.589844,4379.358887,4468.205078,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.669868,-0.121643,-0.689453,-0.247253,0.975217,0.172873,0.021975,-19.593620,-32.865971,63.311184
1703490980.031382,1703490980.032066,25.000000,0.000000,4336.282227,4338.333496,4338.974121,4347.820313,4315.128418,4299.615234,4265.256348,4308.461426,4302.307617,4282.948730,4496.922852,4463.205078,4382.179688,4464.358887,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.039190,1703490980.039874,26.000000,0.000000,4344.615234,4343.974121,4344.358887,4353.589844,4310.384766,4290.128418,4263.846191,4310.384766,4294.615234,4277.820313,4495.384766,4471.794922,4382.948730,4462.179688,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.046998,1703490980.047582,27.000000,0.000000,4349.871582,4344.615234,4349.871582,4360.128418,4315.000000,4290.256348,4262.179688,4306.922852,4288.974121,4275.000000,4496.153809,4476.666504,4382.051270,4468.077148,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.054806,1703490980.055390,28.000000,0.000000,4347.307617,4345.769043,4346.025879,4358.974121,4312.948730,4285.769043,4254.358887,4299.487305,4280.000000,4268.589844,4497.179688,4473.205078,4382.948730,4473.461426,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.669845,-0.121643,-0.689453,-0.247314,0.979612,0.176779,0.026370,-19.900925,-32.796040,63.313400
1703490980.062614,1703490980.063098,29.000000,0.000000,4347.948730,4350.256348,4351.794922,4357.820313,4308.974121,4276.410156,4247.692383,4301.410156,4277.948730,4276.153809,4497.948730,4476.153809,4392.179688,4475.897461,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.070422,1703490980.071006,30.000000,0.000000,4351.666504,4349.230957,4360.000000,4360.128418,4311.282227,4271.025879,4244.358887,4304.743652,4288.846191,4291.666504,4503.846191,4473.717773,4400.897461,4470.769043,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.078230,1703490980.078814,31.000000,0.000000,4345.512695,4342.948730,4357.820313,4357.692383,4310.000000,4270.128418,4236.794922,4302.307617,4295.128418,4289.358887,4506.025879,4476.282227,4393.461426,4467.563965,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.086038,1703490980.086622,32.000000,0.000000,4343.589844,4345.256348,4354.358887,4358.333496,4313.589844,4282.436035,4236.794922,4300.128418,4303.846191,4293.589844,4504.871582,4474.230957,4395.128418,4476.922852,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.669908,-0.121643,-0.689392,-0.247314,0.979123,0.170919,0.027347,-19.827499,-32.866436,63.232059
1703490980.093846,1703490980.094330,33.000000,0.000000,4340.256348,4343.717773,4345.256348,4355.512695,4318.077148,4294.487305,4242.692383,4295.897461,4314.230957,4303.333496,4502.436035,4467.563965,4400.128418,4469.230957,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.101654,1703490980.102138,34.000000,0.000000,4323.717773,4336.153809,4333.333496,4345.769043,4314.358887,4296.922852,4243.717773,4297.051270,4314.230957,4292.179688,4493.461426,4471.025879,4381.922852,4458.077148,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.109462,1703490980.109846,35.000000,0.000000,4323.717773,4340.769043,4335.128418,4348.461426,4322.051270,4310.000000,4248.205078,4308.589844,4316.922852,4285.897461,4491.025879,4467.051270,4374.230957,4467.563965,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.117270,1703490980.117754,36.000000,0.000000,4341.794922,4342.820313,4344.230957,4352.436035,4330.128418,4320.000000,4255.512695,4313.974121,4319.615234,4291.153809,4494.487305,4469.487305,4381.153809,4465.897461,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.669879,-0.121704,-0.689453,-0.247192,0.978147,0.171896,0.013674,-19.894749,-32.796459,63.242188
1703490980.125078,1703490980.125562,37.000000,0.000000,4347.307617,4339.615234,4346.794922,4353.461426,4327.820313,4312.179688,4253.077148,4312.179688,4310.256348,4289.102539,4494.743652,4475.769043,4378.205078,4460.512695,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.132887,1703490980.133470,38.000000,0.000000,4339.230957,4338.461426,4349.230957,4355.000000,4323.717773,4299.358887,4248.846191,4311.794922,4300.128418,4281.025879,4496.538574,4473.461426,4375.512695,4470.512695,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.140695,1703490980.141278,39.000000,0.000000,4338.077148,4334.743652,4357.307617,4351.153809,4316.282227,4288.461426,4249.615234,4311.153809,4295.128418,4274.230957,4498.846191,4480.641113,4377.948730,4474.615234,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.148502,1703490980.149186,40.000000,0.000000,4348.717773,4339.102539,4364.743652,4358.077148,4314.743652,4284.743652,4249.615234,4309.230957,4290.000000,4279.230957,4503.589844,4480.384766,4388.589844,4477.179688,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.669884,-0.121826,-0.689514,-0.246948,0.974240,0.170919,0.027835,-20.038607,-32.816814,63.334637
1703490980.156311,1703490980.156994,41.000000,0.000000,4353.333496,4346.410156,4363.717773,4367.948730,4317.307617,4283.077148,4246.922852,4311.666504,4283.333496,4283.717773,4500.769043,4476.025879,4391.025879,4484.615234,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.164119,1703490980.164902,42.000000,0.000000,4347.436035,4341.794922,4356.025879,4362.563965,4317.692383,4283.205078,4242.179688,4307.948730,4275.256348,4272.563965,4488.589844,4475.384766,4376.794922,4478.974121,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.171927,1703490980.172710,43.000000,0.000000,4343.333496,4331.282227,4354.871582,4358.205078,4319.743652,4287.436035,4240.256348,4299.358887,4273.077148,4268.461426,4490.384766,4467.179688,4373.974121,4468.205078,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.179735,1703490980.180618,44.000000,0.000000,4345.512695,4330.769043,4359.102539,4358.205078,4316.666504,4283.589844,4241.410156,4303.717773,4281.922852,4280.512695,4501.794922,4473.717773,4383.846191,4471.282227,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.670004,-0.121887,-0.689453,-0.246765,0.973263,0.167013,0.018557,-20.034746,-32.835133,63.284504
1703490980.187543,1703490980.188426,45.000000,0.000000,4347.436035,4339.230957,4356.666504,4359.358887,4317.307617,4282.948730,4242.051270,4311.153809,4301.922852,4295.384766,4504.358887,4477.820313,4388.846191,4473.846191,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.195351,1703490980.196134,46.000000,0.000000,4346.282227,4338.333496,4350.897461,4362.051270,4321.794922,4293.461426,4246.794922,4312.436035,4318.846191,4302.051270,4506.922852,4469.743652,4392.179688,4466.794922,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.203159,1703490980.203942,47.000000,0.000000,4340.641113,4329.230957,4349.615234,4359.487305,4320.384766,4306.025879,4256.794922,4313.333496,4321.922852,4300.256348,4509.743652,4473.717773,4399.230957,4467.179688,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.210967,1703490980.211650,48.000000,0.000000,4337.820313,4329.743652,4350.128418,4358.205078,4325.000000,4312.692383,4264.871582,4315.641113,4325.128418,4304.615234,4509.102539,4475.256348,4403.333496,4476.538574,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.669993,-0.121948,-0.689453,-0.246765,0.986449,0.177268,0.027347,-20.097939,-32.784950,63.339386
1703490980.218775,1703490980.219458,49.000000,0.000000,4344.487305,4333.846191,4355.256348,4360.000000,4332.307617,4306.666504,4266.538574,4317.179688,4322.948730,4304.358887,4506.794922,4477.820313,4396.410156,4480.384766,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.226583,1703490980.227166,50.000000,0.000000,4354.615234,4331.666504,4363.205078,4362.820313,4326.538574,4299.358887,4267.307617,4316.153809,4313.589844,4299.102539,4509.230957,4481.922852,4396.922852,4488.077148,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.234391,1703490980.235074,51.000000,0.000000,4357.051270,4327.820313,4360.769043,4361.153809,4315.256348,4293.846191,4266.538574,4311.410156,4307.563965,4301.153809,4509.743652,4477.692383,4403.974121,4492.307617,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.242199,1703490980.242882,52.000000,0.000000,4355.384766,4327.436035,4358.077148,4358.589844,4315.000000,4283.461426,4264.102539,4310.128418,4307.436035,4299.102539,4506.538574,4480.256348,4396.153809,4484.230957,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.669959,-0.122009,-0.689453,-0.246826,0.971310,0.169454,0.017580,-19.921478,-32.973122,63.422115
1703490980.250007,1703490980.250690,53.000000,0.000000,4359.615234,4338.589844,4366.153809,4369.230957,4330.128418,4289.615234,4270.000000,4314.102539,4313.205078,4301.794922,4519.871582,4478.717773,4401.025879,4484.871582,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.257815,1703490980.258398,54.000000,0.000000,4351.538574,4340.512695,4365.128418,4373.974121,4333.461426,4302.307617,4280.256348,4312.692383,4308.205078,4302.563965,4524.230957,4474.871582,4409.743652,4486.922852,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.265623,1703490980.266206,55.000000,0.000000,4338.077148,4330.769043,4353.717773,4366.794922,4321.794922,4293.717773,4280.256348,4308.717773,4298.077148,4288.205078,4504.358887,4472.179688,4389.871582,4474.871582,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490980.273431,1703490980.273914,56.000000,0.000000,4344.358887,4337.051270,4353.846191,4368.333496,4326.153809,4287.051270,4277.436035,4309.102539,4303.589844,4288.077148,4498.717773,4468.333496,4385.512695,4469.743652,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.669943,-0.122192,-0.689392,-0.246948,0.983518,0.174826,0.023929,-19.929331,-32.942478,63.529903
1703490980.281239,1703490980.281822,57.000000,0.000000,4358.333496,4348.974121,4364.871582,4378.974121,4335.897461,4293.333496,4280.641113,4312.820313,4313.077148,4305.000000,4514.615234,4481.666504,4410.384766,4483.333496,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
