title:محمد حذف, start timestamp:1703415897.873064, stop timestamp:1703415908.734064, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1392      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415897.873064,1703415897.873609,118.000000,0.000000,4260.897461,4231.282227,4326.922852,4334.230957,4229.358887,4182.436035,4199.743652,4249.743652,4221.025879,4256.666504,4570.384766,4485.641113,4462.436035,4582.179688,5925.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.880872,1703415897.881517,119.000000,0.000000,4288.333496,4233.846191,4326.794922,4340.641113,4228.461426,4180.769043,4197.820313,4240.256348,4215.512695,4249.102539,4560.769043,4486.922852,4463.461426,4596.922852,6244.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.888680,1703415897.889325,120.000000,0.000000,4306.025879,4229.615234,4326.794922,4341.794922,4229.615234,4169.102539,4195.641113,4232.820313,4204.743652,4242.436035,4561.922852,4493.717773,4461.025879,4614.102539,6790.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.675506,0.224609,-0.654358,0.255066,0.994750,-0.037602,0.042486,-15.463012,-41.228935,65.380096
1703415897.896488,1703415897.897233,121.000000,0.000000,4315.256348,4235.000000,4326.025879,4340.000000,4222.307617,4166.282227,4196.922852,4234.358887,4198.974121,4254.871582,4572.051270,4492.307617,4467.948730,4621.282227,7302.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.904296,1703415897.905041,122.000000,0.000000,4330.256348,4248.717773,4331.794922,4343.077148,4219.487305,4172.436035,4200.641113,4235.512695,4202.563965,4260.897461,4569.615234,4493.461426,4477.436035,4624.871582,5925.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.912104,1703415897.912949,123.000000,0.000000,4353.589844,4258.333496,4347.820313,4354.615234,4232.051270,4176.410156,4202.436035,4240.256348,4211.666504,4252.563965,4575.769043,4510.897461,4483.974121,4640.256348,6244.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.919912,1703415897.920757,124.000000,0.000000,4364.615234,4257.307617,4352.436035,4354.743652,4239.487305,4181.410156,4200.641113,4249.102539,4215.641113,4255.641113,4591.794922,4515.897461,4488.717773,4653.077148,6790.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.675480,0.224548,-0.654358,0.255188,0.990355,-0.033207,0.047369,-15.566710,-41.256042,65.492088
1703415897.927720,1703415897.928665,125.000000,0.000000,4345.769043,4249.487305,4338.461426,4342.051270,4233.077148,4185.128418,4200.769043,4247.307617,4209.230957,4260.128418,4576.282227,4497.948730,4481.410156,4637.179688,7302.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.935528,1703415897.936473,126.000000,0.000000,4326.922852,4239.871582,4325.769043,4335.384766,4231.538574,4186.666504,4202.307617,4241.922852,4206.282227,4247.948730,4550.641113,4494.487305,4463.333496,4618.333496,5925.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415897.943336,1703415897.944181,127.000000,0.000000,4330.641113,4235.000000,4328.589844,4336.538574,4229.102539,4185.000000,4201.282227,4251.538574,4218.205078,4241.025879,4564.102539,4503.974121,4458.205078,4627.051270,52.000000,2.000000,52.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
