title:منى حذف, start timestamp:1703412025.170845, stop timestamp:1703412036.047462, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1394      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703412025.170845,1703412025.170611,98.000000,0.000000,4203.717773,4193.077148,4290.897461,4253.717773,4206.666504,4199.358887,4246.794922,4182.948730,4176.282227,4159.102539,4559.871582,4432.179688,4369.230957,4473.717773,5978.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.178653,1703412025.178519,99.000000,0.000000,4201.153809,4204.230957,4287.436035,4263.077148,4217.692383,4203.589844,4248.333496,4183.077148,4163.077148,4143.717773,4550.256348,4429.102539,4363.205078,4472.436035,6105.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.186461,1703412025.186327,100.000000,0.000000,4198.205078,4207.563965,4279.358887,4260.384766,4211.922852,4205.384766,4248.589844,4186.282227,4172.692383,4161.922852,4552.820313,4443.589844,4364.358887,4475.256348,6634.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.741202,-0.057678,-0.668762,-0.007080,0.981565,-0.073739,0.098157,-15.555377,-41.926044,67.458549
1703412025.194269,1703412025.194234,101.000000,0.000000,4197.820313,4196.538574,4278.846191,4248.717773,4200.256348,4200.897461,4245.641113,4187.820313,4187.307617,4175.512695,4563.461426,4449.871582,4365.512695,4474.487305,6987.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.202077,1703412025.202042,102.000000,0.000000,4205.512695,4183.589844,4291.025879,4246.922852,4196.922852,4197.820313,4245.256348,4192.179688,4185.641113,4182.948730,4571.025879,4444.487305,4368.205078,4476.922852,5978.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.209885,1703412025.209950,103.000000,0.000000,4213.205078,4188.461426,4305.256348,4256.410156,4199.358887,4194.102539,4245.897461,4201.025879,4189.358887,4210.128418,4576.282227,4448.717773,4374.871582,4496.794922,6105.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.217693,1703412025.217758,104.000000,0.000000,4218.205078,4203.717773,4313.205078,4263.846191,4198.717773,4190.769043,4246.282227,4208.717773,4200.769043,4218.589844,4586.538574,4464.230957,4389.230957,4510.384766,6634.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.741152,-0.057617,-0.668823,-0.007080,0.983518,-0.074716,0.084483,-15.549839,-41.983440,67.479362
1703412025.225501,1703412025.225566,105.000000,0.000000,4226.153809,4208.846191,4309.102539,4263.461426,4190.641113,4191.794922,4247.307617,4202.563965,4197.307617,4190.769043,4594.871582,4467.179688,4396.153809,4499.230957,6987.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.233309,1703412025.233274,106.000000,0.000000,4224.871582,4202.307617,4296.025879,4258.461426,4183.333496,4190.384766,4242.692383,4187.820313,4180.641113,4168.846191,4585.512695,4451.410156,4381.282227,4487.820313,5978.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703412025.241118,1703412025.241182,107.000000,0.000000,4213.333496,4199.615234,4291.025879,4257.436035,4193.717773,4184.358887,4233.974121,4181.922852,4169.615234,4168.846191,4566.666504,4442.692383,4367.436035,4488.461426,6105.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
