title:الما حذف, start timestamp:1703405421.069481, stop timestamp:1703405431.907059, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1389      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703405421.069481,1703405421.069753,63.000000,0.000000,4222.179688,4164.487305,4289.102539,4245.256348,4183.461426,4140.384766,4277.563965,4159.743652,4157.820313,4153.846191,4647.051270,4467.179688,4430.641113,4541.666504,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.077289,1703405421.077461,64.000000,0.000000,4219.487305,4160.641113,4282.563965,4250.769043,4176.538574,4141.153809,4269.358887,4147.051270,4146.282227,4159.871582,4633.589844,4451.153809,4420.769043,4539.487305,4752.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,16.000000,0.000000,0.681801,-0.185364,-0.687988,-0.165710,0.994750,-0.047857,-0.016604,-15.246931,-37.787201,62.676899
1703405421.085097,1703405421.085269,65.000000,0.000000,4206.410156,4155.512695,4272.692383,4246.666504,4185.000000,4136.666504,4266.153809,4148.717773,4153.846191,4170.897461,4622.179688,4438.717773,4415.000000,4526.025879,5333.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.092905,1703405421.092977,66.000000,0.000000,4200.769043,4154.230957,4269.743652,4236.666504,4197.436035,4141.410156,4272.051270,4177.820313,4176.794922,4174.615234,4631.153809,4449.487305,4423.974121,4525.769043,5118.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.100713,1703405421.100885,67.000000,0.000000,4204.615234,4156.153809,4271.538574,4236.025879,4197.307617,4148.461426,4273.846191,4187.692383,4171.666504,4166.153809,4636.153809,4458.717773,4421.025879,4534.615234,5300.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.108521,1703405421.108693,68.000000,0.000000,4205.000000,4155.641113,4276.922852,4239.102539,4188.333496,4141.666504,4269.871582,4172.307617,4163.077148,4161.794922,4631.025879,4459.871582,4412.692383,4538.205078,5080.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,17.000000,0.000000,0.681810,-0.185059,-0.687988,-0.166016,1.009889,-0.023929,-0.007813,-15.022238,-37.775146,62.742542
1703405421.116330,1703405421.116601,69.000000,0.000000,4204.358887,4153.974121,4283.974121,4238.333496,4183.846191,4128.205078,4264.871582,4169.615234,4169.102539,4171.025879,4630.256348,4463.205078,4411.794922,4532.692383,4595.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.124138,1703405421.124409,70.000000,0.000000,4207.948730,4159.743652,4288.846191,4243.077148,4184.743652,4126.282227,4268.333496,4171.538574,4158.461426,4172.820313,4636.282227,4462.820313,4415.000000,4526.922852,1429.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.131945,1703405421.132317,71.000000,0.000000,4210.128418,4165.256348,4289.871582,4252.692383,4187.948730,4127.436035,4270.128418,4154.102539,4131.410156,4158.974121,4634.743652,4455.897461,4414.230957,4525.897461,5165.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703405421.139754,1703405421.140125,72.000000,0.000000,4203.717773,4159.358887,4286.794922,4247.436035,4188.205078,4126.666504,4264.102539,4135.000000,4116.922852,4148.846191,4618.461426,4446.282227,4403.974121,4519.871582,5046.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,18.000000,0.000000,0.681755,-0.184814,-0.688049,-0.166260,0.974728,-0.025882,-0.010255,-14.953347,-37.797634,62.584957
