title:نوار حذف, start timestamp:1703162360.804944, stop timestamp:1703162371.572247, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703162360.804944,1703162360.805621,121.000000,0.000000,4195.512695,4145.256348,4293.333496,4228.333496,4152.307617,4124.358887,4160.769043,4135.897461,4104.615234,4098.333496,4637.179688,4443.205078,4439.615234,4539.743652,6858.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703162360.812752,1703162360.813529,122.000000,0.000000,4194.102539,4151.025879,4291.666504,4233.974121,4152.563965,4124.871582,4159.102539,4139.358887,4110.128418,4109.230957,4640.384766,4442.051270,4435.769043,4538.974121,5783.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703162360.820561,1703162360.821337,123.000000,0.000000,4196.153809,4154.615234,4285.897461,4233.589844,4154.487305,4122.436035,4155.128418,4137.948730,4120.641113,4123.974121,4644.102539,4443.461426,4444.615234,4545.128418,6143.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703162360.828369,1703162360.829245,124.000000,0.000000,4200.000000,4160.641113,4288.077148,4231.922852,4154.230957,4123.974121,4154.358887,4139.102539,4132.563965,4124.871582,4647.307617,4444.615234,4451.410156,4552.948730,6576.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.636610,-0.323547,-0.573669,-0.401184,0.986937,0.058601,0.130387,-17.383350,-31.825891,63.769619
1703162360.836177,1703162360.837053,125.000000,0.000000,4203.205078,4169.871582,4293.974121,4239.615234,4155.128418,4123.717773,4150.897461,4140.641113,4137.563965,4124.230957,4651.025879,4447.820313,4451.282227,4561.282227,6858.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703162360.843985,1703162360.844761,126.000000,0.000000,4211.153809,4179.487305,4296.794922,4252.692383,4158.717773,4117.179688,4143.461426,4138.461426,4137.436035,4137.051270,4658.461426,4457.820313,4460.512695,4570.512695,5783.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703162360.851793,1703162360.852569,127.000000,0.000000,4214.487305,4187.179688,4297.307617,4254.743652,4157.179688,4116.794922,4142.948730,4136.282227,4131.282227,4140.000000,4661.538574,4462.436035,4466.282227,4570.128418,76.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703162360.859601,1703162360.860277,0.000000,0.000000,4208.717773,4187.179688,4297.820313,4249.230957,4154.871582,4122.563965,4148.717773,4134.102539,4121.922852,4122.692383,4653.589844,4457.307617,4451.538574,4561.410156,5342.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.636635,-0.323303,-0.573608,-0.401428,0.985960,0.054694,0.134294,-17.278349,-31.926636,63.775990
1703162360.867409,1703162360.868085,1.000000,0.000000,4201.025879,4179.743652,4295.000000,4245.256348,4156.153809,4122.563965,4150.384766,4127.820313,4114.615234,4106.282227,4638.589844,4445.641113,4431.794922,4551.538574,5345.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703162360.875217,1703162360.875793,2.000000,0.000000,4190.256348,4167.307617,4283.077148,4236.410156,4154.102539,4119.743652,4149.871582,4122.051270,4103.077148,4094.743652,4620.641113,4430.256348,4419.230957,4536.794922,5235.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
