title:جمعة حذف, start timestamp:1703164043.160151, stop timestamp:1703164053.950872, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703164043.160151,1703164043.160739,122.000000,0.000000,4160.512695,4156.153809,4208.077148,4200.128418,4159.871582,4137.563965,4205.256348,4138.974121,4110.512695,4125.256348,4582.307617,4419.487305,4397.307617,4501.538574,5691.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.167959,1703164043.168647,123.000000,0.000000,4158.077148,4166.153809,4212.820313,4199.871582,4141.410156,4129.487305,4204.358887,4129.615234,4101.025879,4120.641113,4576.538574,4422.179688,4391.282227,4486.025879,6077.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.175767,1703164043.176455,124.000000,0.000000,4152.436035,4160.256348,4217.436035,4198.333496,4137.820313,4124.358887,4201.666504,4122.692383,4089.487061,4118.717773,4574.230957,4417.051270,4389.615234,4484.230957,6426.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.680943,0.106567,-0.687683,0.228149,0.982542,-0.174826,0.045904,-11.600146,-42.497196,64.446991
1703164043.183575,1703164043.184362,125.000000,0.000000,4158.974121,4152.563965,4222.051270,4198.461426,4151.025879,4129.358887,4201.922852,4128.717773,4094.615479,4121.025879,4581.922852,4422.563965,4389.743652,4492.563965,6257.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.191383,1703164043.192170,126.000000,0.000000,4172.948730,4165.641113,4233.077148,4201.538574,4146.282227,4136.410156,4202.692383,4137.820313,4105.769043,4126.794922,4591.922852,4432.563965,4392.051270,4497.051270,5691.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.199191,1703164043.199879,127.000000,0.000000,4177.051270,4181.282227,4245.769043,4207.692383,4138.846191,4135.384766,4209.102539,4143.589844,4110.897461,4135.128418,4601.666504,4440.897461,4399.102539,4505.641113,71.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.206999,1703164043.207686,0.000000,0.000000,4170.256348,4178.589844,4242.948730,4202.948730,4141.538574,4128.461426,4212.563965,4141.282227,4106.410156,4128.589844,4598.846191,4444.487305,4399.487305,4508.717773,5459.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.681066,0.106567,-0.687500,0.228333,0.968380,-0.168478,0.035649,-11.856798,-42.447475,64.468956
1703164043.214807,1703164043.215395,1.000000,0.000000,4171.538574,4169.102539,4233.717773,4198.974121,4141.922852,4126.282227,4208.205078,4141.922852,4109.358887,4114.358887,4594.615234,4438.333496,4392.179688,4504.743652,5395.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.222615,1703164043.223203,2.000000,0.000000,4182.692383,4169.102539,4239.230957,4212.179688,4138.333496,4126.025879,4208.974121,4151.282227,4120.128418,4124.358887,4602.436035,4442.948730,4395.897461,4512.436035,5308.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703164043.230423,1703164043.230911,3.000000,0.000000,4186.025879,4168.205078,4248.333496,4219.102539,4142.307617,4131.666504,4211.922852,4157.692383,4126.282227,4154.358887,4613.333496,4454.743652,4418.461426,4529.871582,5222.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
