title:حازم حذف, start timestamp:1703494853.590631, stop timestamp:1703494864.436018, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494853.590631,1703494853.590731,6.000000,0.000000,4231.922852,4197.436035,4282.179688,4258.333496,4229.230957,4243.461426,4232.948730,4233.717773,4232.051270,4230.128418,4520.769043,4446.410156,4382.563965,4445.512695,4178.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.598440,1703494853.598639,7.000000,0.000000,4239.615234,4198.077148,4288.589844,4259.230957,4228.205078,4245.641113,4238.461426,4240.384766,4242.820313,4228.717773,4520.769043,4452.820313,4379.358887,4452.307617,5020.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.606248,1703494853.606447,8.000000,0.000000,4247.948730,4208.077148,4299.230957,4265.128418,4234.358887,4249.358887,4238.205078,4253.205078,4257.948730,4229.871582,4525.128418,4466.922852,4381.025879,4459.615234,5243.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.713335,-0.000122,-0.697876,0.064209,0.985472,-0.111342,0.016604,-14.099932,-43.654823,64.008224
1703494853.614056,1703494853.614355,9.000000,0.000000,4250.769043,4211.794922,4303.717773,4267.179688,4234.358887,4246.666504,4233.461426,4259.487305,4271.410156,4241.538574,4534.487305,4478.205078,4384.487305,4462.820313,5447.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.621864,1703494853.622163,10.000000,0.000000,4248.205078,4199.102539,4301.282227,4263.077148,4229.102539,4240.000000,4230.128418,4253.846191,4265.641113,4242.307617,4536.666504,4478.589844,4380.128418,4460.769043,5926.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.629672,1703494853.630071,11.000000,0.000000,4246.153809,4195.512695,4300.384766,4263.589844,4231.153809,4243.077148,4235.769043,4246.794922,4249.743652,4233.461426,4533.974121,4474.102539,4380.000000,4460.512695,6195.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.637480,1703494853.637879,12.000000,0.000000,4250.897461,4206.666504,4305.512695,4267.820313,4235.769043,4247.563965,4242.436035,4246.153809,4245.256348,4231.410156,4539.487305,4472.563965,4394.615234,4467.307617,6711.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.713307,-0.000793,-0.697876,0.064514,0.975217,-0.089855,0.002930,-14.339938,-43.556007,64.140732
1703494853.645288,1703494853.645787,13.000000,0.000000,4252.692383,4206.025879,4305.256348,4265.897461,4232.436035,4241.410156,4237.692383,4242.820313,4241.025879,4235.000000,4538.717773,4470.897461,4396.922852,4464.615234,7085.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.653096,1703494853.653595,14.000000,0.000000,4241.153809,4195.512695,4292.820313,4262.051270,4228.333496,4238.846191,4231.922852,4233.205078,4226.666504,4228.974121,4523.077148,4459.230957,4378.461426,4447.436035,5926.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494853.660904,1703494853.661303,15.000000,0.000000,4233.846191,4198.333496,4283.717773,4261.666504,4232.692383,4248.077148,4239.615234,4222.179688,4208.077148,4211.282227,4513.077148,4445.512695,4368.461426,4438.205078,6195.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
