title:شاهين حذف, start timestamp:1703488850.248117, stop timestamp:1703488860.976369, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1375      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703488850.248117,1703488850.248424,0.000000,0.000000,4318.846191,4280.769043,4330.128418,4342.563965,4260.000000,4253.077148,4215.256348,4278.205078,4233.717773,4319.743652,4526.025879,4501.538574,4385.512695,4462.307617,5450.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.718122,-0.121826,-0.672546,0.130920,0.916616,-0.338909,0.050299,-10.779397,-43.211742,61.139874
1703488850.255925,1703488850.256332,1.000000,0.000000,4310.641113,4279.230957,4322.051270,4343.589844,4259.358887,4251.282227,4217.820313,4284.358887,4244.230957,4322.179688,4511.922852,4492.820313,4376.538574,4447.692383,5541.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.263733,1703488850.264140,2.000000,0.000000,4295.769043,4263.077148,4312.948730,4321.794922,4251.025879,4247.692383,4221.666504,4272.948730,4247.820313,4309.615234,4493.461426,4473.717773,4354.358887,4431.282227,5344.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.271541,1703488850.271848,3.000000,0.000000,4293.589844,4258.846191,4308.333496,4319.871582,4250.897461,4253.846191,4220.128418,4263.846191,4240.128418,4303.717773,4487.820313,4468.461426,4352.307617,4428.974121,5397.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.279349,1703488850.279656,4.000000,0.000000,4297.051270,4270.641113,4303.846191,4328.077148,4260.641113,4262.692383,4223.589844,4253.589844,4232.820313,4304.871582,4482.820313,4463.589844,4362.307617,4427.563965,5250.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.718236,-0.121765,-0.672424,0.130981,0.921499,-0.341839,0.070321,-10.851458,-43.340569,61.075886
1703488850.287157,1703488850.287364,5.000000,0.000000,4292.948730,4277.051270,4302.563965,4306.922852,4261.025879,4263.589844,4226.922852,4239.871582,4225.641113,4296.410156,4474.230957,4451.153809,4357.307617,4422.436035,5108.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.294965,1703488850.295172,6.000000,0.000000,4293.589844,4276.410156,4307.820313,4304.615234,4265.256348,4262.307617,4223.589844,4233.333496,4221.282227,4294.615234,4477.692383,4452.820313,4356.410156,4424.871582,1753.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.302773,1703488850.302880,7.000000,0.000000,4304.358887,4277.436035,4308.717773,4335.384766,4274.487305,4266.410156,4224.487305,4233.461426,4224.230957,4305.897461,4491.282227,4463.974121,4370.128418,4431.666504,5148.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.310581,1703488850.310688,8.000000,0.000000,4305.000000,4279.230957,4306.025879,4335.897461,4269.487305,4263.846191,4223.974121,4233.589844,4225.897461,4311.666504,4500.769043,4469.487305,4380.000000,4436.794922,5308.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.718269,-0.121765,-0.672424,0.130798,0.917592,-0.349164,0.069833,-10.849645,-43.406509,61.084965
1703488850.318389,1703488850.318396,9.000000,0.000000,4296.025879,4277.051270,4313.205078,4315.384766,4260.641113,4254.487305,4219.871582,4238.077148,4222.051270,4315.769043,4507.307617,4480.512695,4377.563965,4441.410156,5315.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.326197,1703488850.326304,10.000000,0.000000,4300.512695,4277.436035,4317.692383,4323.077148,4266.922852,4252.436035,4222.307617,4248.589844,4219.743652,4316.410156,4511.153809,4490.897461,4376.538574,4444.743652,5843.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.334005,1703488850.334112,11.000000,0.000000,4305.512695,4279.487305,4314.230957,4328.846191,4269.743652,4252.179688,4224.102539,4259.358887,4220.384766,4304.358887,4510.256348,4488.846191,4382.179688,4445.897461,6270.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.341813,1703488850.341920,12.000000,0.000000,4295.641113,4271.922852,4320.000000,4301.153809,4254.487305,4246.794922,4213.846191,4271.410156,4224.615234,4301.410156,4508.846191,4489.615234,4381.922852,4445.769043,6766.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.718334,-0.121643,-0.672424,0.130554,0.923941,-0.348187,0.061531,-10.864680,-43.349194,61.026466
1703488850.349621,1703488850.349628,13.000000,0.000000,4291.538574,4260.512695,4326.282227,4294.230957,4244.487305,4243.974121,4211.025879,4278.077148,4233.333496,4312.307617,4506.410156,4493.333496,4369.871582,4441.282227,6922.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.357429,1703488850.357436,14.000000,0.000000,4297.179688,4264.102539,4318.461426,4321.025879,4250.897461,4246.538574,4217.948730,4277.563965,4240.641113,4311.282227,4503.077148,4486.922852,4360.769043,4432.692383,5843.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.365237,1703488850.365144,15.000000,0.000000,4299.358887,4276.282227,4310.000000,4329.358887,4251.794922,4248.974121,4216.153809,4277.563965,4248.846191,4304.615234,4504.102539,4479.871582,4366.666504,4432.563965,6270.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.373045,1703488850.372952,16.000000,0.000000,4300.897461,4272.179688,4313.333496,4318.333496,4245.000000,4249.743652,4210.897461,4271.410156,4252.179688,4308.846191,4506.025879,4476.922852,4369.743652,4440.000000,0.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.718608,-0.121765,-0.672180,0.130188,0.921499,-0.342327,0.050787,-10.794879,-43.297607,61.057156
1703488850.380853,1703488850.380660,17.000000,0.000000,4298.205078,4263.333496,4312.948730,4315.897461,4253.077148,4249.871582,4211.922852,4253.974121,4247.436035,4311.153809,4497.820313,4469.358887,4359.743652,4434.358887,0.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.388662,1703488850.388568,18.000000,0.000000,4295.384766,4271.922852,4308.974121,4315.256348,4267.692383,4251.153809,4215.512695,4243.205078,4241.794922,4310.256348,4487.436035,4467.692383,4358.846191,4424.615234,0.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488850.396469,1703488850.396376,19.000000,0.000000,4302.436035,4277.820313,4311.922852,4308.717773,4257.051270,4249.871582,4209.230957,4240.384766,4233.333496,4311.922852,4495.256348,4474.358887,4375.128418,4434.487305,0.000000,4.000000,96.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
