title:شويكي حذف, start timestamp:1703501124.177007, stop timestamp:1703501135.006774, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1388      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703501124.177007,1703501124.177274,39.000000,0.000000,4365.769043,4292.948730,4326.666504,4309.102539,4275.641113,4274.102539,4084.102539,4260.641113,4252.563965,4271.666504,4450.384766,4479.743652,4418.589844,4588.461426,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.184815,1703501124.185182,40.000000,0.000000,4364.743652,4293.589844,4327.692383,4304.358887,4277.307617,4276.025879,4089.230713,4262.563965,4254.871582,4263.205078,4452.820313,4484.615234,4420.128418,4591.153809,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.665295,0.196838,-0.665405,0.275452,0.962520,-0.094738,0.034672,-13.589837,-34.674305,60.672543
1703501124.192623,1703501124.192990,41.000000,0.000000,4362.307617,4296.025879,4324.615234,4296.410156,4270.897461,4273.717773,4087.051270,4269.615234,4262.179688,4263.974121,4455.000000,4488.974121,4422.563965,4605.384766,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.200431,1703501124.200898,42.000000,0.000000,4368.077148,4296.922852,4327.051270,4294.487305,4268.205078,4276.538574,4087.948730,4282.692383,4268.461426,4267.948730,4463.333496,4490.769043,4429.487305,4614.871582,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.208239,1703501124.208706,43.000000,0.000000,4375.000000,4300.000000,4332.820313,4294.358887,4276.666504,4279.743652,4093.205078,4295.000000,4276.410156,4268.589844,4470.512695,4493.205078,4432.692383,4613.461426,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.216047,1703501124.216414,44.000000,0.000000,4372.563965,4300.384766,4329.487305,4290.897461,4278.205078,4273.846191,4095.384521,4297.436035,4281.025879,4263.974121,4465.128418,4494.230957,4428.077148,4603.717773,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.665341,0.196716,-0.665344,0.275574,0.983518,-0.098645,0.034184,-13.730853,-34.623539,60.655289
1703501124.223855,1703501124.224222,45.000000,0.000000,4371.153809,4301.282227,4323.717773,4291.410156,4268.461426,4265.000000,4096.666504,4292.820313,4272.563965,4257.820313,4458.333496,4490.512695,4428.461426,4603.717773,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.231663,1703501124.231930,46.000000,0.000000,4376.410156,4305.769043,4327.051270,4290.769043,4265.512695,4265.000000,4098.205078,4288.974121,4265.256348,4264.487305,4463.205078,4488.974121,4435.256348,4625.128418,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.239471,1703501124.239738,47.000000,0.000000,4375.769043,4305.000000,4329.871582,4288.461426,4266.025879,4265.769043,4101.794922,4285.641113,4265.384766,4275.641113,4466.153809,4494.230957,4436.922852,4632.563965,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703501124.247279,1703501124.247446,48.000000,0.000000,4372.948730,4298.589844,4324.871582,4290.769043,4262.051270,4262.051270,4105.512695,4279.358887,4259.358887,4261.666504,4462.179688,4500.128418,4439.102539,4618.589844,0.000000,3.000000,69.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.665265,0.196838,-0.665283,0.275818,0.995727,-0.104505,0.036626,-13.691101,-34.611187,60.689762
