title:عمار حمام, start timestamp:1703503491.595281, stop timestamp:1703503502.471900, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1394      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503491.595281,1703503491.595613,32.000000,0.000000,4326.025879,4269.615234,4333.077148,4310.641113,4283.077148,4277.436035,4281.282227,4297.179688,4280.256348,4268.846191,4538.589844,4498.846191,4400.128418,4439.871582,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.419235,0.539917,-0.439209,0.582947,1.002564,-0.063484,0.027835,-14.839926,-40.230911,61.779224
1703503491.603089,1703503491.603520,33.000000,0.000000,4325.641113,4268.077148,4326.666504,4313.077148,4283.077148,4280.769043,4283.205078,4295.384766,4277.179688,4263.846191,4539.871582,4494.358887,4399.615234,4440.256348,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703503491.610896,1703503491.611328,34.000000,0.000000,4322.307617,4266.410156,4324.615234,4311.538574,4282.563965,4280.769043,4280.128418,4290.641113,4266.922852,4254.615234,4542.051270,4493.333496,4397.948730,4437.692383,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.618705,1703503491.619236,35.000000,0.000000,4317.692383,4266.538574,4321.666504,4309.615234,4280.000000,4270.000000,4277.051270,4287.948730,4258.333496,4251.153809,4538.846191,4492.179688,4396.153809,4429.358887,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.626513,1703503491.627044,36.000000,0.000000,4319.487305,4265.512695,4322.051270,4310.769043,4278.461426,4264.743652,4278.461426,4290.128418,4260.641113,4252.051270,4537.307617,4493.333496,4391.025879,4428.461426,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.419347,0.539978,-0.439270,0.582764,0.989867,-0.069344,0.017092,-15.039267,-40.291153,61.651302
1703503491.634321,1703503491.634952,37.000000,0.000000,4325.641113,4264.487305,4325.384766,4311.538574,4278.717773,4271.153809,4278.589844,4292.179688,4261.794922,4248.589844,4537.948730,4493.717773,4382.436035,4431.922852,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.642129,1703503491.642760,38.000000,0.000000,4325.769043,4265.128418,4326.282227,4310.384766,4277.820313,4273.846191,4274.743652,4290.512695,4257.820313,4243.077148,4536.410156,4489.743652,4379.230957,4431.922852,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.649937,1703503491.650668,39.000000,0.000000,4323.846191,4264.230957,4323.717773,4309.358887,4275.641113,4271.025879,4273.205078,4290.512695,4258.974121,4243.461426,4534.102539,4487.436035,4381.153809,4430.256348,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.657745,1703503491.658476,40.000000,0.000000,4324.615234,4262.563965,4319.102539,4312.820313,4277.563965,4274.871582,4277.563965,4301.282227,4267.820313,4247.307617,4536.794922,4491.153809,4383.333496,4432.692383,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.419281,0.540161,-0.439270,0.582642,0.990355,-0.060554,0.026370,-14.818673,-40.178703,61.586174
1703503491.665553,1703503491.666384,41.000000,0.000000,4321.410156,4262.051270,4315.000000,4319.358887,4278.333496,4278.717773,4280.256348,4310.641113,4272.307617,4247.820313,4540.000000,4493.205078,4381.538574,4430.641113,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.673361,1703503491.674192,42.000000,0.000000,4317.820313,4262.692383,4313.461426,4324.743652,4276.025879,4277.436035,4279.487305,4310.128418,4272.692383,4249.615234,4537.820313,4490.000000,4380.512695,4426.794922,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.681169,1703503491.681900,43.000000,0.000000,4320.128418,4263.589844,4310.641113,4326.025879,4277.307617,4275.769043,4279.615234,4309.615234,4277.820313,4254.358887,4539.358887,4490.000000,4387.307617,4431.794922,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.688977,1703503491.689708,44.000000,0.000000,4324.487305,4264.358887,4314.230957,4325.128418,4278.205078,4275.128418,4280.641113,4305.000000,4276.538574,4252.051270,4541.794922,4492.563965,4389.871582,4435.769043,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.419373,0.540222,-0.439026,0.582703,0.985960,-0.066414,0.026370,-14.770139,-40.310833,61.710888
1703503491.696785,1703503491.697416,45.000000,0.000000,4327.051270,4265.512695,4321.666504,4330.256348,4279.358887,4276.794922,4282.307617,4293.205078,4264.743652,4245.256348,4538.717773,4493.717773,4387.948730,4436.282227,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.704593,1703503491.705224,46.000000,0.000000,4325.128418,4264.487305,4318.077148,4334.230957,4279.230957,4277.051270,4283.846191,4290.384766,4259.230957,4245.128418,4535.256348,4492.692383,4389.102539,4437.051270,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.712401,1703503491.712932,47.000000,0.000000,4319.615234,4265.000000,4308.846191,4329.743652,4281.794922,4274.615234,4281.538574,4295.128418,4264.743652,4247.563965,4537.820313,4489.871582,4389.871582,4430.256348,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.720209,1703503491.720740,48.000000,0.000000,4315.641113,4265.897461,4304.615234,4324.871582,4288.077148,4275.384766,4280.641113,4297.692383,4272.436035,4252.307617,4546.922852,4493.974121,4396.410156,4429.102539,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.419401,0.540283,-0.438843,0.582764,0.982053,-0.063484,0.030765,-14.626458,-40.313084,61.639801
1703503491.728017,1703503491.728448,49.000000,0.000000,4320.512695,4262.948730,4309.871582,4327.563965,4287.307617,4276.153809,4286.410156,4304.743652,4278.333496,4262.948730,4555.641113,4505.384766,4412.051270,4442.563965,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.735825,1703503491.736256,50.000000,0.000000,4327.051270,4266.666504,4318.077148,4334.871582,4283.974121,4274.230957,4289.743652,4312.563965,4279.871582,4267.692383,4563.461426,4512.820313,4418.333496,4453.205078,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.743633,1703503491.743964,51.000000,0.000000,4326.538574,4275.128418,4317.307617,4338.589844,4283.077148,4273.077148,4286.410156,4311.666504,4277.692383,4262.436035,4567.692383,4516.666504,4413.333496,4454.871582,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.751442,1703503491.751772,52.000000,0.000000,4330.256348,4277.820313,4317.051270,4340.128418,4283.717773,4276.666504,4287.563965,4309.871582,4279.871582,4265.769043,4569.871582,4522.307617,4416.794922,4458.974121,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.419574,0.540100,-0.438660,0.582947,0.995727,-0.069833,0.038091,-14.530479,-40.531776,61.492485
1703503491.759250,1703503491.759480,53.000000,0.000000,4336.922852,4279.102539,4326.410156,4343.077148,4286.153809,4278.846191,4292.179688,4313.333496,4292.436035,4282.051270,4581.410156,4525.512695,4428.974121,4466.794922,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.767058,1703503491.767288,54.000000,0.000000,4331.410156,4275.897461,4326.538574,4340.000000,4284.230957,4272.563965,4287.436035,4311.153809,4296.666504,4284.615234,4580.512695,4520.897461,4428.461426,4464.102539,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.774866,1703503491.774996,55.000000,0.000000,4323.846191,4267.436035,4313.333496,4325.384766,4278.589844,4263.974121,4279.230957,4300.000000,4282.563965,4268.461426,4560.897461,4510.897461,4414.102539,4447.307617,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.782674,1703503491.782804,56.000000,0.000000,4320.897461,4265.512695,4310.256348,4314.743652,4277.692383,4261.922852,4278.077148,4294.743652,4276.025879,4259.743652,4556.922852,4502.948730,4406.666504,4441.922852,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.419691,0.539795,-0.438843,0.583008,0.984984,-0.078623,0.036626,-14.577432,-40.311932,61.609905
1703503491.790482,1703503491.790512,57.000000,0.000000,4312.820313,4264.102539,4313.077148,4312.051270,4277.179688,4261.666504,4277.948730,4296.666504,4281.282227,4263.974121,4560.512695,4497.051270,4402.692383,4442.436035,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.798290,1703503491.798420,58.000000,0.000000,4311.153809,4260.641113,4309.102539,4309.487305,4273.974121,4260.641113,4275.000000,4293.974121,4274.615234,4262.820313,4548.333496,4487.307617,4395.897461,4432.563965,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.806098,1703503491.806228,59.000000,0.000000,4323.846191,4266.153809,4311.153809,4310.641113,4278.589844,4262.692383,4276.153809,4288.846191,4264.358887,4256.538574,4546.025879,4484.230957,4399.487305,4435.256348,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.813906,1703503491.814136,60.000000,0.000000,4330.128418,4269.230957,4320.128418,4312.948730,4282.051270,4263.846191,4277.307617,4284.487305,4261.794922,4248.461426,4555.641113,4490.641113,4403.846191,4447.436035,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.419785,0.539490,-0.439209,0.582947,1.000122,-0.084483,0.027347,-14.486355,-40.314072,61.582249
1703503491.821714,1703503491.821944,61.000000,0.000000,4320.256348,4259.102539,4322.307617,4312.563965,4280.897461,4264.358887,4275.000000,4282.307617,4259.743652,4242.563965,4555.000000,4491.153809,4398.846191,4443.846191,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.829522,1703503491.829852,62.000000,0.000000,4313.333496,4247.948730,4320.256348,4310.897461,4279.871582,4266.666504,4279.487305,4290.897461,4260.769043,4246.922852,4549.615234,4488.205078,4395.769043,4436.025879,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.837330,1703503491.837660,63.000000,0.000000,4313.077148,4233.461426,4318.589844,4305.512695,4271.538574,4266.666504,4279.102539,4299.487305,4264.871582,4250.384766,4546.922852,4490.128418,4395.897461,4432.820313,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503491.845138,1703503491.845568,64.000000,0.000000,4303.205078,4196.538574,4307.051270,4296.922852,4256.282227,4260.128418,4266.153809,4289.230957,4257.820313,4240.897461,4535.512695,4479.615234,4381.153809,4417.051270,5290.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.420012,0.539246,-0.439453,0.582825,0.997192,-0.070321,0.031254,-14.387719,-40.349331,61.424023
