title:ليال حمام, start timestamp:1703407930.596975, stop timestamp:1703407941.278389, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1369      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703407930.596975,1703407930.597487,112.000000,0.000000,4222.179688,4193.077148,4312.179688,4262.692383,4182.563965,4170.769043,4232.051270,4203.589844,4198.461426,4186.922852,4663.974121,4492.820313,4400.897461,4488.205078,6601.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.722471,-0.187195,-0.651550,-0.135925,0.980100,-0.096691,0.071786,-14.831052,-41.473747,65.717247
1703407930.604783,1703407930.605195,113.000000,0.000000,4227.179688,4200.128418,4325.512695,4268.589844,4185.128418,4166.666504,4230.128418,4193.333496,4187.051270,4192.051270,4669.615234,4493.461426,4409.615234,4487.563965,7175.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.612591,1703407930.613003,114.000000,0.000000,4232.051270,4208.333496,4324.230957,4274.615234,4184.358887,4164.230957,4230.256348,4183.205078,4174.358887,4182.692383,4665.256348,4490.897461,4405.897461,4502.948730,5906.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.620399,1703407930.620711,115.000000,0.000000,4242.820313,4215.000000,4312.051270,4282.563965,4188.205078,4165.256348,4232.307617,4177.948730,4170.641113,4168.717773,4658.974121,4486.538574,4400.897461,4512.948730,6075.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.628207,1703407930.628519,116.000000,0.000000,4243.846191,4213.077148,4311.410156,4280.256348,4198.333496,4159.871582,4232.692383,4172.820313,4163.846191,4168.846191,4650.512695,4474.358887,4398.461426,4504.487305,6601.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.722296,-0.186890,-0.651794,-0.136108,0.989867,-0.108412,0.073251,-14.831280,-41.476372,65.795525
1703407930.636016,1703407930.636227,117.000000,0.000000,4230.897461,4213.717773,4322.563965,4273.077148,4201.282227,4153.461426,4232.051270,4161.153809,4150.897461,4171.922852,4644.743652,4472.820313,4397.563965,4505.256348,7175.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.643824,1703407930.644035,118.000000,0.000000,4226.282227,4214.102539,4320.897461,4275.256348,4191.153809,4159.102539,4231.794922,4153.461426,4145.641113,4158.974121,4640.512695,4482.051270,4397.692383,4497.692383,5906.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.651631,1703407930.651743,119.000000,0.000000,4224.230957,4207.307617,4308.461426,4280.000000,4184.102539,4170.384766,4232.692383,4166.538574,4153.461426,4151.538574,4633.974121,4481.282227,4394.487305,4473.717773,6075.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.659440,1703407930.659551,120.000000,0.000000,4214.487305,4205.128418,4307.563965,4278.717773,4188.589844,4171.922852,4233.974121,4191.282227,4172.051270,4167.051270,4640.384766,4480.256348,4391.538574,4480.897461,6601.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.722198,-0.186707,-0.651917,-0.136292,0.982542,-0.105482,0.079111,-14.898152,-41.412071,65.682640
1703407930.667248,1703407930.667259,121.000000,0.000000,4223.974121,4208.589844,4316.410156,4277.051270,4183.589844,4169.487305,4235.769043,4206.666504,4198.974121,4186.922852,4663.077148,4491.794922,4402.948730,4510.256348,7175.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.675056,1703407930.675067,122.000000,0.000000,4235.769043,4205.128418,4319.230957,4272.820313,4170.256348,4171.538574,4235.512695,4209.615234,4215.256348,4199.102539,4673.589844,4501.794922,4415.128418,4505.512695,5906.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.682864,1703407930.682775,123.000000,0.000000,4222.307617,4196.153809,4310.641113,4260.384766,4174.230957,4172.436035,4233.461426,4210.769043,4210.256348,4199.743652,4664.230957,4494.871582,4408.589844,4481.410156,6075.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407930.690672,1703407930.690683,124.000000,0.000000,4207.820313,4187.948730,4300.641113,4252.948730,4184.743652,4170.641113,4233.846191,4203.589844,4200.641113,4190.769043,4653.205078,4479.487305,4397.051270,4479.743652,6601.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.722136,-0.186646,-0.651978,-0.136414,0.974728,-0.086925,0.083018,-14.958337,-41.304195,65.664375
