title:محمد حمام, start timestamp:1703415430.592326, stop timestamp:1703415441.398667, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1385      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415430.592326,1703415430.592584,48.000000,0.000000,4232.563965,4228.077148,4303.461426,4262.051270,4211.153809,4202.436035,4245.897461,4199.615234,4201.794922,4206.666504,4513.461426,4424.487305,4328.717773,4445.384766,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.676451,0.266785,-0.641052,0.245544,0.985960,0.044927,0.049322,-16.635874,-38.329922,64.867691
1703415430.600134,1703415430.600492,49.000000,0.000000,4226.538574,4231.794922,4294.871582,4263.974121,4217.179688,4200.384766,4246.153809,4196.922852,4188.717773,4221.410156,4502.563965,4418.333496,4334.230957,4447.436035,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415430.607942,1703415430.608300,50.000000,0.000000,4233.717773,4230.897461,4292.563965,4265.641113,4233.333496,4205.512695,4247.179688,4201.282227,4189.358887,4217.948730,4504.230957,4431.153809,4330.897461,4450.128418,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415430.615750,1703415430.616209,51.000000,0.000000,4233.846191,4231.282227,4295.641113,4263.589844,4231.282227,4206.538574,4247.307617,4203.461426,4199.358887,4216.410156,4531.153809,4435.897461,4339.743652,4450.769043,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415430.623558,1703415430.624017,52.000000,0.000000,4231.025879,4231.538574,4300.384766,4263.333496,4223.333496,4201.794922,4248.077148,4203.717773,4199.743652,4219.230957,4533.717773,4443.717773,4347.563965,4453.589844,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.676475,0.266724,-0.641052,0.245544,0.980100,0.041021,0.026370,-16.605619,-38.413597,64.847588
1703415430.631367,1703415430.631925,53.000000,0.000000,4241.153809,4231.922852,4308.461426,4271.666504,4232.179688,4205.641113,4250.897461,4212.179688,4204.487305,4214.230957,4514.230957,4465.897461,4341.410156,4462.948730,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415430.639175,1703415430.639733,54.000000,0.000000,4243.205078,4236.153809,4311.282227,4275.512695,4234.743652,4214.743652,4253.846191,4218.717773,4217.051270,4225.128418,4528.333496,4467.436035,4345.384766,4469.743652,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415430.646983,1703415430.647641,55.000000,0.000000,4230.512695,4236.794922,4304.615234,4266.153809,4217.051270,4212.051270,4252.436035,4210.256348,4211.282227,4227.179688,4544.743652,4446.922852,4354.230957,4461.922852,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415430.654791,1703415430.655449,56.000000,0.000000,4230.000000,4233.205078,4299.871582,4263.333496,4216.410156,4208.461426,4247.820313,4200.512695,4196.538574,4202.307617,4518.205078,4447.948730,4344.615234,4455.128418,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.676347,0.266846,-0.641113,0.245605,0.991332,0.039067,0.049811,-16.595057,-38.672237,64.779495
1703415430.662599,1703415430.663358,57.000000,0.000000,4236.410156,4231.666504,4296.794922,4266.794922,4231.153809,4211.538574,4246.538574,4198.589844,4195.512695,4202.948730,4508.333496,4455.384766,4337.179688,4454.615234,0.000000,2.000000,54.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
