title:مريان حمام, start timestamp:1703413807.038084, stop timestamp:1703413818.289488, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1098      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703413807.038084,1703413807.041618,1.000000,0.000000,4274.487305,4248.333496,4288.333496,4286.538574,4250.128418,4342.820313,4284.743652,4231.282227,4213.461426,4205.000000,4517.051270,4456.922852,4345.641113,4436.666504,5415.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.045892,1703413807.049326,2.000000,0.000000,4259.358887,4230.512695,4279.615234,4277.179688,4236.538574,4342.820313,4280.256348,4230.000000,4211.794922,4196.025879,4501.666504,4441.794922,4329.102539,4418.846191,5096.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.053700,1703413807.057134,3.000000,0.000000,4264.743652,4224.358887,4283.846191,4275.769043,4228.461426,4340.512695,4280.897461,4228.974121,4214.102539,4201.410156,4505.000000,4445.769043,4344.871582,4423.205078,5297.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.061508,1703413807.064842,4.000000,0.000000,4274.615234,4241.153809,4288.077148,4283.205078,4235.769043,4351.282227,4283.205078,4237.948730,4214.358887,4220.769043,4514.358887,4459.743652,4351.666504,4437.948730,5153.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.380832,0.616089,-0.253723,0.641113,0.997680,0.154316,0.115737,-19.710100,-32.054920,66.133438
1703413807.069316,1703413807.072650,5.000000,0.000000,4266.922852,4238.205078,4284.230957,4284.230957,4245.897461,4366.025879,4287.820313,4254.743652,4224.487305,4228.589844,4522.307617,4463.846191,4343.589844,4441.282227,4460.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.077124,1703413807.080358,6.000000,0.000000,4267.436035,4233.846191,4286.794922,4284.615234,4247.820313,4372.948730,4291.410156,4260.512695,4234.871582,4223.461426,4528.974121,4464.615234,4360.000000,4444.743652,2705.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.084932,1703413807.088166,7.000000,0.000000,4281.666504,4244.743652,4290.128418,4291.025879,4239.102539,4374.230957,4288.333496,4249.487305,4224.358887,4223.205078,4520.384766,4465.000000,4370.769043,4447.948730,4771.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.092740,1703413807.095874,8.000000,0.000000,4280.384766,4242.307617,4286.025879,4287.692383,4230.128418,4377.948730,4287.436035,4236.410156,4210.897461,4223.589844,4515.641113,4463.333496,4359.487305,4443.846191,4402.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.380853,0.616089,-0.253845,0.641052,0.969845,0.153827,0.117202,-19.639090,-32.132759,66.286758
1703413807.100548,1703413807.103782,9.000000,0.000000,4273.461426,4229.102539,4288.205078,4281.794922,4238.846191,4387.820313,4293.589844,4233.974121,4214.487305,4222.820313,4533.974121,4463.974121,4365.256348,4443.461426,5330.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.108357,1703413807.111590,10.000000,0.000000,4278.077148,4233.717773,4293.205078,4287.820313,4248.205078,4397.307617,4294.871582,4236.153809,4218.846191,4224.358887,4543.333496,4463.846191,4376.666504,4449.743652,5896.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703413807.116165,1703413807.119398,11.000000,0.000000,4281.282227,4240.000000,4287.692383,4287.820313,4236.922852,4397.820313,4291.666504,4229.487305,4214.102539,4218.205078,4524.230957,4458.717773,4363.589844,4448.974121,6078.000000,3.000000,58.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
