title:مضر حمام, start timestamp:1703402871.887208, stop timestamp:1703402882.795058, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1398      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703402871.887208,1703402871.887553,95.000000,0.000000,3990.512939,4164.615234,4206.025879,4169.230957,4138.333496,4154.102539,4275.000000,4166.922852,4154.487305,4123.461426,4266.153809,4378.333496,4127.179688,4305.384766,6184.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.895016,1703402871.895460,96.000000,0.000000,3980.641113,4161.153809,4196.922852,4167.436035,4136.922852,4151.666504,4272.436035,4164.743652,4153.589844,4123.077148,4251.410156,4376.922852,4130.897461,4295.384766,6634.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.667124,-0.065002,-0.715942,0.195313,0.925894,-0.356977,-0.026859,-30.136528,-6.595289,73.486382
1703402871.902824,1703402871.903268,97.000000,0.000000,3962.435791,4155.769043,4197.692383,4162.948730,4141.282227,4152.436035,4269.358887,4167.436035,4160.897461,4125.000000,4250.384766,4376.538574,4123.205078,4301.153809,6528.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.910632,1703402871.911176,98.000000,0.000000,3968.846191,4157.051270,4205.769043,4165.897461,4139.487305,4155.000000,4271.153809,4177.436035,4167.692383,4123.974121,4262.179688,4384.358887,4125.256348,4316.538574,5845.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.918440,1703402871.918984,99.000000,0.000000,3982.179443,4162.563965,4206.922852,4167.948730,4140.256348,4157.051270,4272.820313,4185.384766,4169.102539,4128.077148,4267.820313,4387.692383,4135.897461,4316.153809,6184.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.926248,1703402871.926892,100.000000,0.000000,3983.076904,4169.102539,4203.589844,4168.333496,4143.077148,4156.666504,4270.384766,4180.384766,4166.153809,4133.974121,4263.974121,4384.102539,4137.051270,4304.871582,6634.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.667040,-0.065186,-0.716003,0.195313,0.920034,-0.362837,-0.022464,-30.139542,-6.519094,73.504410
1703402871.934056,1703402871.934700,101.000000,0.000000,3970.384521,4165.769043,4203.333496,4168.461426,4141.410156,4155.384766,4270.128418,4173.589844,4161.282227,4130.512695,4255.512695,4384.615234,4125.897461,4297.436035,6528.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.941865,1703402871.942608,102.000000,0.000000,3959.230713,4156.794922,4202.307617,4166.794922,4137.820313,4153.974121,4272.820313,4175.256348,4157.948730,4118.846191,4242.436035,4383.589844,4116.282227,4295.128418,5845.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.949673,1703402871.950416,103.000000,0.000000,3961.794922,4164.102539,4201.025879,4168.974121,4137.179688,4152.948730,4266.538574,4170.512695,4152.179688,4107.436035,4233.589844,4378.333496,4121.794922,4295.512695,6184.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402871.957481,1703402871.958324,104.000000,0.000000,3953.461426,4169.743652,4202.692383,4166.666504,4138.846191,4152.179688,4260.897461,4155.000000,4141.922852,4100.128418,4225.897461,4374.230957,4125.256348,4288.846191,6634.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.667082,-0.065247,-0.715942,0.195374,0.917104,-0.356977,-0.033696,-30.142254,-6.700517,73.553970
