title:ملاح حمام, start timestamp:1703495939.176273, stop timestamp:1703495952.731044, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1737      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703495939.176273,1703495939.176422,92.000000,0.000000,4224.743652,4217.563965,4285.256348,4285.256348,4214.871582,4201.282227,4234.358887,4188.333496,4216.410156,4220.897461,4516.282227,4466.666504,4349.743652,4446.025879,6651.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.675806,0.250000,-0.662781,0.203735,0.992797,0.078135,-0.009767,-17.281595,-38.326466,65.072266
1703495939.184081,1703495939.184130,93.000000,0.000000,4227.307617,4217.307617,4282.948730,4283.077148,4213.846191,4201.153809,4235.128418,4171.666504,4213.589844,4204.102539,4506.666504,4459.230957,4345.769043,4431.538574,6264.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495939.191889,1703495939.192038,94.000000,0.000000,4234.871582,4217.820313,4284.871582,4288.846191,4213.846191,4201.538574,4239.230957,4163.589844,4215.000000,4193.333496,4507.563965,4451.282227,4347.307617,4431.666504,5941.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495939.199697,1703495939.199846,95.000000,0.000000,4226.153809,4215.512695,4284.871582,4282.820313,4214.487305,4206.282227,4240.384766,4169.230957,4215.512695,4198.846191,4509.230957,4452.692383,4344.743652,4428.974121,6195.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495939.207505,1703495939.207754,96.000000,0.000000,4226.153809,4214.487305,4282.179688,4276.025879,4214.102539,4222.692383,4240.769043,4178.333496,4224.102539,4200.512695,4512.948730,4459.358887,4349.230957,4425.128418,6651.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.675824,0.250000,-0.662781,0.203674,0.985960,0.058113,-0.001953,-17.320103,-38.277153,64.998375
1703495939.215313,1703495939.215562,97.000000,0.000000,4231.538574,4214.871582,4285.384766,4283.717773,4215.000000,4234.615234,4244.743652,4187.436035,4233.589844,4208.717773,4523.974121,4466.538574,4361.922852,4445.512695,6264.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495939.223121,1703495939.223470,98.000000,0.000000,4228.205078,4217.179688,4293.974121,4291.410156,4218.589844,4236.410156,4248.333496,4198.205078,4236.410156,4220.384766,4527.307617,4469.102539,4361.922852,4464.487305,5941.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495939.230929,1703495939.231278,99.000000,0.000000,4236.282227,4225.512695,4297.820313,4293.846191,4219.487305,4232.948730,4248.589844,4200.384766,4231.922852,4205.256348,4518.974121,4468.974121,4355.512695,4451.025879,6195.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495939.238737,1703495939.239186,100.000000,0.000000,4249.358887,4230.384766,4296.153809,4297.307617,4218.205078,4224.102539,4248.589844,4200.641113,4224.102539,4190.128418,4516.538574,4475.128418,4358.461426,4437.692383,6651.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.675907,0.249939,-0.662720,0.203674,0.991820,0.069344,-0.001465,-17.371426,-38.166103,65.115204
1703495939.246545,1703495939.246994,101.000000,0.000000,4250.897461,4227.307617,4291.666504,4297.051270,4216.922852,4216.410156,4247.692383,4204.743652,4217.563965,4198.461426,4523.333496,4478.077148,4360.256348,4450.256348,6264.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
