title:نوار حمام, start timestamp:1703161745.233810, stop timestamp:1703161756.094810, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1392      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703161745.233810,1703161745.234392,3.000000,0.000000,4144.615234,4128.333496,4264.871582,4216.410156,4140.000000,4125.512695,4071.666748,4140.000000,4123.461426,4143.974121,4616.153809,4437.436035,4365.641113,4476.282227,5242.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.241618,1703161745.242300,4.000000,0.000000,4138.846191,4130.641113,4264.230957,4215.128418,4134.102539,4125.000000,4075.641113,4140.256348,4130.256348,4145.641113,4615.897461,4434.743652,4371.025879,4474.615234,5091.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.543256,-0.440247,-0.465942,-0.542175,0.976682,0.065926,0.170919,-17.909479,-30.977270,65.006386
1703161745.249426,1703161745.250108,5.000000,0.000000,4138.461426,4128.205078,4260.512695,4216.025879,4136.282227,4126.282227,4086.153809,4141.153809,4132.179688,4137.948730,4621.410156,4432.307617,4374.358887,4475.000000,5150.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.257234,1703161745.258016,6.000000,0.000000,4140.128418,4128.461426,4258.846191,4216.410156,4141.794922,4126.922852,4095.256348,4138.589844,4123.333496,4131.410156,4617.051270,4428.717773,4370.641113,4474.230957,5038.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.265042,1703161745.265824,7.000000,0.000000,4145.769043,4137.179688,4263.205078,4217.179688,4137.948730,4124.743652,4109.230957,4136.666504,4120.897461,4135.512695,4615.897461,4433.333496,4371.153809,4475.897461,5257.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.272850,1703161745.273732,8.000000,0.000000,4152.307617,4139.487305,4269.487305,4218.589844,4138.333496,4123.846191,4122.820313,4135.000000,4122.307617,4139.487305,4628.846191,4444.615234,4379.102539,4485.897461,5073.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.543026,-0.440369,-0.465881,-0.542358,0.978635,0.080088,0.159687,-17.951866,-31.062876,65.122414
1703161745.280658,1703161745.281540,9.000000,0.000000,4152.820313,4133.333496,4269.230957,4219.615234,4142.051270,4120.512695,4123.205078,4127.307617,4113.333496,4133.077148,4631.794922,4445.384766,4381.153809,4490.641113,5253.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.288466,1703161745.289348,10.000000,0.000000,4152.563965,4135.769043,4265.512695,4220.000000,4135.769043,4110.897461,4117.820313,4123.589844,4103.717773,4127.692383,4621.282227,4436.794922,4377.563965,4482.051270,5803.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.296275,1703161745.297156,11.000000,0.000000,4155.512695,4137.051270,4266.922852,4218.461426,4129.230957,4108.974121,4115.512695,4130.256348,4110.000000,4133.077148,4624.743652,4440.128418,4376.922852,4483.205078,6147.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161745.304083,1703161745.304864,12.000000,0.000000,4150.384766,4127.948730,4267.307617,4214.487305,4133.077148,4120.641113,4110.769043,4140.641113,4121.153809,4138.461426,4633.205078,4449.615234,4375.000000,4491.538574,6569.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.542968,-0.440430,-0.465820,-0.542419,0.976193,0.083506,0.164571,-18.073345,-30.889921,65.026840
