title:يمان حمام, start timestamp:1703417150.809093, stop timestamp:1703417161.506121, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1371      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703417150.809093,1703417150.809373,11.000000,0.000000,4237.307617,4227.179688,4303.205078,4276.153809,4224.871582,4209.871582,4224.743652,4202.051270,4192.563965,4201.922852,4542.051270,4468.077148,4362.307617,4473.077148,6366.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.816901,1703417150.817282,12.000000,0.000000,4244.487305,4234.871582,4307.436035,4278.205078,4228.205078,4217.307617,4225.384766,4206.794922,4204.487305,4220.641113,4550.641113,4474.615234,4371.922852,4482.692383,6888.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.718796,0.048645,-0.674377,0.161804,0.973752,-0.152851,0.076670,-13.674045,-47.155277,65.696823
1703417150.824709,1703417150.825090,13.000000,0.000000,4242.436035,4229.615234,4301.025879,4273.461426,4221.153809,4210.384766,4221.666504,4197.307617,4196.410156,4201.794922,4539.871582,4462.436035,4361.922852,4470.512695,7421.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.832517,1703417150.832998,14.000000,0.000000,4235.256348,4230.256348,4291.153809,4274.871582,4225.384766,4211.666504,4225.769043,4192.307617,4189.743652,4188.589844,4529.487305,4450.897461,4350.128418,4457.436035,6113.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.840325,1703417150.840806,15.000000,0.000000,4229.871582,4234.871582,4285.256348,4273.846191,4228.846191,4217.692383,4225.512695,4193.077148,4192.692383,4197.307617,4528.717773,4447.179688,4349.615234,4452.436035,6366.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.848133,1703417150.848714,16.000000,0.000000,4233.077148,4231.922852,4286.794922,4271.922852,4226.025879,4217.307617,4222.563965,4185.897461,4189.230957,4193.589844,4529.102539,4443.974121,4353.717773,4451.794922,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.718734,0.048523,-0.674438,0.161865,0.972775,-0.163594,0.073739,-13.523307,-47.006416,65.627144
1703417150.855941,1703417150.856522,17.000000,0.000000,4235.512695,4229.487305,4287.563965,4275.128418,4228.461426,4215.641113,4226.922852,4181.666504,4184.615234,4186.153809,4528.974121,4442.948730,4357.692383,4454.230957,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.863749,1703417150.864430,18.000000,0.000000,4235.384766,4233.461426,4286.153809,4275.256348,4229.615234,4218.589844,4227.179688,4185.641113,4190.641113,4202.820313,4530.512695,4446.666504,4358.205078,4461.410156,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.871557,1703417150.872238,19.000000,0.000000,4240.512695,4238.974121,4293.333496,4277.436035,4228.205078,4224.487305,4228.205078,4196.794922,4207.051270,4219.487305,4545.256348,4460.256348,4368.333496,4475.512695,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.879365,1703417150.879946,20.000000,0.000000,4243.333496,4236.922852,4300.384766,4281.538574,4225.897461,4215.512695,4232.820313,4201.922852,4210.256348,4212.179688,4550.384766,4466.282227,4376.794922,4476.410156,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.718720,0.048523,-0.674438,0.161926,0.969357,-0.154316,0.088390,-13.504310,-46.972443,65.697762
1703417150.887173,1703417150.887754,21.000000,0.000000,4245.128418,4240.769043,4303.333496,4285.384766,4225.384766,4205.897461,4228.974121,4203.077148,4203.717773,4207.307617,4550.512695,4471.410156,4375.384766,4476.538574,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.894982,1703417150.895462,22.000000,0.000000,4251.538574,4249.487305,4307.179688,4289.487305,4230.128418,4212.051270,4230.256348,4209.358887,4207.948730,4208.974121,4561.538574,4481.410156,4376.794922,4484.615234,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.902789,1703417150.903270,23.000000,0.000000,4249.871582,4243.589844,4301.666504,4287.179688,4231.794922,4214.358887,4234.487305,4211.153809,4208.974121,4210.128418,4555.897461,4472.307617,4371.794922,4476.794922,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.910597,1703417150.910978,24.000000,0.000000,4243.717773,4235.512695,4292.948730,4281.922852,4227.436035,4213.333496,4230.128418,4214.230957,4208.205078,4223.205078,4543.717773,4462.307617,4365.256348,4466.153809,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.718892,0.048523,-0.674255,0.161926,0.983030,-0.163594,0.073739,-13.387212,-46.858532,65.811317
1703417150.918406,1703417150.918786,25.000000,0.000000,4233.077148,4234.743652,4286.025879,4275.769043,4222.563965,4211.794922,4228.461426,4214.102539,4208.589844,4216.666504,4540.256348,4459.487305,4360.384766,4457.692383,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.926214,1703417150.926494,26.000000,0.000000,4223.717773,4235.256348,4280.384766,4275.256348,4228.717773,4212.948730,4232.307617,4204.230957,4204.230957,4191.025879,4532.820313,4446.666504,4351.538574,4444.102539,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.934022,1703417150.934403,27.000000,0.000000,4230.000000,4235.897461,4284.230957,4284.487305,4241.282227,4222.179688,4234.230957,4208.589844,4207.948730,4198.333496,4534.615234,4444.743652,4353.717773,4448.461426,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.941830,1703417150.942211,28.000000,0.000000,4239.487305,4236.794922,4285.769043,4285.769043,4239.358887,4225.128418,4234.871582,4219.871582,4213.717773,4210.384766,4542.820313,4450.897461,4359.871582,4457.820313,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.718838,0.048462,-0.674316,0.161926,0.981077,-0.157734,0.085948,-13.481824,-46.939346,65.813522
1703417150.949638,1703417150.950119,29.000000,0.000000,4239.615234,4238.077148,4285.769043,4282.051270,4236.794922,4222.307617,4238.461426,4218.461426,4216.153809,4208.461426,4542.692383,4452.051270,4358.589844,4456.153809,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.957446,1703417150.957927,30.000000,0.000000,4233.589844,4236.282227,4289.102539,4284.487305,4239.487305,4223.589844,4236.282227,4213.846191,4219.871582,4209.358887,4542.692383,4452.820313,4358.205078,4456.410156,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,75.000000,4.000000,4.000000,3.000000,4.000000,3.000000,3.000000,3.000000,4.000000,3.000000,4.000000,3.000000,3.000000,4.000000,4.000000,,,,,,,,,,,,
1703417150.965254,1703417150.965835,31.000000,0.000000,4235.512695,4238.974121,4290.256348,4289.230957,4236.922852,4224.743652,4232.820313,4214.743652,4218.974121,4207.179688,4548.589844,4455.128418,4362.563965,4462.820313,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417150.973062,1703417150.973643,32.000000,0.000000,4252.692383,4251.153809,4296.794922,4294.102539,4240.897461,4229.102539,4238.333496,4218.461426,4220.128418,4220.128418,4558.205078,4466.025879,4372.051270,4477.307617,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.718919,0.048279,-0.674316,0.161621,0.971310,-0.144061,0.083995,-13.333642,-46.962078,65.782166
1703417150.980870,1703417150.981551,33.000000,0.000000,4254.487305,4253.461426,4300.641113,4290.384766,4241.025879,4230.897461,4236.794922,4215.256348,4221.410156,4233.717773,4556.666504,4463.846191,4372.307617,4475.512695,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
