title:حلاق حمام, start timestamp:1703153490.790835, stop timestamp:1703153501.565939, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1381      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153490.790835,1703153490.791597,8.000000,0.000000,4195.128418,4188.846191,4253.077148,4242.051270,4198.717773,4193.846191,4323.846191,4169.871582,4155.128418,4136.282227,4459.358887,4405.897461,4320.000000,4425.641113,5389.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,2.000000,0.000000,0.637542,0.414612,-0.554199,0.338379,0.987425,0.150409,0.037602,-16.874306,-29.388624,63.498161
1703153490.798643,1703153490.799505,9.000000,0.000000,4188.589844,4178.974121,4247.948730,4232.051270,4191.153809,4194.230957,4319.487305,4176.025879,4156.538574,4137.179688,4453.974121,4406.538574,4313.974121,4413.974121,5302.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153490.806451,1703153490.807313,10.000000,0.000000,4197.051270,4188.205078,4257.436035,4238.974121,4183.333496,4188.333496,4318.077148,4200.512695,4179.487305,4163.333496,4480.384766,4427.051270,4327.307617,4429.487305,5953.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153490.814259,1703153490.815221,11.000000,0.000000,4208.205078,4202.307617,4267.692383,4250.256348,4186.538574,4186.410156,4323.846191,4207.179688,4191.282227,4176.538574,4497.563965,4434.358887,4346.153809,4454.487305,6369.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153490.822067,1703153490.823029,12.000000,0.000000,4207.948730,4199.743652,4261.153809,4249.487305,4190.000000,4187.307617,4324.871582,4200.641113,4188.974121,4174.743652,4496.922852,4433.205078,4355.384766,4450.641113,6775.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,3.000000,0.000000,0.637404,0.414612,-0.554321,0.338440,0.973263,0.146502,0.041509,-16.686876,-29.433096,63.531681
1703153490.829875,1703153490.830737,13.000000,0.000000,4208.461426,4187.051270,4258.717773,4243.846191,4186.282227,4184.743652,4322.307617,4200.641113,4192.051270,4173.717773,4494.743652,4435.512695,4348.589844,4439.230957,7199.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153490.837683,1703153490.838545,14.000000,0.000000,4209.230957,4185.384766,4263.717773,4243.974121,4179.871582,4182.948730,4318.333496,4201.538574,4189.358887,4171.410156,4494.487305,4430.512695,4343.333496,4449.487305,5953.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153490.845492,1703153490.846253,15.000000,0.000000,4200.641113,4192.948730,4262.307617,4243.205078,4177.948730,4183.974121,4318.846191,4197.948730,4183.461426,4172.948730,4496.282227,4430.897461,4350.128418,4451.025879,6369.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153490.853300,1703153490.854061,16.000000,0.000000,4199.230957,4189.743652,4264.615234,4242.820313,4182.948730,4180.384766,4322.307617,4193.846191,4183.589844,4168.589844,4492.948730,4438.333496,4346.025879,4426.282227,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,4.000000,0.000000,0.637284,0.414551,-0.554504,0.338440,0.971798,0.157734,0.034184,-16.451521,-29.456453,63.545177
1703153490.861107,1703153490.861769,17.000000,0.000000,4198.717773,4180.384766,4265.897461,4245.641113,4187.307617,4180.897461,4320.512695,4190.897461,4179.358887,4156.410156,4488.589844,4436.025879,4336.666504,4423.205078,0.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
