title:محمد دواء 2, start timestamp:1703415572.449039, stop timestamp:1703415583.177301, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1375      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415572.449039,1703415572.449213,40.000000,0.000000,4264.230957,4228.077148,4299.230957,4291.538574,4222.948730,4226.794922,4230.769043,4259.743652,4238.589844,4220.000000,4556.153809,4495.384766,4394.487305,4494.230957,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.673612,0.271667,-0.634277,0.264832,0.999145,0.039556,0.039067,-16.509279,-38.641750,65.429466
1703415572.456847,1703415572.457121,41.000000,0.000000,4255.769043,4231.153809,4306.666504,4292.436035,4232.307617,4230.897461,4232.692383,4263.717773,4246.410156,4234.230957,4570.512695,4506.922852,4397.692383,4507.563965,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.464655,1703415572.464929,42.000000,0.000000,4247.051270,4224.743652,4302.820313,4293.717773,4235.128418,4229.358887,4227.051270,4260.641113,4245.512695,4229.230957,4569.102539,4505.128418,4398.461426,4508.333496,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.472463,1703415572.472837,43.000000,0.000000,4239.487305,4218.461426,4295.128418,4289.871582,4225.256348,4216.922852,4220.384766,4251.025879,4238.461426,4215.897461,4555.256348,4493.717773,4394.102539,4485.641113,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.480271,1703415572.480646,44.000000,0.000000,4227.051270,4216.025879,4297.692383,4283.077148,4222.692383,4215.128418,4215.000000,4245.641113,4232.948730,4223.333496,4543.077148,4491.794922,4386.794922,4469.743652,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.673477,0.271301,-0.634399,0.265259,0.993285,0.025394,0.041997,-16.441685,-38.444244,65.353188
1703415572.488079,1703415572.488554,45.000000,0.000000,4216.922852,4214.871582,4300.128418,4286.282227,4230.128418,4220.384766,4213.974121,4245.384766,4233.077148,4230.512695,4546.794922,4495.641113,4384.871582,4474.358887,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.495888,1703415572.496362,46.000000,0.000000,4217.692383,4217.307617,4296.794922,4291.538574,4229.615234,4220.000000,4215.897461,4246.538574,4235.641113,4226.410156,4560.897461,4492.179688,4385.128418,4478.717773,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.503696,1703415572.504270,47.000000,0.000000,4219.871582,4219.871582,4295.000000,4286.794922,4226.666504,4223.846191,4215.256348,4245.256348,4231.025879,4228.461426,4555.384766,4484.871582,4383.846191,4471.282227,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.511504,1703415572.512078,48.000000,0.000000,4212.051270,4217.563965,4291.922852,4280.128418,4230.769043,4229.358887,4217.948730,4241.666504,4223.333496,4224.615234,4536.538574,4478.205078,4378.589844,4460.128418,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.673528,0.270935,-0.634399,0.265503,0.984007,0.024905,0.054206,-16.347515,-38.516487,65.334534
1703415572.519312,1703415572.519786,49.000000,0.000000,4201.922852,4213.846191,4290.000000,4281.282227,4232.051270,4229.102539,4225.512695,4244.487305,4229.871582,4210.769043,4540.000000,4479.871582,4371.410156,4457.307617,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.527120,1703415572.527694,50.000000,0.000000,4207.948730,4216.282227,4299.487305,4290.512695,4230.256348,4233.846191,4231.410156,4257.436035,4246.025879,4218.717773,4565.256348,4495.641113,4382.692383,4469.615234,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.534928,1703415572.535502,51.000000,0.000000,4219.487305,4219.358887,4311.538574,4293.333496,4233.717773,4238.461426,4232.563965,4263.717773,4247.820313,4238.077148,4573.846191,4508.589844,4399.230957,4479.743652,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.542736,1703415572.543310,52.000000,0.000000,4221.794922,4214.743652,4315.769043,4285.128418,4226.025879,4234.102539,4228.077148,4255.769043,4237.307617,4234.358887,4556.794922,4509.230957,4390.256348,4474.871582,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.673511,0.270691,-0.634521,0.265503,0.990844,0.020999,0.050299,-16.412764,-38.731503,65.217751
1703415572.550544,1703415572.551019,53.000000,0.000000,4216.025879,4203.461426,4308.846191,4277.436035,4211.153809,4231.794922,4221.153809,4247.692383,4230.384766,4221.410156,4546.025879,4498.461426,4374.615234,4466.922852,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.558352,1703415572.558826,54.000000,0.000000,4204.743652,4199.743652,4295.128418,4273.589844,4216.282227,4235.769043,4218.461426,4244.102539,4225.128418,4216.666504,4543.589844,4485.641113,4373.333496,4455.128418,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.566160,1703415572.566535,55.000000,0.000000,4197.948730,4208.461426,4289.871582,4275.641113,4233.589844,4235.897461,4220.128418,4243.205078,4217.307617,4217.692383,4540.000000,4484.358887,4367.820313,4441.282227,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415572.573968,1703415572.574343,56.000000,0.000000,4200.000000,4210.641113,4293.717773,4278.589844,4237.692383,4235.384766,4219.871582,4243.205078,4214.230957,4213.589844,4539.743652,4484.871582,4358.205078,4440.769043,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.673593,0.270691,-0.634460,0.265442,0.987914,0.020510,0.040044,-16.388155,-38.625019,65.145973
1703415572.581776,1703415572.582051,57.000000,0.000000,4193.717773,4199.871582,4289.615234,4271.538574,4230.128418,4237.179688,4217.948730,4242.948730,4223.974121,4207.692383,4536.666504,4476.410156,4356.538574,4443.717773,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
