title:شويكي دواء, start timestamp:1703500910.939049, stop timestamp:1703500921.706349, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703500910.939049,1703500910.939444,121.000000,0.000000,4217.307617,4217.563965,4276.666504,4283.717773,4285.512695,4281.410156,4264.615234,4282.563965,4279.871582,4267.820313,4514.743652,4461.282227,4379.487305,4558.461426,7474.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500910.946857,1703500910.947152,122.000000,0.000000,4203.846191,4210.000000,4265.641113,4278.846191,4278.333496,4282.179688,4264.358887,4297.179688,4286.282227,4257.948730,4523.077148,4451.153809,4385.128418,4549.230957,6093.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500910.954665,1703500910.954960,123.000000,0.000000,4193.717773,4198.846191,4258.589844,4273.333496,4274.871582,4280.769043,4265.256348,4299.358887,4285.128418,4268.333496,4514.358887,4442.051270,4381.025879,4541.538574,6357.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500910.962473,1703500910.962668,124.000000,0.000000,4195.384766,4196.153809,4254.743652,4265.641113,4278.461426,4280.641113,4265.384766,4294.358887,4280.000000,4264.358887,4501.153809,4443.589844,4371.538574,4534.871582,6888.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.641608,0.239685,-0.656189,0.316711,0.972775,-0.125015,0.017092,-12.630325,-36.432228,61.178467
1703500910.970281,1703500910.970476,125.000000,0.000000,4198.846191,4199.230957,4254.487305,4266.922852,4283.205078,4282.307617,4264.871582,4295.128418,4269.743652,4245.000000,4500.897461,4446.025879,4369.358887,4535.384766,7474.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500910.978089,1703500910.978185,126.000000,0.000000,4202.179688,4201.282227,4263.846191,4276.538574,4282.692383,4281.794922,4265.128418,4292.692383,4264.487305,4248.205078,4507.307617,4445.897461,4368.846191,4538.717773,6093.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500910.985897,1703500910.985992,127.000000,0.000000,4210.897461,4205.256348,4275.641113,4278.846191,4277.692383,4278.589844,4265.000000,4281.538574,4266.410156,4255.512695,4505.769043,4449.743652,4370.897461,4543.205078,70.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500910.993705,1703500910.993701,0.000000,0.000000,4225.769043,4212.692383,4287.692383,4280.256348,4278.974121,4278.077148,4265.897461,4277.948730,4265.769043,4250.384766,4511.922852,4460.512695,4383.846191,4554.871582,5666.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.641627,0.239807,-0.656067,0.316833,0.996215,-0.118178,0.020022,-12.733959,-36.322342,61.110619
1703500911.001513,1703500911.001509,1.000000,0.000000,4235.256348,4217.436035,4293.205078,4282.563965,4280.512695,4277.436035,4264.102539,4274.358887,4261.410156,4257.563965,4524.615234,4462.436035,4391.410156,4561.153809,5589.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.009321,1703500911.009217,2.000000,0.000000,4230.512695,4216.538574,4283.589844,4281.410156,4276.153809,4274.358887,4261.153809,4261.666504,4257.820313,4266.922852,4512.563965,4449.102539,4385.512695,4552.820313,5439.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.017129,1703500911.017124,3.000000,0.000000,4227.436035,4217.820313,4277.051270,4283.974121,4282.179688,4276.794922,4261.538574,4265.256348,4262.051270,4260.641113,4496.666504,4449.615234,4380.384766,4548.333496,5412.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.024938,1703500911.024932,4.000000,0.000000,4227.307617,4214.743652,4280.384766,4286.666504,4294.230957,4286.410156,4264.230957,4288.077148,4273.333496,4256.282227,4508.974121,4460.000000,4383.077148,4549.102539,5355.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.641773,0.239746,-0.656006,0.316711,0.988890,-0.112318,0.030765,-12.610563,-36.306774,61.099560
1703500911.032745,1703500911.032840,5.000000,0.000000,4220.897461,4208.205078,4276.666504,4281.153809,4288.974121,4291.153809,4265.641113,4301.025879,4282.436035,4255.769043,4518.974121,4453.717773,4383.974121,4539.615234,5317.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.040553,1703500911.040648,6.000000,0.000000,4221.922852,4206.153809,4274.230957,4276.666504,4281.538574,4291.153809,4266.666504,4308.077148,4289.871582,4255.128418,4509.102539,4448.974121,4378.717773,4534.615234,4091.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.048362,1703500911.048556,7.000000,0.000000,4228.717773,4204.102539,4277.563965,4278.461426,4287.692383,4294.615234,4269.871582,4315.641113,4294.871582,4265.769043,4512.820313,4460.769043,4378.589844,4546.794922,5310.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.056170,1703500911.056364,8.000000,0.000000,4231.410156,4205.384766,4277.436035,4278.461426,4285.000000,4295.641113,4271.538574,4308.077148,4286.794922,4272.307617,4522.820313,4467.436035,4384.743652,4557.948730,5440.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,41.666668,3.000000,1.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,2.000000,0.000000,0.641825,0.239685,-0.656006,0.316650,0.990355,-0.115248,0.028324,-12.682840,-36.342762,61.256268
1703500911.063978,1703500911.064272,9.000000,0.000000,4239.743652,4213.846191,4283.974121,4281.410156,4274.487305,4289.871582,4267.820313,4291.538574,4271.666504,4260.641113,4509.743652,4461.538574,4377.051270,4556.666504,5432.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.071786,1703500911.072080,10.000000,0.000000,4250.512695,4217.820313,4297.692383,4290.384766,4276.922852,4285.384766,4265.641113,4281.794922,4262.563965,4249.358887,4496.538574,4458.974121,4365.897461,4550.897461,6080.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.079594,1703500911.079988,11.000000,0.000000,4256.794922,4215.769043,4298.333496,4294.358887,4286.282227,4285.512695,4267.179688,4277.179688,4258.461426,4246.410156,4507.179688,4463.461426,4379.358887,4552.307617,6337.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.087402,1703500911.087796,12.000000,0.000000,4265.128418,4218.589844,4296.282227,4293.333496,4288.077148,4283.589844,4266.153809,4274.102539,4258.077148,4246.410156,4523.974121,4467.307617,4403.846191,4565.769043,6873.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.642063,0.239624,-0.655884,0.316467,0.974728,-0.102063,0.028324,-12.781223,-36.458485,61.097309
1703500911.095210,1703500911.095704,13.000000,0.000000,4268.974121,4215.897461,4307.179688,4294.102539,4282.820313,4279.230957,4263.077148,4272.563965,4261.922852,4253.077148,4531.025879,4470.769043,4414.615234,4575.256348,7464.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.103018,1703500911.103512,14.000000,0.000000,4264.743652,4204.487305,4313.717773,4291.538574,4280.256348,4278.205078,4265.641113,4275.384766,4273.717773,4273.077148,4540.384766,4482.948730,4427.948730,4571.666504,6080.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.110826,1703500911.111220,15.000000,0.000000,4260.897461,4196.153809,4307.051270,4282.563965,4281.025879,4280.384766,4272.307617,4287.436035,4292.820313,4297.563965,4555.256348,4494.487305,4450.256348,4570.384766,6337.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.118634,1703500911.119028,16.000000,0.000000,4252.563965,4190.641113,4299.102539,4280.384766,4282.820313,4287.051270,4274.230957,4303.077148,4307.820313,4310.512695,4568.077148,4491.922852,4462.179688,4573.077148,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.642211,0.239563,-0.655762,0.316467,0.983030,-0.108900,0.024417,-12.636435,-36.612637,61.070911
1703500911.126442,1703500911.126736,17.000000,0.000000,4244.743652,4181.282227,4294.230957,4278.077148,4287.436035,4295.000000,4274.230957,4313.077148,4318.717773,4315.256348,4580.512695,4491.153809,4470.769043,4571.538574,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.134250,1703500911.134644,18.000000,0.000000,4244.358887,4163.461426,4291.794922,4267.051270,4288.333496,4295.769043,4278.846191,4316.410156,4323.333496,4313.717773,4582.307617,4497.563965,4481.538574,4570.000000,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.142058,1703500911.142452,19.000000,0.000000,4241.922852,4154.615234,4291.153809,4261.410156,4285.000000,4295.000000,4279.487305,4311.153809,4312.307617,4299.358887,4569.743652,4491.153809,4480.256348,4570.256348,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.149866,1703500911.150360,20.000000,0.000000,4241.538574,4162.820313,4291.794922,4264.743652,4284.102539,4295.128418,4274.358887,4304.230957,4295.512695,4280.641113,4559.615234,4484.615234,4468.333496,4568.205078,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.642411,0.239441,-0.655640,0.316406,0.984495,-0.111342,0.022952,-12.722791,-36.834705,61.163818
1703500911.157674,1703500911.158168,21.000000,0.000000,4244.358887,4167.948730,4294.871582,4266.410156,4282.563965,4287.692383,4273.974121,4301.922852,4290.641113,4273.717773,4561.410156,4498.333496,4463.846191,4567.051270,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.165482,1703500911.166076,22.000000,0.000000,4248.205078,4168.205078,4304.487305,4271.025879,4278.717773,4279.871582,4278.205078,4297.051270,4292.820313,4287.692383,4572.563965,4505.641113,4471.153809,4570.128418,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.173290,1703500911.173885,23.000000,0.000000,4253.461426,4171.794922,4316.410156,4276.922852,4275.000000,4279.743652,4279.102539,4284.615234,4288.205078,4300.128418,4583.974121,4499.743652,4481.410156,4571.666504,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.181098,1703500911.181693,24.000000,0.000000,4260.897461,4172.563965,4317.948730,4275.000000,4273.333496,4279.743652,4276.282227,4274.871582,4283.205078,4289.230957,4584.230957,4507.051270,4488.974121,4568.846191,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.642607,0.239502,-0.655396,0.316467,0.984984,-0.121109,0.022952,-12.450512,-36.751236,61.330772
1703500911.188907,1703500911.189401,25.000000,0.000000,4262.948730,4175.512695,4315.000000,4274.358887,4279.615234,4276.922852,4274.615234,4274.358887,4287.179688,4288.077148,4576.666504,4522.051270,4490.641113,4568.205078,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.196715,1703500911.197209,26.000000,0.000000,4258.974121,4184.102539,4317.307617,4276.922852,4288.846191,4279.358887,4278.077148,4281.666504,4300.512695,4316.153809,4582.948730,4521.282227,4492.820313,4571.666504,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.204522,1703500911.204917,27.000000,0.000000,4257.820313,4184.871582,4317.436035,4277.948730,4288.205078,4286.538574,4277.820313,4297.307617,4317.179688,4335.641113,4599.230957,4516.282227,4500.384766,4572.436035,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500911.212331,1703500911.212825,28.000000,0.000000,4254.487305,4181.153809,4307.179688,4273.717773,4284.102539,4287.179688,4273.461426,4303.846191,4320.769043,4323.717773,4595.512695,4509.230957,4500.256348,4560.769043,0.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.642822,0.239502,-0.655273,0.316284,0.984007,-0.108412,0.031742,-12.572127,-36.859447,61.247696
