title:ليال دواء, start timestamp:1703408017.367856, stop timestamp:1703408028.174199, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1385      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703408017.367856,1703408017.368193,89.000000,0.000000,4198.461426,4155.384766,4259.615234,4232.563965,4166.922852,4153.333496,4182.692383,4161.025879,4167.692383,4123.974121,4599.487305,4448.077148,4360.512695,4476.538574,7160.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.375664,1703408017.376101,90.000000,0.000000,4188.461426,4163.974121,4273.461426,4233.205078,4172.820313,4151.282227,4180.512695,4169.487305,4171.282227,4135.512695,4615.128418,4467.948730,4377.307617,4481.025879,5890.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.383472,1703408017.383910,91.000000,0.000000,4195.897461,4163.974121,4282.179688,4242.436035,4169.102539,4142.820313,4179.358887,4176.282227,4167.307617,4135.641113,4627.179688,4477.436035,4385.512695,4476.922852,6060.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.391280,1703408017.391817,92.000000,0.000000,4206.794922,4155.769043,4279.230957,4250.512695,4158.974121,4137.948730,4174.230957,4173.461426,4158.461426,4124.230957,4619.871582,4468.205078,4375.128418,4469.102539,6596.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.732124,-0.221985,-0.611877,-0.200806,0.985472,-0.075693,0.157246,-16.581409,-38.150883,66.050232
1703408017.399088,1703408017.399625,93.000000,0.000000,4189.230957,4149.743652,4274.871582,4240.256348,4155.641113,4138.974121,4176.282227,4166.282227,4150.000000,4116.153809,4605.641113,4459.871582,4360.769043,4457.179688,7160.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.406896,1703408017.407533,94.000000,0.000000,4160.256348,4141.153809,4270.128418,4226.666504,4155.641113,4141.794922,4183.974121,4157.820313,4142.436035,4110.641113,4590.384766,4442.307617,4342.307617,4434.615234,5890.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.414704,1703408017.415341,95.000000,0.000000,4154.102539,4133.589844,4264.615234,4224.871582,4153.846191,4148.461426,4186.282227,4152.307617,4141.410156,4103.077148,4576.410156,4423.589844,4325.384766,4413.846191,6060.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.422512,1703408017.423249,96.000000,0.000000,4153.333496,4129.871582,4259.358887,4219.615234,4153.205078,4155.897461,4189.230957,4152.692383,4149.230957,4102.563965,4574.358887,4420.897461,4325.897461,4410.128418,6596.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.732144,-0.221863,-0.611938,-0.200684,0.981565,-0.080576,0.148456,-16.489935,-38.052460,65.978539
1703408017.430321,1703408017.431057,97.000000,0.000000,4138.333496,4129.743652,4252.307617,4216.153809,4160.641113,4158.589844,4194.102539,4159.615234,4160.256348,4109.615234,4581.153809,4420.897461,4333.846191,4411.282227,7160.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.438129,1703408017.438965,98.000000,0.000000,4131.922852,4135.512695,4241.538574,4223.717773,4163.846191,4155.256348,4189.487305,4167.307617,4161.922852,4109.102539,4577.307617,4411.538574,4332.179688,4413.077148,5890.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.445937,1703408017.446773,99.000000,0.000000,4144.487305,4139.743652,4238.333496,4228.589844,4160.641113,4153.974121,4184.487305,4170.769043,4161.025879,4106.153809,4572.820313,4408.589844,4332.051270,4420.641113,6060.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.453745,1703408017.454481,100.000000,0.000000,4154.487305,4145.000000,4251.794922,4226.410156,4162.692383,4153.974121,4185.769043,4167.563965,4160.641113,4113.974121,4579.358887,4418.333496,4342.563965,4420.897461,6596.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.732264,-0.221741,-0.611938,-0.200378,0.990844,-0.093273,0.161152,-16.424274,-37.997215,66.064018
1703408017.461553,1703408017.462289,101.000000,0.000000,4164.358887,4157.179688,4268.077148,4229.230957,4168.846191,4147.692383,4182.948730,4159.487305,4158.589844,4121.410156,4588.077148,4430.000000,4350.512695,4416.922852,7160.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.469361,1703408017.469997,102.000000,0.000000,4174.102539,4164.102539,4272.820313,4244.102539,4171.538574,4140.256348,4183.205078,4155.769043,4155.000000,4117.563965,4594.487305,4439.615234,4353.717773,4429.615234,5890.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.477169,1703408017.477805,103.000000,0.000000,4161.794922,4156.922852,4269.358887,4249.230957,4166.282227,4138.333496,4186.410156,4154.615234,4143.077148,4108.461426,4594.871582,4442.051270,4349.743652,4433.077148,6060.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.484977,1703408017.485513,104.000000,0.000000,4151.922852,4149.487305,4264.487305,4232.563965,4156.410156,4139.615234,4183.974121,4154.358887,4134.102539,4102.692383,4585.384766,4430.641113,4337.563965,4415.641113,6596.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.732139,-0.221924,-0.612122,-0.200073,0.983030,-0.084971,0.160176,-16.398514,-38.047493,66.040955
1703408017.492785,1703408017.493321,105.000000,0.000000,4158.589844,4148.589844,4264.358887,4220.384766,4150.512695,4144.615234,4184.487305,4162.436035,4150.769043,4111.922852,4582.692383,4421.666504,4335.641113,4408.333496,7160.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703408017.500593,1703408017.501029,106.000000,0.000000,4149.615234,4147.307617,4263.717773,4227.820313,4153.974121,4151.410156,4191.538574,4172.563965,4171.410156,4125.512695,4588.974121,4429.358887,4339.487305,4403.974121,5890.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
