title:محمد دواء, start timestamp:1703415532.143872, stop timestamp:1703415542.918982, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1381      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415532.143872,1703415532.143990,126.000000,0.000000,4282.948730,4246.666504,4314.358887,4276.794922,4216.410156,4200.384766,4139.615234,4241.538574,4209.871582,4206.538574,4544.102539,4467.563965,4395.128418,4505.256348,5968.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.151680,1703415532.151898,127.000000,0.000000,4305.384766,4248.846191,4321.410156,4279.743652,4206.025879,4192.179688,4139.487305,4238.846191,4207.179688,4203.333496,4543.461426,4477.948730,4402.692383,4522.179688,53.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.159488,1703415532.159706,0.000000,0.000000,4313.333496,4243.205078,4316.794922,4275.897461,4200.000000,4185.000000,4137.948730,4234.487305,4198.974121,4198.205078,4531.666504,4481.922852,4396.282227,4524.743652,5551.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.677513,0.254150,-0.625854,0.291016,0.976193,-0.020510,0.087413,-16.381071,-40.616550,67.238808
1703415532.167296,1703415532.167614,1.000000,0.000000,4310.897461,4232.692383,4311.025879,4271.794922,4207.948730,4187.307617,4137.692383,4235.641113,4203.205078,4200.384766,4535.641113,4479.230957,4395.512695,4524.487305,5514.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.175104,1703415532.175422,2.000000,0.000000,4312.436035,4236.666504,4312.179688,4272.820313,4216.666504,4185.384766,4138.846191,4234.358887,4200.769043,4201.282227,4543.974121,4472.179688,4398.717773,4524.871582,5397.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.182912,1703415532.183331,3.000000,0.000000,4313.846191,4246.282227,4317.436035,4275.000000,4217.307617,4184.743652,4138.846191,4227.563965,4188.077148,4191.410156,4531.025879,4472.179688,4396.153809,4522.692383,5344.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.190720,1703415532.191139,4.000000,0.000000,4313.205078,4247.179688,4320.256348,4278.717773,4215.512695,4190.128418,4137.307617,4222.563965,4184.871582,4186.410156,4525.384766,4475.384766,4390.384766,4523.717773,5270.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.677450,0.254028,-0.625916,0.291138,0.990844,-0.020510,0.092296,-16.292965,-40.838230,67.198265
1703415532.198528,1703415532.199047,5.000000,0.000000,4311.410156,4245.769043,4315.897461,4281.922852,4215.512695,4188.077148,4133.846191,4217.948730,4187.051270,4188.461426,4533.589844,4467.692383,4385.128418,4520.000000,4709.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.206336,1703415532.206855,6.000000,0.000000,4305.641113,4247.179688,4309.102539,4282.179688,4216.153809,4182.307617,4130.897461,4216.538574,4185.384766,4183.846191,4527.563965,4462.436035,4379.230957,4508.589844,4148.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415532.214145,1703415532.214563,7.000000,0.000000,4294.615234,4247.051270,4309.230957,4281.922852,4216.153809,4184.743652,4134.615234,4223.077148,4186.410156,4182.820313,4527.436035,4471.794922,4379.743652,4508.461426,5260.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
