title:يمان دواء, start timestamp:1703417237.704938, stop timestamp:1703417248.464432, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703417237.704938,1703417237.705698,4.000000,0.000000,4236.282227,4217.948730,4286.410156,4280.512695,4226.153809,4212.436035,4225.897461,4218.333496,4204.230957,4197.820313,4541.666504,4451.153809,4386.666504,4459.871582,5352.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.722606,0.021973,-0.680847,0.117493,0.969845,-0.139177,0.059578,-13.946040,-46.392971,65.399506
1703417237.712746,1703417237.713606,5.000000,0.000000,4240.512695,4216.153809,4286.025879,4276.794922,4222.436035,4203.846191,4216.282227,4218.205078,4208.846191,4197.179688,4539.743652,4450.769043,4386.794922,4464.487305,5190.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.720554,1703417237.721414,6.000000,0.000000,4252.820313,4222.051270,4302.948730,4286.666504,4218.077148,4193.461426,4212.051270,4220.000000,4211.025879,4206.538574,4549.102539,4464.358887,4392.051270,4479.487305,4336.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.728362,1703417237.729122,7.000000,0.000000,4260.641113,4228.461426,4320.000000,4294.487305,4212.307617,4190.769043,4212.436035,4223.333496,4218.461426,4219.743652,4567.307617,4487.307617,4406.538574,4496.666504,5215.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.736170,1703417237.736930,8.000000,0.000000,4248.846191,4220.512695,4306.410156,4284.230957,4207.436035,4186.666504,4205.897461,4215.000000,4211.410156,4208.205078,4555.769043,4476.025879,4399.230957,4481.794922,5521.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.722795,0.022095,-0.680664,0.117371,0.992797,-0.147967,0.068368,-13.984769,-46.487007,65.392891
1703417237.743978,1703417237.744638,9.000000,0.000000,4236.666504,4217.820313,4289.230957,4278.077148,4215.769043,4187.307617,4204.743652,4205.384766,4201.794922,4199.358887,4533.846191,4450.384766,4385.128418,4459.871582,5489.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.751786,1703417237.752446,10.000000,0.000000,4231.538574,4218.974121,4282.948730,4274.487305,4221.538574,4194.230957,4208.077148,4194.358887,4195.000000,4198.846191,4518.717773,4431.666504,4370.641113,4451.282227,6087.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.759594,1703417237.760154,11.000000,0.000000,4236.025879,4216.666504,4280.512695,4274.102539,4222.436035,4205.641113,4209.615234,4188.974121,4192.051270,4196.282227,4515.512695,4425.256348,4366.153809,4455.256348,6352.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.767402,1703417237.767962,12.000000,0.000000,4244.358887,4220.512695,4283.974121,4282.307617,4226.794922,4215.384766,4216.153809,4195.769043,4201.153809,4201.282227,4531.410156,4434.230957,4382.820313,4465.000000,6862.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.722888,0.021912,-0.680603,0.117188,0.977170,-0.138200,0.069344,-14.086292,-46.454975,65.286934
1703417237.775211,1703417237.775670,13.000000,0.000000,4236.922852,4220.384766,4285.128418,4284.358887,4226.025879,4214.487305,4218.461426,4196.794922,4201.538574,4203.717773,4533.461426,4435.512695,4381.410156,4457.179688,7411.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.783018,1703417237.783478,14.000000,0.000000,4230.769043,4215.128418,4284.358887,4282.692383,4225.384766,4215.256348,4215.769043,4196.794922,4194.102539,4195.128418,4523.333496,4434.743652,4359.871582,4455.256348,6087.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.790826,1703417237.791186,15.000000,0.000000,4237.820313,4209.102539,4285.256348,4280.641113,4222.563965,4214.615234,4217.563965,4205.000000,4195.128418,4183.846191,4519.358887,4442.307617,4355.769043,4469.230957,6352.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.798635,1703417237.798994,16.000000,0.000000,4236.025879,4205.769043,4285.512695,4274.102539,4213.205078,4206.666504,4217.436035,4211.410156,4196.922852,4179.230957,4522.948730,4446.025879,4360.000000,4464.615234,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.722786,0.021790,-0.680725,0.117126,0.967892,-0.129899,0.059089,-13.944329,-46.492809,65.491577
1703417237.806443,1703417237.806702,17.000000,0.000000,4224.102539,4205.897461,4285.512695,4267.179688,4208.333496,4203.589844,4213.846191,4216.922852,4192.307617,4177.948730,4527.948730,4448.333496,4356.538574,4452.436035,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.814251,1703417237.814510,18.000000,0.000000,4226.410156,4207.692383,4289.743652,4266.666504,4207.436035,4200.384766,4214.743652,4219.487305,4187.948730,4178.846191,4526.794922,4451.794922,4357.179688,4456.538574,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.822059,1703417237.822218,19.000000,0.000000,4247.820313,4216.666504,4306.282227,4276.666504,4210.769043,4196.153809,4218.717773,4223.846191,4201.153809,4196.153809,4542.051270,4469.487305,4377.307617,4480.256348,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.829867,1703417237.830026,20.000000,0.000000,4257.563965,4221.538574,4320.769043,4280.769043,4211.153809,4193.589844,4213.589844,4225.384766,4211.794922,4212.179688,4563.717773,4489.230957,4395.512695,4498.589844,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.722784,0.021851,-0.680725,0.117126,0.972775,-0.139177,0.060066,-14.116564,-46.443531,65.442421
1703417237.837675,1703417237.837734,21.000000,0.000000,4250.897461,4217.436035,4321.282227,4271.025879,4206.025879,4193.077148,4206.282227,4211.666504,4196.922852,4207.563965,4557.563965,4484.743652,4387.179688,4492.051270,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.845483,1703417237.845642,22.000000,0.000000,4248.589844,4222.563965,4317.692383,4267.563965,4212.692383,4203.205078,4213.589844,4209.743652,4195.128418,4209.743652,4548.461426,4478.205078,4381.794922,4487.563965,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.853291,1703417237.853451,23.000000,0.000000,4233.589844,4217.948730,4295.256348,4262.307617,4215.897461,4209.230957,4215.384766,4216.794922,4205.000000,4209.102539,4538.205078,4459.230957,4371.282227,4469.358887,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.861099,1703417237.861359,24.000000,0.000000,4204.743652,4197.436035,4261.794922,4246.025879,4208.589844,4211.282227,4211.666504,4212.948730,4199.871582,4191.794922,4510.769043,4423.461426,4342.179688,4434.871582,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.722719,0.022034,-0.680725,0.117493,0.979612,-0.131852,0.054206,-13.971574,-46.565842,65.431511
1703417237.868907,1703417237.869167,25.000000,0.000000,4196.410156,4190.897461,4252.563965,4239.358887,4215.000000,4224.102539,4220.512695,4211.025879,4193.205078,4182.179688,4493.717773,4410.384766,4328.589844,4425.000000,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.876715,1703417237.877075,26.000000,0.000000,4200.641113,4193.846191,4251.538574,4241.666504,4225.128418,4231.794922,4225.641113,4207.692383,4190.897461,4176.153809,4491.282227,4407.820313,4328.333496,4423.846191,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.884523,1703417237.884883,27.000000,0.000000,4199.871582,4193.974121,4250.897461,4246.410156,4224.102539,4229.358887,4219.487305,4207.820313,4197.436035,4177.051270,4498.077148,4411.538574,4333.974121,4419.102539,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417237.892331,1703417237.892791,28.000000,0.000000,4206.282227,4197.820313,4265.512695,4257.692383,4214.743652,4225.128418,4217.948730,4216.538574,4206.666504,4189.102539,4512.563965,4433.205078,4346.025879,4432.692383,0.000000,2.000000,49.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.722773,0.021851,-0.680664,0.117554,0.990844,-0.159687,0.061043,-14.024416,-46.575924,65.355026
