title:جمعة دواء, start timestamp:1703163760.875695, stop timestamp:1703163771.611758, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703163760.875695,1703163760.876061,65.000000,0.000000,4180.512695,4138.846191,4263.205078,4224.102539,4145.512695,4123.205078,4206.666504,4141.153809,4139.743652,4146.025879,4613.461426,4429.871582,4383.077148,4528.461426,5395.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.883503,1703163760.883969,66.000000,0.000000,4170.769043,4134.615234,4263.077148,4217.051270,4137.563965,4118.846191,4207.820313,4148.333496,4142.563965,4135.769043,4656.410156,4431.410156,4385.384766,4514.102539,5313.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.891311,1703163760.891777,67.000000,0.000000,4164.487305,4124.230957,4260.384766,4208.333496,4111.794922,4100.512695,4201.538574,4151.794922,4126.794922,4124.871582,4643.205078,4424.615234,4370.128418,4498.589844,5252.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.899119,1703163760.899585,68.000000,0.000000,4179.871582,4131.666504,4266.153809,4217.307617,4111.922852,4097.563965,4200.384766,4149.358887,4118.846191,4127.563965,4625.128418,4434.743652,4368.974121,4519.230957,5001.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.654991,0.129517,-0.696289,0.263428,0.975705,-0.214382,0.003907,-9.377038,-45.144791,64.803902
1703163760.906927,1703163760.907393,69.000000,0.000000,4189.743652,4144.871582,4276.153809,4226.025879,4128.846191,4108.717773,4204.487305,4145.512695,4122.436035,4126.538574,4643.077148,4442.692383,4385.128418,4527.436035,5048.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.914735,1703163760.915101,70.000000,0.000000,4182.692383,4143.333496,4278.846191,4219.230957,4117.436035,4100.897461,4205.897461,4139.871582,4118.589844,4121.410156,4640.769043,4441.666504,4389.102539,4505.512695,2025.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.922543,1703163760.923009,71.000000,0.000000,4188.589844,4149.230957,4279.487305,4225.000000,4114.230957,4096.538574,4203.974121,4135.384766,4115.641113,4128.205078,4631.282227,4442.179688,4392.692383,4517.692383,4630.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.930351,1703163760.930818,72.000000,0.000000,4199.871582,4163.333496,4283.589844,4237.307617,4139.487305,4111.794922,4203.077148,4136.794922,4122.692383,4140.769043,4635.000000,4437.948730,4407.563965,4546.666504,5192.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.654816,0.129700,-0.696350,0.263611,0.967403,-0.209987,0.000000,-9.356001,-45.113644,64.823517
1703163760.938160,1703163760.938626,73.000000,0.000000,4194.487305,4159.615234,4280.384766,4231.922852,4144.615234,4113.974121,4201.794922,4135.512695,4125.384766,4133.077148,4623.333496,4435.512695,4403.077148,4532.436035,5355.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703163760.945968,1703163760.946334,74.000000,0.000000,4190.769043,4153.589844,4272.436035,4229.615234,4137.436035,4111.666504,4201.410156,4126.153809,4122.051270,4114.230957,4625.256348,4424.487305,4387.563965,4517.948730,5716.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
