title:حلاق دواء, start timestamp:1703153558.517780, stop timestamp:1703153569.300691, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153558.517780,1703153558.518432,106.000000,0.000000,4255.000000,4228.589844,4297.820313,4281.410156,4235.384766,4218.846191,4322.948730,4228.205078,4208.717773,4197.692383,4556.922852,4487.820313,4387.307617,4463.974121,5941.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.525588,1703153558.526140,107.000000,0.000000,4256.410156,4218.846191,4294.358887,4278.077148,4233.589844,4216.153809,4318.717773,4218.846191,4201.025879,4186.282227,4546.538574,4478.846191,4379.358887,4455.641113,6347.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.533396,1703153558.533948,108.000000,0.000000,4236.922852,4223.205078,4293.974121,4280.128418,4235.384766,4225.512695,4317.692383,4214.871582,4200.897461,4189.743652,4546.153809,4470.384766,4383.205078,4456.282227,6775.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,27.000000,0.000000,0.638281,0.413452,-0.556030,0.335388,0.987425,0.167501,0.041021,-16.197500,-29.287498,64.261909
1703153558.541204,1703153558.541656,109.000000,0.000000,4233.205078,4233.846191,4296.794922,4280.512695,4241.410156,4231.794922,4322.179688,4218.974121,4202.820313,4200.000000,4554.358887,4474.358887,4388.846191,4455.256348,7202.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.549012,1703153558.549464,110.000000,0.000000,4248.333496,4235.512695,4300.256348,4280.897461,4250.256348,4222.563965,4319.615234,4220.128418,4210.897461,4206.282227,4559.615234,4483.717773,4389.871582,4456.282227,5941.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.556820,1703153558.557172,111.000000,0.000000,4240.384766,4230.897461,4305.128418,4283.461426,4251.282227,4217.179688,4319.743652,4219.871582,4220.897461,4212.436035,4561.153809,4490.512695,4390.128418,4469.743652,6347.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.564628,1703153558.564980,112.000000,0.000000,4225.000000,4230.000000,4303.333496,4283.333496,4247.563965,4218.974121,4320.769043,4218.333496,4210.000000,4207.179688,4556.153809,4481.282227,4387.948730,4467.307617,6775.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,28.000000,0.000000,0.638086,0.413391,-0.556335,0.335327,0.983030,0.154316,0.048834,-15.861084,-29.342083,64.269051
1703153558.572436,1703153558.572688,113.000000,0.000000,4229.102539,4232.563965,4292.692383,4278.846191,4243.717773,4217.436035,4319.102539,4216.153809,4197.307617,4198.461426,4554.487305,4472.563965,4386.282227,4458.461426,7202.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.580244,1703153558.580596,114.000000,0.000000,4238.717773,4235.000000,4292.948730,4277.820313,4243.077148,4216.025879,4321.153809,4212.692383,4198.461426,4201.538574,4558.077148,4476.538574,4385.897461,4462.179688,5941.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153558.588052,1703153558.588404,115.000000,0.000000,4228.589844,4229.615234,4295.384766,4278.077148,4245.512695,4218.077148,4318.846191,4208.077148,4194.358887,4204.358887,4554.102539,4474.230957,4386.282227,4457.307617,6347.000000,4.000000,88.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
