title:رشيد دواء, start timestamp:1703406698.032830, stop timestamp:1703406708.925062, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1396      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703406698.032830,1703406698.032918,122.000000,0.000000,4195.256348,4169.102539,4278.846191,4233.205078,4160.897461,4155.769043,4204.102539,4154.230957,4138.461426,4138.077148,4616.410156,4450.000000,4395.384766,4528.846191,5841.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.040638,1703406698.040626,123.000000,0.000000,4196.794922,4165.128418,4280.000000,4232.563965,4160.000000,4160.000000,4202.179688,4151.794922,4136.794922,4136.025879,4616.025879,4452.436035,4395.128418,4532.436035,6113.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.048446,1703406698.048434,124.000000,0.000000,4197.692383,4167.051270,4282.051270,4235.512695,4160.384766,4159.871582,4197.179688,4145.000000,4138.077148,4160.897461,4620.256348,4459.743652,4398.461426,4536.538574,6524.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.574617,0.290710,-0.649231,0.404724,0.975217,-0.177756,-0.006348,-11.859634,-43.372124,61.116772
1703406698.056255,1703406698.056142,125.000000,0.000000,4202.820313,4170.128418,4284.358887,4237.179688,4160.641113,4152.563965,4198.205078,4136.666504,4136.922852,4173.333496,4624.871582,4460.641113,4397.051270,4535.897461,7017.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.064062,1703406698.064050,126.000000,0.000000,4198.846191,4161.153809,4282.051270,4234.871582,4153.589844,4150.128418,4197.179688,4136.794922,4134.230957,4156.282227,4620.128418,4456.282227,4388.974121,4527.692383,5841.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.071870,1703406698.071858,127.000000,0.000000,4188.205078,4153.589844,4277.692383,4231.922852,4148.077148,4153.717773,4190.128418,4143.333496,4134.743652,4147.820313,4614.358887,4457.948730,4382.948730,4522.436035,78.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.079679,1703406698.079765,0.000000,0.000000,4184.102539,4157.051270,4275.641113,4229.615234,4152.307617,4155.512695,4193.974121,4149.358887,4137.051270,4154.871582,4614.615234,4458.205078,4380.000000,4522.820313,4711.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.574450,0.290649,-0.649292,0.404907,0.979612,-0.176291,-0.016115,-11.807004,-43.384911,61.088428
1703406698.087487,1703406698.087573,1.000000,0.000000,4184.230957,4156.538574,4273.846191,4228.461426,4156.153809,4154.615234,4202.948730,4161.538574,4139.743652,4150.000000,4614.743652,4453.333496,4375.256348,4521.538574,5248.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.095295,1703406698.095481,2.000000,0.000000,4181.538574,4151.538574,4267.820313,4227.563965,4154.615234,4155.000000,4203.846191,4166.410156,4142.820313,4139.615234,4609.871582,4449.743652,4373.589844,4521.410156,5270.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.103103,1703406698.103289,3.000000,0.000000,4174.743652,4151.794922,4265.128418,4225.128418,4153.974121,4157.563965,4205.512695,4159.102539,4140.256348,4137.563965,4605.897461,4445.769043,4375.897461,4520.128418,5268.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.110911,1703406698.111197,4.000000,0.000000,4169.358887,4153.333496,4263.717773,4220.384766,4154.102539,4156.025879,4208.333496,4155.256348,4136.282227,4138.589844,4602.820313,4442.179688,4371.666504,4511.025879,5001.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.574312,0.290649,-0.649414,0.404907,0.973752,-0.189476,-0.021487,-11.709637,-43.363087,61.062920
1703406698.118719,1703406698.119005,5.000000,0.000000,4173.974121,4150.000000,4262.563965,4218.589844,4153.461426,4151.794922,4204.743652,4155.256348,4137.179688,4140.641113,4602.307617,4443.846191,4368.846191,4510.000000,2712.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.126527,1703406698.126913,6.000000,0.000000,4181.153809,4150.384766,4263.974121,4225.128418,4155.256348,4151.410156,4201.025879,4153.077148,4133.461426,4143.717773,4606.282227,4445.384766,4376.538574,4517.948730,2713.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.134335,1703406698.134721,7.000000,0.000000,4188.461426,4160.384766,4268.846191,4233.717773,4157.051270,4156.666504,4203.717773,4148.974121,4127.051270,4143.717773,4610.897461,4448.846191,4383.974121,4524.230957,5367.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.142143,1703406698.142629,8.000000,0.000000,4196.410156,4169.615234,4277.307617,4236.153809,4160.512695,4160.641113,4206.153809,4145.128418,4128.077148,4142.051270,4613.461426,4457.307617,4384.615234,4529.871582,4802.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.574189,0.290894,-0.649414,0.404907,0.969357,-0.182151,-0.011232,-11.705339,-43.260113,61.039963
1703406698.149951,1703406698.150437,9.000000,0.000000,4194.615234,4171.025879,4276.538574,4234.871582,4163.589844,4158.717773,4205.000000,4142.307617,4128.589844,4139.230957,4613.846191,4460.128418,4382.179688,4528.717773,5202.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406698.157759,1703406698.158345,10.000000,0.000000,4188.589844,4164.871582,4272.692383,4234.487305,4157.820313,4155.256348,4200.512695,4147.948730,4127.820313,4137.436035,4616.922852,4458.846191,4382.051270,4526.410156,5841.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
