title:شاهين دواء, start timestamp:1703488558.391153, stop timestamp:1703488569.103787, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1373      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703488558.391153,1703488558.391949,125.000000,0.000000,4306.410156,4292.051270,4340.384766,4332.307617,4266.538574,4271.794922,4190.641113,4262.179688,4261.666504,4257.692383,4539.230957,4492.307617,4391.538574,4465.641113,6915.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.398961,1703488558.399857,126.000000,0.000000,4301.922852,4296.410156,4342.563965,4327.948730,4264.743652,4277.820313,4196.410156,4268.461426,4270.256348,4269.743652,4546.025879,4493.846191,4392.307617,4461.538574,5809.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.406769,1703488558.407665,127.000000,0.000000,4286.666504,4287.179688,4329.358887,4328.589844,4263.333496,4266.794922,4192.563965,4265.256348,4257.436035,4249.487305,4526.922852,4483.974121,4375.897461,4441.538574,97.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.414577,1703488558.415573,0.000000,0.000000,4277.436035,4270.256348,4317.692383,4321.025879,4244.871582,4248.077148,4178.717773,4270.641113,4251.282227,4237.563965,4519.871582,4479.487305,4367.179688,4435.512695,5404.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.702446,-0.129089,-0.673340,0.191101,0.869247,-0.436088,0.067879,-8.241868,-46.973011,62.471024
1703488558.422385,1703488558.423381,1.000000,0.000000,4279.102539,4268.846191,4323.077148,4320.128418,4234.743652,4254.102539,4182.307617,4300.384766,4278.717773,4263.974121,4553.333496,4500.512695,4392.563965,4456.538574,5469.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.430193,1703488558.431289,2.000000,0.000000,4280.384766,4271.666504,4332.563965,4318.974121,4245.769043,4266.282227,4190.000000,4317.436035,4289.102539,4272.051270,4564.230957,4521.282227,4401.794922,4466.666504,5302.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.438001,1703488558.439197,3.000000,0.000000,4275.256348,4265.384766,4332.307617,4303.077148,4257.307617,4267.692383,4187.051270,4301.410156,4263.205078,4241.025879,4538.846191,4514.743652,4384.487305,4458.846191,5375.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.445809,1703488558.447005,4.000000,0.000000,4273.077148,4259.102539,4329.487305,4296.922852,4261.538574,4268.077148,4187.820313,4289.871582,4253.333496,4232.436035,4533.205078,4502.563965,4385.000000,4456.282227,5161.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.702445,-0.129272,-0.673340,0.190979,0.895129,-0.435112,0.060066,-8.117681,-47.042377,62.390587
1703488558.453617,1703488558.454813,5.000000,0.000000,4282.563965,4258.589844,4338.461426,4306.153809,4265.256348,4269.230957,4192.820313,4286.153809,4261.666504,4249.102539,4540.641113,4499.102539,4389.743652,4457.179688,5055.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488558.461425,1703488558.462521,6.000000,0.000000,4292.948730,4263.717773,4343.333496,4311.025879,4261.922852,4271.282227,4189.743652,4266.282227,4252.307617,4243.333496,4527.692383,4491.666504,4381.153809,4453.461426,2289.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
