title:صنجي عطش, start timestamp:1703492731.299834, stop timestamp:1703492742.098364, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1384      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492731.299834,1703492731.300046,79.000000,0.000000,4270.384766,4221.282227,4288.333496,4263.205078,4250.128418,4185.641113,4215.128418,4206.794922,4199.871582,4233.974121,4523.717773,4432.436035,4494.358887,4473.333496,6290.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.307642,1703492731.307955,80.000000,0.000000,4289.615234,4237.051270,4295.384766,4276.666504,4252.051270,4185.128418,4216.153809,4200.641113,4187.692383,4235.128418,4528.589844,4433.205078,4512.051270,4475.128418,6816.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.095541,0.630005,-0.136292,0.758545,0.973752,-0.102063,0.171896,-17.472191,-41.593781,67.773682
1703492731.315450,1703492731.315763,81.000000,0.000000,4288.205078,4218.974121,4297.179688,4276.282227,4250.256348,4194.358887,4215.897461,4191.410156,4181.922852,4235.384766,4537.820313,4436.922852,4527.307617,4481.794922,7341.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.323258,1703492731.323671,82.000000,0.000000,4276.153809,4212.820313,4296.538574,4273.589844,4254.487305,4199.871582,4215.897461,4183.461426,4182.948730,4230.641113,4535.384766,4433.333496,4528.333496,4475.000000,5953.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.331066,1703492731.331479,83.000000,0.000000,4286.282227,4235.769043,4295.384766,4280.897461,4256.538574,4200.512695,4216.282227,4181.153809,4182.563965,4227.436035,4533.461426,4428.974121,4539.615234,4476.153809,6290.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.338874,1703492731.339387,84.000000,0.000000,4295.128418,4235.512695,4293.077148,4281.922852,4253.846191,4210.256348,4218.333496,4189.102539,4193.333496,4230.256348,4541.025879,4433.589844,4563.205078,4488.717773,6816.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.095279,0.630005,-0.136475,0.758545,0.982053,-0.106947,0.176291,-17.491638,-41.467735,67.679649
1703492731.346682,1703492731.347195,85.000000,0.000000,4278.974121,4214.102539,4287.179688,4268.205078,4247.948730,4220.512695,4225.897461,4201.794922,4208.333496,4217.563965,4545.128418,4432.948730,4563.205078,4480.128418,7341.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.354490,1703492731.355104,86.000000,0.000000,4261.025879,4204.102539,4273.589844,4251.410156,4238.717773,4214.743652,4231.153809,4210.384766,4206.538574,4197.692383,4535.512695,4419.743652,4552.436035,4459.102539,5953.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.362298,1703492731.362912,87.000000,0.000000,4251.282227,4192.051270,4260.769043,4242.179688,4233.717773,4208.589844,4230.128418,4218.333496,4205.512695,4200.897461,4527.820313,4411.025879,4561.794922,4453.461426,6290.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492731.370106,1703492731.370820,88.000000,0.000000,4248.846191,4186.794922,4265.128418,4244.615234,4235.769043,4209.871582,4230.512695,4225.641113,4220.256348,4210.128418,4533.974121,4414.358887,4573.717773,4458.846191,6816.000000,4.000000,84.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.094792,0.630005,-0.136475,0.758606,0.971310,-0.108412,0.174826,-17.609142,-41.287628,67.728348
