title:محمد عطش, start timestamp:1703415711.440173, stop timestamp:1703415722.223091, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703415711.440173,1703415711.441525,49.000000,0.000000,4181.794922,4229.871582,4277.563965,4276.922852,4238.205078,4219.615234,4310.769043,4247.820313,4237.051270,4232.436035,4557.820313,4471.794922,4376.538574,4481.666504,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.447981,1703415711.449233,50.000000,0.000000,4172.179688,4213.589844,4277.307617,4247.436035,4229.871582,4213.205078,4296.666504,4248.077148,4230.256348,4203.589844,4533.846191,4467.692383,4357.563965,4469.358887,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.455789,1703415711.457041,51.000000,0.000000,4170.000000,4204.743652,4278.461426,4240.384766,4225.384766,4208.333496,4292.436035,4245.897461,4232.051270,4205.384766,4540.769043,4465.256348,4354.871582,4462.436035,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.463597,1703415711.464749,52.000000,0.000000,4180.384766,4204.358887,4279.230957,4266.153809,4227.051270,4205.384766,4293.205078,4235.769043,4224.743652,4213.589844,4547.307617,4465.512695,4353.974121,4464.230957,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.676826,0.229370,-0.649719,0.259155,0.993285,-0.016115,0.070321,-15.951661,-40.422836,66.191322
1703415711.471405,1703415711.472557,53.000000,0.000000,4187.692383,4202.692383,4279.487305,4264.102539,4217.307617,4200.000000,4286.538574,4229.230957,4213.589844,4201.538574,4527.307617,4469.230957,4344.743652,4458.461426,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.479213,1703415711.480265,54.000000,0.000000,4188.205078,4207.436035,4286.410156,4244.615234,4212.692383,4205.000000,4283.974121,4229.102539,4212.820313,4203.974121,4528.846191,4473.205078,4356.153809,4456.794922,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.487021,1703415711.488073,55.000000,0.000000,4189.871582,4215.000000,4293.846191,4246.025879,4217.179688,4213.461426,4288.461426,4236.410156,4220.384766,4208.974121,4552.692383,4476.538574,4371.282227,4472.948730,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.494829,1703415711.495781,56.000000,0.000000,4193.333496,4213.589844,4295.769043,4249.743652,4217.563965,4212.436035,4290.256348,4243.333496,4225.512695,4199.743652,4552.692383,4476.794922,4365.384766,4485.000000,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.676852,0.229431,-0.649597,0.259338,0.989379,-0.012209,0.069833,-16.006495,-40.313889,66.188858
1703415711.502638,1703415711.503589,57.000000,0.000000,4201.025879,4214.102539,4294.743652,4245.512695,4223.846191,4216.410156,4289.102539,4238.974121,4224.487305,4200.641113,4538.846191,4477.692383,4360.256348,4482.563965,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703415711.510445,1703415711.511297,58.000000,0.000000,4204.230957,4219.871582,4292.307617,4245.769043,4234.743652,4226.538574,4285.128418,4232.692383,4225.000000,4208.333496,4537.051270,4478.846191,4362.051270,4478.974121,0.000000,2.000000,53.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
