title:مريان عطش, start timestamp:1703414035.564194, stop timestamp:1703414046.354924, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703414035.564194,1703414035.564440,85.000000,0.000000,4254.358887,4202.051270,4309.743652,4277.563965,4229.102539,4262.563965,4275.128418,4252.179688,4256.410156,4254.615234,4556.025879,4489.487305,4424.358887,4464.358887,6571.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.572002,1703414035.572348,86.000000,0.000000,4258.205078,4204.743652,4305.256348,4282.307617,4232.051270,4248.589844,4272.820313,4246.794922,4251.922852,4253.717773,4548.461426,4483.589844,4423.846191,4459.487305,5838.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.579810,1703414035.580156,87.000000,0.000000,4261.025879,4201.794922,4301.794922,4276.538574,4242.051270,4241.153809,4271.538574,4243.461426,4238.461426,4243.974121,4547.563965,4478.717773,4427.692383,4451.666504,6018.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.587618,1703414035.588064,88.000000,0.000000,4263.205078,4200.256348,4306.282227,4278.077148,4243.974121,4263.333496,4276.538574,4246.666504,4250.769043,4247.179688,4557.692383,4488.333496,4422.948730,4458.333496,6526.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.348017,0.679016,-0.204224,0.613281,0.962520,0.218777,-0.001953,-19.017990,-30.316366,63.429531
1703414035.595426,1703414035.595872,89.000000,0.000000,4264.230957,4208.461426,4310.384766,4288.717773,4237.692383,4272.307617,4280.897461,4247.692383,4261.153809,4251.282227,4552.948730,4485.128418,4411.282227,4457.563965,6571.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.603234,1703414035.603780,90.000000,0.000000,4256.922852,4205.128418,4304.871582,4285.000000,4239.102539,4253.717773,4276.666504,4246.538574,4249.487305,4240.000000,4528.717773,4469.615234,4404.743652,4443.717773,5838.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.611043,1703414035.611589,91.000000,0.000000,4246.282227,4190.128418,4299.358887,4277.179688,4235.641113,4244.102539,4268.717773,4248.461426,4242.179688,4237.051270,4512.051270,4466.282227,4393.333496,4436.666504,6018.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.618851,1703414035.619397,92.000000,0.000000,4240.256348,4188.205078,4299.743652,4277.820313,4218.717773,4250.512695,4270.000000,4253.461426,4244.871582,4232.948730,4523.846191,4468.589844,4383.205078,4434.230957,6526.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.348136,0.678955,-0.204224,0.613281,0.964473,0.233915,-0.006837,-19.082857,-30.501396,63.453243
1703414035.626659,1703414035.627205,93.000000,0.000000,4234.487305,4184.102539,4299.871582,4267.948730,4213.461426,4245.512695,4271.666504,4258.846191,4249.487305,4218.846191,4538.333496,4468.589844,4399.615234,4429.487305,6571.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703414035.634467,1703414035.634913,94.000000,0.000000,4228.974121,4173.333496,4297.563965,4257.948730,4225.641113,4234.358887,4269.615234,4259.615234,4248.717773,4221.153809,4538.205078,4471.153809,4410.256348,4429.487305,5838.000000,3.000000,57.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
