title:منى عطش, start timestamp:1703411756.058416, stop timestamp:1703411766.872566, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411756.058416,1703411756.058696,64.000000,0.000000,4203.333496,4203.461426,4283.077148,4264.102539,4192.820313,4211.538574,4181.666504,4183.717773,4184.487305,4210.769043,4584.358887,4443.589844,4395.512695,4507.692383,5098.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.736078,-0.036621,-0.675903,-0.001648,0.988402,-0.056159,0.069833,-16.641127,-38.614105,64.999275
1703411756.066224,1703411756.066604,65.000000,0.000000,4203.333496,4196.922852,4285.128418,4259.487305,4189.743652,4211.282227,4185.897461,4182.948730,4184.871582,4202.563965,4588.461426,4446.922852,4398.205078,4515.641113,5464.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.074032,1703411756.074412,66.000000,0.000000,4191.025879,4187.307617,4285.256348,4249.743652,4178.333496,4213.974121,4190.128418,4187.307617,4186.922852,4195.128418,4590.897461,4449.743652,4393.589844,4518.974121,5372.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.081840,1703411756.082320,67.000000,0.000000,4182.563965,4183.205078,4293.846191,4246.153809,4169.743652,4210.384766,4189.487305,4183.589844,4185.897461,4209.743652,4597.307617,4457.692383,4401.794922,4518.974121,5392.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.089648,1703411756.090128,68.000000,0.000000,4209.487305,4192.820313,4307.307617,4257.051270,4176.282227,4209.487305,4187.820313,4184.743652,4196.538574,4227.948730,4613.589844,4466.794922,4424.743652,4540.128418,5125.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.736069,-0.036804,-0.675903,-0.001526,0.977658,-0.060554,0.069344,-16.543680,-38.636028,65.082680
1703411756.097456,1703411756.098035,69.000000,0.000000,4229.358887,4204.743652,4306.538574,4266.410156,4187.948730,4213.717773,4186.025879,4197.563965,4212.051270,4239.615234,4623.589844,4465.384766,4435.384766,4563.461426,3705.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.105264,1703411756.105843,70.000000,0.000000,4213.589844,4201.922852,4300.000000,4261.282227,4193.205078,4211.538574,4187.051270,4204.487305,4210.384766,4247.179688,4617.179688,4462.692383,4430.512695,4555.897461,2327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.113072,1703411756.113751,71.000000,0.000000,4199.358887,4190.128418,4295.641113,4251.666504,4193.846191,4206.410156,4188.205078,4199.358887,4199.102539,4242.051270,4608.333496,4460.384766,4422.820313,4542.436035,5020.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.120880,1703411756.121559,72.000000,0.000000,4198.846191,4184.871582,4287.820313,4249.102539,4196.153809,4212.820313,4188.077148,4185.128418,4189.743652,4218.717773,4605.897461,4449.358887,4411.025879,4538.077148,4395.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.736122,-0.036865,-0.675842,-0.001526,0.977170,-0.057136,0.065438,-16.472645,-38.639091,65.007751
1703411756.128688,1703411756.129367,73.000000,0.000000,4205.128418,4175.769043,4281.282227,4245.641113,4194.871582,4220.897461,4192.948730,4173.974121,4180.641113,4196.282227,4594.102539,4436.282227,4390.897461,4526.410156,5233.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411756.136496,1703411756.137175,74.000000,0.000000,4201.538574,4172.436035,4287.948730,4244.230957,4188.205078,4215.512695,4193.205078,4174.871582,4180.897461,4192.692383,4580.256348,4434.487305,4377.179688,4515.128418,5968.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,83.333336,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,,,,,,,,,,,,
