title:يمان عطش, start timestamp:1703417365.803900, stop timestamp:1703417376.789829, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1408      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703417365.803900,1703417365.804477,26.000000,0.000000,4274.358887,4246.538574,4333.846191,4335.897461,4290.769043,4245.897461,4284.871582,4287.179688,4285.641113,4287.563965,4606.666504,4543.333496,4431.410156,4518.589844,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417365.811708,1703417365.812385,27.000000,0.000000,4269.102539,4238.077148,4322.563965,4324.615234,4284.102539,4255.000000,4281.282227,4282.179688,4283.205078,4281.794922,4601.282227,4537.051270,4422.820313,4509.743652,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417365.819516,1703417365.820193,28.000000,0.000000,4271.282227,4242.692383,4322.692383,4322.563965,4287.820313,4262.948730,4288.461426,4285.641113,4292.179688,4288.589844,4607.051270,4546.922852,4425.256348,4516.282227,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.734492,-0.001587,-0.674011,0.078918,0.978147,-0.119155,0.091808,-14.484423,-45.624481,65.626434
1703417365.827324,1703417365.828101,29.000000,0.000000,4266.153809,4247.692383,4324.487305,4328.077148,4288.974121,4256.922852,4294.487305,4287.563965,4289.358887,4290.000000,4606.025879,4553.461426,4431.410156,4513.333496,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417365.835132,1703417365.835909,30.000000,0.000000,4276.794922,4252.436035,4336.153809,4336.025879,4287.820313,4254.615234,4290.384766,4289.615234,4289.358887,4286.025879,4610.897461,4564.358887,4440.897461,4519.743652,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703417365.842940,1703417365.843817,31.000000,0.000000,4299.102539,4262.692383,4350.256348,4341.025879,4285.256348,4251.282227,4285.384766,4291.153809,4297.179688,4287.179688,4625.897461,4583.205078,4454.102539,4543.846191,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417365.850748,1703417365.851625,32.000000,0.000000,4300.641113,4267.051270,4347.051270,4341.153809,4281.538574,4240.512695,4280.512695,4284.230957,4290.769043,4287.307617,4626.922852,4585.512695,4457.051270,4546.153809,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.734373,-0.001526,-0.674133,0.078979,0.980100,-0.123550,0.087901,-14.452647,-45.512035,65.697121
1703417365.858556,1703417365.859533,33.000000,0.000000,4292.179688,4263.974121,4339.230957,4341.922852,4284.230957,4236.794922,4279.358887,4272.307617,4274.230957,4279.871582,4617.179688,4575.769043,4449.230957,4535.641113,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417365.866364,1703417365.867341,34.000000,0.000000,4287.051270,4258.461426,4333.974121,4337.436035,4285.384766,4240.641113,4280.897461,4254.871582,4255.641113,4263.589844,4600.384766,4562.692383,4436.025879,4522.820313,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703417365.874172,1703417365.875049,35.000000,0.000000,4285.384766,4255.000000,4331.794922,4333.717773,4286.410156,4251.794922,4284.615234,4252.948730,4251.153809,4257.051270,4591.282227,4556.922852,4429.615234,4512.307617,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
