title:حمزة عطش, start timestamp:1703409903.894953, stop timestamp:1703409914.763758, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1393      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703409903.894953,1703409903.895156,26.000000,0.000000,4256.794922,4183.461426,4279.102539,4266.153809,4186.538574,4170.897461,4224.743652,4183.589844,4184.871582,4184.487305,4558.333496,4441.410156,4385.897461,4471.794922,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.902761,1703409903.902864,27.000000,0.000000,4265.512695,4183.717773,4276.410156,4267.820313,4184.615234,4171.922852,4219.871582,4185.000000,4192.307617,4190.641113,4559.615234,4443.589844,4379.871582,4474.102539,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.910569,1703409903.910672,28.000000,0.000000,4266.794922,4184.230957,4269.615234,4262.692383,4172.692383,4166.538574,4217.820313,4177.436035,4187.051270,4176.794922,4552.948730,4435.128418,4365.000000,4462.948730,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.522082,0.262878,-0.680481,0.441895,0.932243,-0.322793,-0.066414,-7.580618,-48.059258,59.511589
1703409903.918377,1703409903.918380,29.000000,0.000000,4257.436035,4181.410156,4263.974121,4255.897461,4166.153809,4159.487305,4216.794922,4170.641113,4186.666504,4166.538574,4548.846191,4427.820313,4363.717773,4458.974121,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.926185,1703409903.926288,30.000000,0.000000,4258.717773,4181.282227,4258.974121,4257.692383,4178.589844,4166.922852,4217.820313,4172.179688,4186.282227,4169.743652,4548.461426,4425.512695,4372.436035,4464.743652,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.933993,1703409903.934096,31.000000,0.000000,4264.871582,4185.256348,4266.410156,4263.589844,4185.769043,4170.897461,4219.743652,4173.461426,4177.436035,4173.333496,4542.820313,4428.589844,4370.256348,4467.051270,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.941801,1703409903.942004,32.000000,0.000000,4260.641113,4180.769043,4276.153809,4262.436035,4174.487305,4159.230957,4217.820313,4171.025879,4170.897461,4163.589844,4535.384766,4429.615234,4356.282227,4463.461426,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.522031,0.262878,-0.680481,0.441956,0.934684,-0.307166,-0.060066,-7.705890,-47.919998,59.527096
1703409903.949609,1703409903.949812,33.000000,0.000000,4260.641113,4172.820313,4270.000000,4260.384766,4168.205078,4155.000000,4215.641113,4169.615234,4168.717773,4149.102539,4535.512695,4423.589844,4351.538574,4456.025879,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.957418,1703409903.957719,34.000000,0.000000,4266.794922,4173.974121,4262.051270,4259.358887,4171.153809,4157.051270,4216.538574,4168.717773,4168.077148,4155.512695,4542.179688,4419.615234,4359.487305,4460.641113,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409903.965226,1703409903.965527,35.000000,0.000000,4264.487305,4172.820313,4264.230957,4256.666504,4170.641113,4153.846191,4215.000000,4168.589844,4165.897461,4171.794922,4544.102539,4425.512695,4363.077148,4461.922852,0.000000,3.000000,68.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
