title:رشيد عطش, start timestamp:1703406807.048826, stop timestamp:1703406818.183107, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1427      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703406807.048826,1703406807.049145,4.000000,0.000000,4221.282227,4151.153809,4287.436035,4246.153809,4170.641113,4172.436035,4212.179688,4171.538574,4159.871582,4168.589844,4630.512695,4481.666504,4419.487305,4569.102539,5008.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.579319,0.326355,-0.613586,0.425903,0.975217,-0.138689,0.036137,-13.478965,-42.887367,63.941006
1703406807.056634,1703406807.057052,5.000000,0.000000,4213.717773,4139.743652,4281.282227,4234.743652,4167.307617,4171.922852,4212.820313,4168.333496,4154.743652,4155.512695,4619.871582,4476.025879,4403.461426,4560.512695,2645.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406807.064442,1703406807.064860,6.000000,0.000000,4209.358887,4128.589844,4276.666504,4228.846191,4155.256348,4169.358887,4215.641113,4158.589844,4152.820313,4146.794922,4609.102539,4466.282227,4396.282227,4549.871582,2605.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406807.072250,1703406807.072768,7.000000,0.000000,4213.077148,4128.589844,4278.333496,4231.153809,4151.666504,4170.897461,4215.384766,4161.025879,4155.512695,4154.102539,4616.025879,4468.846191,4408.205078,4553.974121,5367.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406807.080058,1703406807.080576,8.000000,0.000000,4207.820313,4126.153809,4281.153809,4223.077148,4157.436035,4171.922852,4215.000000,4167.307617,4155.897461,4155.641113,4620.769043,4474.487305,4410.512695,4556.794922,4824.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.579281,0.325989,-0.613647,0.426147,0.980588,-0.118667,0.049811,-13.564402,-42.998631,63.830238
1703406807.087866,1703406807.088484,9.000000,0.000000,4203.846191,4119.358887,4278.974121,4215.256348,4155.769043,4171.025879,4216.410156,4167.179688,4159.358887,4157.051270,4622.179688,4474.102539,4408.589844,4552.179688,5208.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406807.095674,1703406807.096292,10.000000,0.000000,4215.512695,4121.922852,4278.461426,4224.358887,4153.333496,4170.256348,4213.846191,4167.179688,4166.025879,4168.974121,4632.563965,4474.743652,4422.051270,4558.846191,5843.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406807.103482,1703406807.104000,11.000000,0.000000,4218.846191,4124.230957,4282.179688,4227.179688,4155.256348,4171.282227,4211.410156,4173.077148,4169.230957,4173.333496,4637.179688,4478.461426,4425.384766,4565.000000,6110.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703406807.111290,1703406807.111808,12.000000,0.000000,4205.769043,4116.794922,4281.282227,4218.717773,4155.769043,4176.153809,4214.615234,4171.410156,4164.230957,4167.179688,4628.974121,4477.692383,4409.102539,4558.717773,6524.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.579083,0.325562,-0.613892,0.426392,0.991332,-0.128434,0.035161,-13.607962,-43.015434,63.813881
1703406807.119099,1703406807.119516,13.000000,0.000000,4200.384766,4115.769043,4275.512695,4214.358887,4153.846191,4177.948730,4212.948730,4161.025879,4158.077148,4168.461426,4625.000000,4474.102539,4407.820313,4553.461426,7022.000000,4.000000,77.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
