title:شويكي لا, start timestamp:1703500868.338291, stop timestamp:1703500879.105590, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703500868.338291,1703500868.339141,41.000000,0.000000,4249.102539,4284.871582,4326.410156,4311.666504,4285.256348,4265.384766,4422.051270,4292.563965,4274.487305,4245.769043,4503.461426,4505.128418,4384.102539,4395.256348,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.346099,1703500868.346849,42.000000,0.000000,4250.128418,4282.820313,4324.230957,4309.871582,4281.538574,4268.589844,4420.641113,4281.538574,4263.974121,4243.589844,4488.205078,4497.563965,4374.358887,4391.922852,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.353907,1703500868.354657,43.000000,0.000000,4252.051270,4287.948730,4317.692383,4310.256348,4282.307617,4273.205078,4413.589844,4276.025879,4262.179688,4256.922852,4489.230957,4492.948730,4375.000000,4384.743652,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.361715,1703500868.362365,44.000000,0.000000,4249.871582,4290.897461,4312.436035,4312.051270,4287.436035,4270.897461,4410.641113,4274.743652,4262.820313,4263.205078,4491.153809,4492.051270,4380.128418,4382.820313,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.648010,0.233704,-0.653809,0.313049,0.986449,-0.109388,0.046392,-13.038153,-36.288940,61.747379
1703500868.369523,1703500868.370173,45.000000,0.000000,4248.333496,4288.205078,4312.436035,4312.563965,4277.563965,4266.282227,4409.487305,4271.922852,4259.358887,4251.025879,4494.871582,4494.102539,4383.333496,4393.589844,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.377332,1703500868.377881,46.000000,0.000000,4248.974121,4282.820313,4310.897461,4311.153809,4267.051270,4265.000000,4406.282227,4271.153809,4260.897461,4245.128418,4502.307617,4492.307617,4384.871582,4397.563965,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.385140,1703500868.385689,47.000000,0.000000,4249.102539,4279.871582,4304.487305,4308.717773,4279.230957,4266.025879,4402.436035,4267.692383,4262.948730,4250.128418,4496.410156,4481.025879,4382.820313,4387.948730,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.392948,1703500868.393397,48.000000,0.000000,4244.230957,4281.794922,4297.051270,4306.922852,4290.897461,4272.307617,4402.051270,4263.461426,4262.051270,4252.820313,4489.102539,4476.922852,4380.256348,4383.846191,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.647828,0.233704,-0.653931,0.313171,0.987914,-0.113295,0.037114,-12.951004,-36.126713,61.655975
1703500868.400756,1703500868.401205,49.000000,0.000000,4242.563965,4281.794922,4299.487305,4308.333496,4288.974121,4277.948730,4405.769043,4270.256348,4267.692383,4258.846191,4492.948730,4487.436035,4380.256348,4387.563965,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500868.408564,1703500868.408913,50.000000,0.000000,4246.025879,4281.282227,4310.641113,4309.487305,4285.641113,4277.436035,4406.666504,4280.256348,4278.974121,4264.358887,4504.871582,4496.538574,4386.538574,4392.948730,0.000000,3.000000,71.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
