title:صنجي لا, start timestamp:1703492527.736178, stop timestamp:1703492538.519092, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492527.736178,1703492527.737483,120.000000,0.000000,4254.102539,4242.820313,4301.922852,4277.307617,4251.282227,4249.487305,4295.000000,4221.538574,4229.102539,4211.153809,4550.128418,4468.461426,4373.205078,4460.256348,6813.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.138685,0.623047,-0.162231,0.752502,0.968868,-0.082041,0.162618,-17.763485,-41.319355,68.633667
1703492527.743986,1703492527.745391,121.000000,0.000000,4253.333496,4243.589844,4305.897461,4278.974121,4247.051270,4246.794922,4297.179688,4232.051270,4231.025879,4207.307617,4547.948730,4471.922852,4370.641113,4462.051270,7327.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.751794,1703492527.753199,122.000000,0.000000,4260.256348,4249.230957,4310.128418,4280.512695,4234.102539,4246.410156,4297.563965,4238.589844,4234.743652,4213.974121,4555.000000,4472.948730,4375.384766,4471.794922,5975.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.759602,1703492527.761107,123.000000,0.000000,4264.102539,4246.794922,4309.102539,4279.871582,4229.487305,4245.384766,4294.102539,4246.538574,4238.205078,4219.615234,4566.922852,4481.282227,4381.922852,4474.358887,6302.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.767410,1703492527.768915,124.000000,0.000000,4261.410156,4231.282227,4308.717773,4277.051270,4235.384766,4237.820313,4296.025879,4249.358887,4233.589844,4217.948730,4573.461426,4490.769043,4389.615234,4472.948730,6813.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.138614,0.623047,-0.162292,0.752502,0.976682,-0.074716,0.177756,-17.770470,-41.287418,68.586967
1703492527.775218,1703492527.776623,125.000000,0.000000,4258.461426,4229.487305,4316.282227,4281.282227,4241.025879,4233.333496,4296.922852,4239.358887,4227.179688,4221.410156,4576.538574,4490.256348,4393.846191,4474.487305,7327.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.783027,1703492527.784431,126.000000,0.000000,4272.948730,4255.000000,4327.436035,4301.153809,4244.230957,4235.384766,4294.102539,4231.153809,4227.179688,4231.922852,4584.102539,4495.512695,4402.820313,4487.307617,5975.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.790835,1703492527.792139,127.000000,0.000000,4293.333496,4270.641113,4332.307617,4307.948730,4247.692383,4233.333496,4294.230957,4224.230957,4223.205078,4237.820313,4589.743652,4504.230957,4415.128418,4504.487305,85.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.798643,1703492527.799947,0.000000,0.000000,4291.666504,4260.897461,4333.589844,4296.922852,4247.179688,4228.461426,4291.922852,4206.410156,4209.743652,4231.922852,4587.307617,4498.205078,4412.820313,4502.563965,5305.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.138614,0.623047,-0.162292,0.752502,0.972287,-0.068368,0.176291,-17.693422,-41.225346,68.628273
1703492527.806451,1703492527.807655,1.000000,0.000000,4281.538574,4260.897461,4331.282227,4299.230957,4246.282227,4230.641113,4283.205078,4193.205078,4206.282227,4225.897461,4580.000000,4485.897461,4405.512695,4491.153809,5494.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.814259,1703492527.815463,2.000000,0.000000,4282.179688,4268.205078,4319.230957,4301.922852,4248.974121,4232.820313,4283.205078,4195.769043,4220.256348,4226.538574,4571.538574,4479.743652,4408.205078,4490.128418,5369.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.822067,1703492527.823171,3.000000,0.000000,4274.230957,4255.769043,4309.358887,4288.205078,4247.179688,4233.589844,4291.666504,4207.051270,4236.282227,4223.974121,4569.102539,4474.871582,4407.051270,4485.512695,5307.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.829875,1703492527.830979,4.000000,0.000000,4264.230957,4245.256348,4313.077148,4282.307617,4245.512695,4243.846191,4294.615234,4223.974121,4246.666504,4218.974121,4569.487305,4473.846191,4395.384766,4477.179688,5265.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.138888,0.622986,-0.162292,0.752502,0.980588,-0.078135,0.164571,-17.724081,-41.219479,68.698776
1703492527.837683,1703492527.838687,5.000000,0.000000,4265.384766,4246.153809,4310.641113,4287.436035,4244.487305,4246.666504,4293.974121,4235.000000,4247.436035,4214.358887,4560.128418,4472.307617,4384.743652,4474.487305,5215.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.845491,1703492527.846495,6.000000,0.000000,4259.487305,4236.153809,4296.794922,4278.846191,4236.538574,4234.487305,4292.820313,4234.358887,4244.102539,4207.051270,4549.487305,4467.948730,4377.563965,4470.128418,3022.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.853299,1703492527.854203,7.000000,0.000000,4252.051270,4225.384766,4296.153809,4264.871582,4230.000000,4228.333496,4292.820313,4239.102539,4243.846191,4199.743652,4557.820313,4471.153809,4380.512695,4468.333496,5220.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.861107,1703492527.862011,8.000000,0.000000,4258.333496,4230.384766,4304.615234,4263.077148,4231.410156,4232.820313,4292.179688,4247.820313,4242.051270,4201.794922,4570.512695,4480.128418,4385.000000,4472.436035,5325.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.138760,0.622925,-0.162354,0.752563,0.960566,-0.076181,0.178244,-17.668339,-41.180862,68.678902
1703492527.868915,1703492527.869719,9.000000,0.000000,4262.436035,4235.897461,4308.333496,4272.051270,4230.512695,4230.769043,4289.615234,4241.153809,4230.897461,4207.563965,4567.307617,4481.538574,4380.641113,4471.282227,5399.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.876723,1703492527.877627,10.000000,0.000000,4262.307617,4233.846191,4311.538574,4280.256348,4232.436035,4226.410156,4286.410156,4221.794922,4216.666504,4210.256348,4561.666504,4479.102539,4382.948730,4473.589844,5968.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.884531,1703492527.885435,11.000000,0.000000,4272.436035,4236.922852,4315.769043,4279.102539,4242.563965,4228.461426,4282.051270,4215.384766,4215.641113,4216.922852,4567.820313,4483.846191,4396.794922,4486.153809,6290.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.892339,1703492527.893343,12.000000,0.000000,4281.538574,4248.846191,4315.641113,4279.487305,4248.077148,4229.487305,4282.820313,4221.282227,4225.384766,4224.230957,4573.974121,4486.538574,4404.487305,4490.897461,6808.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.138617,0.622925,-0.162476,0.752563,0.984007,-0.080088,0.161641,-17.601505,-41.162777,68.844345
1703492527.900147,1703492527.901151,13.000000,0.000000,4295.256348,4276.153809,4325.641113,4301.794922,4259.743652,4237.692383,4289.743652,4227.051270,4245.769043,4235.256348,4582.820313,4494.230957,4414.743652,4500.512695,7322.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.907955,1703492527.909058,14.000000,0.000000,4322.820313,4303.589844,4347.948730,4330.128418,4275.641113,4247.692383,4292.563965,4239.102539,4272.948730,4253.717773,4607.051270,4517.179688,4438.205078,4529.615234,5968.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.915763,1703492527.916866,15.000000,0.000000,4328.077148,4297.563965,4353.974121,4328.589844,4273.717773,4242.820313,4289.615234,4247.436035,4287.436035,4258.077148,4618.846191,4528.077148,4445.512695,4537.820313,6290.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492527.923571,1703492527.924774,16.000000,0.000000,4302.051270,4270.000000,4336.922852,4303.717773,4261.538574,4232.820313,4286.410156,4239.743652,4281.282227,4243.974121,4599.743652,4510.641113,4426.410156,4511.025879,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.138545,0.622925,-0.162537,0.752563,0.983030,-0.073251,0.173849,-17.541355,-41.229832,68.943245
1703492527.931379,1703492527.932582,17.000000,0.000000,4273.846191,4248.717773,4311.666504,4284.102539,4252.051270,4232.307617,4288.974121,4233.205078,4266.538574,4225.384766,4577.051270,4484.743652,4401.922852,4481.794922,0.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
