title:عمار لا, start timestamp:1703503533.704101, stop timestamp:1703503544.424559, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1374      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503533.704101,1703503533.704569,49.000000,0.000000,4247.948730,4220.769043,4248.846191,4302.563965,4258.717773,4239.487305,4248.846191,4252.179688,4226.922852,4207.436035,4421.922852,4420.128418,4134.487305,4380.128418,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.711909,1703503533.712277,50.000000,0.000000,4260.000000,4230.897461,4250.384766,4310.000000,4276.025879,4248.589844,4251.666504,4255.128418,4237.051270,4235.641113,4436.794922,4426.538574,4157.692383,4393.461426,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.719717,1703503533.720085,51.000000,0.000000,4284.487305,4245.384766,4267.563965,4321.794922,4282.820313,4247.436035,4253.846191,4261.666504,4244.871582,4250.000000,4458.333496,4449.102539,4184.358887,4421.922852,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.727525,1703503533.727793,52.000000,0.000000,4292.948730,4252.436035,4283.461426,4327.948730,4279.615234,4239.102539,4251.922852,4250.384766,4238.205078,4236.794922,4454.487305,4458.077148,4181.666504,4420.256348,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,13.000000,0.000000,0.434096,0.521484,-0.451477,0.579468,0.986449,-0.065438,0.045904,-14.382621,-39.861336,61.821106
1703503533.735334,1703503533.735601,53.000000,0.000000,4280.512695,4245.897461,4275.384766,4325.641113,4272.820313,4232.692383,4248.717773,4232.307617,4226.538574,4224.615234,4437.948730,4440.769043,4171.410156,4400.512695,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.743142,1703503533.743309,54.000000,0.000000,4275.769043,4243.205078,4261.922852,4325.512695,4270.769043,4237.563965,4251.922852,4227.563965,4223.205078,4230.256348,4433.589844,4430.384766,4180.384766,4403.589844,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.750950,1703503533.751117,55.000000,0.000000,4289.743652,4254.230957,4265.384766,4328.205078,4280.512695,4248.333496,4257.692383,4232.563965,4226.794922,4232.692383,4440.384766,4443.461426,4196.025879,4420.512695,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.758758,1703503533.758825,56.000000,0.000000,4292.692383,4252.307617,4269.615234,4319.230957,4284.102539,4251.153809,4261.666504,4238.974121,4231.153809,4232.179688,4445.769043,4451.666504,4202.436035,4418.077148,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,14.000000,0.000000,0.434333,0.521423,-0.451477,0.579346,0.984495,-0.071298,0.044927,-14.294359,-39.808537,61.972328
1703503533.766566,1703503533.766733,57.000000,0.000000,4271.538574,4230.128418,4251.538574,4301.922852,4267.307617,4246.410156,4260.128418,4248.205078,4234.230957,4233.205078,4434.487305,4430.897461,4193.077148,4388.846191,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503533.774374,1703503533.774541,58.000000,0.000000,4254.230957,4222.948730,4228.974121,4291.538574,4258.589844,4245.128418,4258.205078,4257.692383,4240.897461,4231.538574,4412.179688,4407.307617,4178.589844,4367.051270,0.000000,3.000000,62.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
