title:فاكهاني لا, start timestamp:1703490711.551449, stop timestamp:1703490722.342180, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703490711.551449,1703490711.551702,72.000000,0.000000,4255.769043,4199.743652,4285.384766,4279.743652,4250.384766,4285.000000,4167.820313,4252.179688,4235.256348,4227.051270,4463.717773,4436.025879,4340.256348,4357.820313,4291.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.693769,-0.072571,-0.691895,-0.186279,0.971310,0.142107,0.026859,-19.902113,-34.190285,64.048332
1703490711.559257,1703490711.559610,73.000000,0.000000,4245.769043,4187.051270,4280.384766,4273.589844,4240.897461,4282.948730,4167.692383,4256.153809,4233.974121,4223.077148,4453.589844,4431.410156,4329.743652,4350.000000,5459.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490711.567065,1703490711.567418,74.000000,0.000000,4243.461426,4174.230957,4279.871582,4269.487305,4241.282227,4282.563965,4169.871582,4264.487305,4230.769043,4219.487305,4448.717773,4428.333496,4324.102539,4342.179688,6038.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490711.574873,1703490711.575326,75.000000,0.000000,4248.717773,4166.538574,4276.794922,4268.461426,4244.102539,4279.230957,4170.641113,4262.692383,4224.230957,4210.512695,4444.871582,4428.846191,4324.615234,4341.922852,5676.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490711.582681,1703490711.583134,76.000000,0.000000,4253.205078,4168.846191,4276.410156,4267.307617,4236.153809,4270.384766,4164.102539,4253.589844,4219.487305,4206.153809,4442.692383,4433.205078,4327.179688,4347.948730,5933.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.693785,-0.072571,-0.691895,-0.186218,0.986937,0.155781,0.036626,-19.845234,-34.004589,64.076836
1703490711.590489,1703490711.590942,77.000000,0.000000,4262.692383,4174.615234,4282.307617,4271.153809,4236.794922,4268.077148,4156.538574,4248.717773,4222.051270,4213.846191,4449.102539,4437.436035,4332.692383,4357.820313,3318.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490711.598297,1703490711.598750,78.000000,0.000000,4267.179688,4175.512695,4282.692383,4275.897461,4243.333496,4262.820313,4152.820313,4249.358887,4218.589844,4215.512695,4455.512695,4435.512695,4339.230957,4361.282227,6038.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490711.606105,1703490711.606458,79.000000,0.000000,4258.846191,4175.000000,4277.051270,4274.743652,4240.128418,4247.563965,4146.922852,4247.436035,4209.615234,4212.051270,4455.384766,4431.410156,4341.538574,4354.487305,5676.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703490711.613913,1703490711.614266,80.000000,0.000000,4249.871582,4176.410156,4273.077148,4268.077148,4235.897461,4245.000000,4142.179688,4243.846191,4212.051270,4216.538574,4455.897461,4430.128418,4336.153809,4344.743652,5933.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.693783,-0.072754,-0.691895,-0.186157,0.978147,0.148944,0.023440,-19.794044,-34.020798,64.102486
1703490711.621721,1703490711.621974,81.000000,0.000000,4252.307617,4176.794922,4271.282227,4262.692383,4242.051270,4262.307617,4149.102539,4245.769043,4223.589844,4222.820313,4457.820313,4430.897461,4335.512695,4345.128418,3318.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
