title:ليال لا, start timestamp:1703407972.596520, stop timestamp:1703407983.379440, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703407972.596520,1703407972.596874,115.000000,0.000000,4169.358887,4168.974121,4268.333496,4230.000000,4262.179688,4158.717773,4200.512695,4153.717773,4151.282227,4154.102539,4572.692383,4446.282227,4381.794922,4502.051270,6077.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.604328,1703407972.604582,116.000000,0.000000,4172.179688,4162.051270,4265.000000,4216.794922,4245.000000,4168.589844,4204.487305,4148.974121,4151.282227,4151.025879,4563.589844,4440.384766,4374.358887,4489.230957,6616.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.722635,-0.193542,-0.648376,-0.141235,0.964473,-0.090831,0.085460,-14.680266,-41.622746,65.960342
1703407972.612136,1703407972.612390,117.000000,0.000000,4171.794922,4153.205078,4261.153809,4219.358887,4231.538574,4172.563965,4207.307617,4158.589844,4162.051270,4153.717773,4567.692383,4442.307617,4371.794922,4480.128418,7182.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.619944,1703407972.620298,118.000000,0.000000,4153.717773,4153.974121,4265.641113,4235.256348,4218.846191,4172.307617,4206.666504,4167.436035,4172.563965,4156.282227,4577.307617,4446.666504,4377.948730,4472.692383,5900.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.627752,1703407972.628106,119.000000,0.000000,4154.871582,4161.282227,4266.538574,4233.333496,4208.333496,4167.948730,4202.692383,4162.307617,4173.205078,4160.641113,4575.512695,4451.794922,4381.794922,4485.256348,6077.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.635560,1703407972.635814,120.000000,0.000000,4172.563965,4164.615234,4261.153809,4227.307617,4206.282227,4159.871582,4205.128418,4165.384766,4179.102539,4169.358887,4578.846191,4460.641113,4382.307617,4498.205078,6616.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.722715,-0.193359,-0.648315,-0.141357,0.991332,-0.110853,0.096203,-14.628906,-41.543804,65.914314
1703407972.643368,1703407972.643622,121.000000,0.000000,4171.025879,4166.025879,4263.717773,4231.410156,4202.051270,4154.358887,4202.948730,4174.102539,4186.922852,4171.794922,4583.974121,4457.820313,4382.820313,4480.384766,7182.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.651176,1703407972.651330,122.000000,0.000000,4162.692383,4168.589844,4274.487305,4233.717773,4195.128418,4149.358887,4190.641113,4170.512695,4185.769043,4168.461426,4581.153809,4452.307617,4382.948730,4473.333496,5900.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.658984,1703407972.659138,123.000000,0.000000,4170.128418,4171.410156,4281.410156,4237.820313,4195.769043,4140.000000,4188.846191,4163.077148,4181.538574,4167.563965,4580.000000,4458.846191,4382.948730,4488.717773,6077.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407972.666792,1703407972.666846,124.000000,0.000000,4185.256348,4169.615234,4282.563965,4244.487305,4192.179688,4141.025879,4194.230957,4166.538574,4177.436035,4164.487305,4580.512695,4464.102539,4384.358887,4492.948730,6616.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.722819,-0.193542,-0.648132,-0.141418,0.980588,-0.089366,0.085460,-14.749350,-41.389423,65.789543
