title:مضر لا, start timestamp:1703402927.925614, stop timestamp:1703402938.685111, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1379      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703402927.925614,1703402927.926189,104.000000,0.000000,4286.410156,4165.256348,4322.948730,4266.538574,4153.205078,4153.589844,4187.563965,4173.974121,4157.051270,4193.974121,4818.846191,4457.436035,4471.794922,4563.333496,6629.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,26.000000,0.000000,0.684317,-0.061340,-0.705994,0.171814,0.921988,-0.323770,-0.005372,-30.004957,-4.985994,75.089989
1703402927.933422,1703402927.934097,105.000000,0.000000,4295.769043,4162.948730,4326.666504,4261.922852,4153.077148,4155.512695,4193.461426,4175.897461,4167.563965,4208.333496,4840.897461,4463.077148,4491.025879,4584.615234,6536.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402927.941230,1703402927.941905,106.000000,0.000000,4317.692383,4169.871582,4328.077148,4274.615234,4153.589844,4154.871582,4191.794922,4175.256348,4165.000000,4215.641113,4851.282227,4470.769043,4500.384766,4603.077148,5818.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402927.949038,1703402927.949813,107.000000,0.000000,4317.436035,4168.717773,4327.307617,4283.205078,4152.820313,4150.769043,4188.974121,4173.461426,4157.820313,4208.333496,4842.948730,4473.205078,4486.538574,4595.256348,6175.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402927.956846,1703402927.957621,108.000000,0.000000,4310.128418,4157.563965,4324.871582,4276.794922,4153.589844,4147.948730,4189.230957,4171.025879,4157.436035,4202.307617,4841.538574,4469.358887,4481.922852,4581.025879,6629.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.684380,-0.061340,-0.705933,0.171814,0.938103,-0.333537,-0.003907,-30.021128,-4.937395,75.230988
1703402927.964654,1703402927.965429,109.000000,0.000000,4321.153809,4158.846191,4325.256348,4277.051270,4156.794922,4149.487305,4189.358887,4165.512695,4157.692383,4202.563965,4852.179688,4471.410156,4498.077148,4591.666504,6536.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402927.972462,1703402927.973137,110.000000,0.000000,4332.692383,4169.615234,4331.538574,4282.051270,4157.692383,4146.666504,4189.487305,4158.461426,4155.000000,4202.051270,4862.563965,4479.487305,4508.077148,4615.384766,5818.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402927.980270,1703402927.981045,111.000000,0.000000,4331.025879,4170.384766,4334.871582,4282.436035,4157.051270,4141.922852,4189.871582,4154.615234,4152.563965,4200.641113,4865.384766,4480.256348,4501.153809,4622.179688,6175.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703402927.988078,1703402927.988853,112.000000,0.000000,4328.717773,4168.589844,4331.666504,4285.641113,4156.538574,4144.358887,4188.589844,4150.512695,4151.538574,4201.153809,4861.025879,4475.128418,4495.000000,4613.974121,6629.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.684374,-0.061218,-0.705994,0.171631,0.932731,-0.334025,-0.008790,-30.052349,-4.993655,75.424553
1703402927.995886,1703402927.996760,113.000000,0.000000,4335.769043,4172.692383,4332.179688,4290.384766,4155.256348,4147.436035,4189.230957,4146.282227,4153.205078,4200.897461,4857.436035,4475.512695,4496.410156,4611.666504,6536.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
