title:منى لا, start timestamp:1703411599.850505, stop timestamp:1703411610.664654, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703411599.850505,1703411599.851338,26.000000,0.000000,4247.820313,4209.615234,4282.051270,4262.820313,4196.410156,4176.025879,4203.077148,4169.615234,4165.384766,4149.358887,4550.512695,4444.358887,4348.589844,4502.820313,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.858313,1703411599.859046,27.000000,0.000000,4234.102539,4198.974121,4277.436035,4253.461426,4185.384766,4170.384766,4203.461426,4168.333496,4165.769043,4148.717773,4545.128418,4439.871582,4338.077148,4503.077148,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.866121,1703411599.866854,28.000000,0.000000,4244.615234,4201.153809,4278.974121,4258.589844,4190.128418,4171.922852,4201.538574,4168.077148,4160.000000,4167.436035,4548.717773,4444.230957,4346.922852,4508.846191,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.711586,0.075684,-0.669861,0.197998,0.978635,-0.128434,0.078623,-13.634495,-43.434570,67.144417
1703411599.873930,1703411599.874562,29.000000,0.000000,4262.051270,4215.641113,4290.384766,4267.692383,4201.666504,4178.717773,4203.077148,4171.410156,4160.384766,4191.153809,4562.820313,4455.769043,4359.487305,4523.077148,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.881738,1703411599.882370,30.000000,0.000000,4268.077148,4223.461426,4293.974121,4270.256348,4205.384766,4181.410156,4208.205078,4165.384766,4160.641113,4180.256348,4570.769043,4461.153809,4361.666504,4521.794922,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.889546,1703411599.890078,31.000000,0.000000,4267.948730,4226.410156,4288.846191,4276.282227,4198.333496,4173.974121,4207.179688,4158.333496,4165.128418,4154.871582,4560.641113,4458.589844,4355.897461,4501.666504,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.897354,1703411599.897886,32.000000,0.000000,4252.820313,4223.717773,4285.769043,4279.743652,4197.820313,4168.205078,4200.256348,4164.230957,4170.000000,4166.153809,4554.102539,4455.641113,4353.717773,4495.000000,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.711597,0.075745,-0.669861,0.197937,0.982053,-0.145526,0.079111,-13.704378,-43.574448,67.079971
1703411599.905162,1703411599.905594,33.000000,0.000000,4237.563965,4222.820313,4283.589844,4276.666504,4208.974121,4170.384766,4200.384766,4173.333496,4160.769043,4171.410156,4566.410156,4458.717773,4363.333496,4507.820313,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.912970,1703411599.913402,34.000000,0.000000,4249.487305,4229.487305,4281.538574,4276.794922,4211.282227,4174.743652,4208.846191,4168.974121,4151.025879,4150.769043,4572.051270,4462.563965,4369.743652,4517.179688,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703411599.920778,1703411599.921110,35.000000,0.000000,4268.717773,4233.205078,4286.794922,4279.743652,4203.846191,4175.128418,4212.948730,4158.589844,4150.384766,4152.051270,4561.153809,4454.358887,4361.153809,4513.077148,0.000000,3.000000,64.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
