title:نوار لا, start timestamp:1703161877.955079, stop timestamp:1703161888.816079, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1392      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703161877.955079,1703161877.956175,105.000000,0.000000,4154.487305,4130.897461,4231.666504,4197.563965,4137.820313,4131.794922,4177.179688,4151.282227,4128.333496,4119.871582,4618.205078,4435.256348,4393.333496,4519.871582,6823.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161877.962887,1703161877.963883,106.000000,0.000000,4150.641113,4132.307617,4229.487305,4200.897461,4140.897461,4132.692383,4171.282227,4145.641113,4124.102539,4113.974121,4614.358887,4427.051270,4387.692383,4516.153809,5804.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161877.970695,1703161877.971691,107.000000,0.000000,4171.153809,4162.692383,4235.000000,4216.538574,4141.282227,4125.384766,4171.410156,4143.461426,4135.897461,4118.077148,4619.743652,4431.153809,4396.794922,4527.820313,6137.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161877.978503,1703161877.979599,108.000000,0.000000,4182.820313,4179.230957,4245.769043,4222.436035,4138.846191,4119.358887,4171.922852,4141.025879,4142.179688,4118.077148,4615.897461,4442.436035,4395.000000,4539.102539,6584.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.524835,-0.431702,-0.499695,-0.537109,0.983030,0.054206,0.154316,-17.606222,-32.086372,64.177109
1703161877.986311,1703161877.987407,109.000000,0.000000,4171.282227,4168.717773,4246.410156,4217.563965,4139.487305,4122.436035,4165.897461,4139.230957,4133.333496,4113.717773,4607.692383,4438.589844,4376.794922,4526.538574,6823.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161877.994119,1703161877.995115,110.000000,0.000000,4172.820313,4178.974121,4245.128418,4223.461426,4140.256348,4122.948730,4160.897461,4138.717773,4126.922852,4119.615234,4617.051270,4432.179688,4376.025879,4519.358887,5804.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161878.001927,1703161878.002923,111.000000,0.000000,4188.077148,4201.922852,4249.102539,4236.153809,4143.333496,4118.717773,4161.025879,4133.333496,4126.666504,4119.358887,4620.512695,4436.153809,4382.307617,4530.384766,6137.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161878.009735,1703161878.010631,112.000000,0.000000,4185.384766,4192.692383,4248.205078,4235.512695,4146.410156,4117.051270,4157.179688,4122.948730,4123.077148,4107.563965,4604.871582,4434.358887,4371.794922,4528.205078,6584.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.524467,-0.431335,-0.499939,-0.537537,0.961055,0.057624,0.155292,-17.595598,-32.011066,64.176064
1703161878.017543,1703161878.018439,113.000000,0.000000,4178.717773,4181.794922,4246.538574,4233.461426,4142.436035,4118.205078,4155.000000,4116.282227,4112.820313,4103.077148,4601.282227,4427.948730,4371.410156,4523.077148,6823.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703161878.025351,1703161878.026147,114.000000,0.000000,4184.102539,4190.641113,4250.384766,4234.743652,4140.000000,4121.794922,4160.256348,4118.205078,4109.615234,4104.102539,4606.922852,4430.256348,4378.589844,4530.256348,5804.000000,4.000000,78.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
