title:حلاق لا, start timestamp:1703153626.018354, stop timestamp:1703153636.754417, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1376      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153626.018354,1703153626.019218,47.000000,0.000000,4232.563965,4214.615234,4279.871582,4260.769043,4205.000000,4206.153809,4314.230957,4201.538574,4196.666504,4192.436035,4547.692383,4458.205078,4331.153809,4440.512695,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.026162,1703153626.026926,48.000000,0.000000,4221.025879,4202.820313,4272.820313,4247.820313,4201.666504,4202.051270,4315.000000,4202.436035,4197.307617,4190.128418,4546.025879,4458.974121,4324.358887,4420.128418,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,12.000000,0.000000,0.665837,0.381409,-0.548584,0.332031,0.984984,0.158222,0.097180,-17.227810,-28.960611,65.198463
1703153626.033970,1703153626.034834,49.000000,0.000000,4218.333496,4206.153809,4275.384766,4253.589844,4204.871582,4198.846191,4315.641113,4203.717773,4192.307617,4186.410156,4540.128418,4461.153809,4318.846191,4416.794922,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.041778,1703153626.042642,50.000000,0.000000,4220.128418,4215.897461,4283.717773,4266.282227,4203.333496,4199.487305,4312.563965,4201.538574,4198.333496,4192.563965,4542.692383,4466.153809,4322.820313,4442.948730,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.049586,1703153626.050551,51.000000,0.000000,4219.230957,4217.179688,4290.384766,4264.743652,4207.820313,4204.615234,4315.000000,4202.692383,4203.205078,4195.641113,4546.538574,4468.205078,4321.153809,4442.820313,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.057394,1703153626.058359,52.000000,0.000000,4212.179688,4213.077148,4284.487305,4260.128418,4218.974121,4206.666504,4314.615234,4203.846191,4191.538574,4187.948730,4540.256348,4460.000000,4318.205078,4419.871582,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,13.000000,0.000000,0.665806,0.381287,-0.548706,0.332031,0.979612,0.150897,0.100598,-16.938362,-29.031216,65.211952
1703153626.065202,1703153626.066167,53.000000,0.000000,4201.666504,4206.153809,4278.461426,4261.282227,4211.922852,4199.102539,4313.461426,4197.179688,4180.384766,4179.358887,4529.743652,4454.871582,4317.820313,4415.384766,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.073010,1703153626.073875,54.000000,0.000000,4195.769043,4206.666504,4284.743652,4262.563965,4202.307617,4193.846191,4315.512695,4191.538574,4182.563965,4177.692383,4522.051270,4457.436035,4314.487305,4427.820313,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.080818,1703153626.081683,55.000000,0.000000,4200.512695,4214.871582,4288.589844,4263.333496,4212.820313,4203.461426,4313.846191,4199.487305,4191.025879,4184.743652,4526.666504,4465.897461,4317.436035,4427.563965,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153626.088626,1703153626.089391,56.000000,0.000000,4204.871582,4215.000000,4286.282227,4263.461426,4219.487305,4213.589844,4315.641113,4203.974121,4192.179688,4185.128418,4529.102539,4468.589844,4318.846191,4413.333496,0.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,14.000000,0.000000,0.665727,0.380859,-0.548950,0.332275,0.978635,0.149921,0.104017,-16.877859,-29.194761,65.240753
