title:شاهين لا, start timestamp:1703488511.371122, stop timestamp:1703488522.114988, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1377      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703488511.371122,1703488511.371431,119.000000,0.000000,4225.897461,4241.538574,4310.128418,4289.487305,4250.641113,4248.589844,4306.153809,4263.205078,4230.641113,4229.102539,4501.666504,4471.282227,4362.179688,4420.769043,6269.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.378930,1703488511.379139,120.000000,0.000000,4236.153809,4241.410156,4315.256348,4295.897461,4257.051270,4258.589844,4311.153809,4272.820313,4242.692383,4245.000000,4516.025879,4488.077148,4362.563965,4429.743652,6740.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.707423,-0.114929,-0.687561,0.116638,0.931266,-0.325723,0.015627,-10.041688,-42.787788,60.807922
1703488511.386738,1703488511.386947,121.000000,0.000000,4229.230957,4237.179688,4308.974121,4288.333496,4251.666504,4264.615234,4311.153809,4273.717773,4247.820313,4268.846191,4527.436035,4487.436035,4364.487305,4432.307617,6915.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.394546,1703488511.394655,122.000000,0.000000,4233.974121,4247.436035,4313.077148,4296.025879,4260.769043,4263.717773,4310.897461,4279.871582,4263.205078,4255.769043,4525.384766,4493.333496,4378.846191,4443.461426,5860.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.402354,1703488511.402563,123.000000,0.000000,4251.025879,4263.333496,4329.615234,4307.948730,4268.333496,4262.307617,4312.563965,4286.666504,4283.205078,4247.563965,4530.000000,4510.512695,4386.538574,4450.384766,6269.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.410163,1703488511.410371,124.000000,0.000000,4249.102539,4260.256348,4332.307617,4303.717773,4260.000000,4259.871582,4311.282227,4274.102539,4269.358887,4266.282227,4533.205078,4502.948730,4376.025879,4440.128418,6740.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.707433,-0.114990,-0.687561,0.116516,0.933708,-0.320840,0.018069,-10.087520,-42.742344,60.760464
1703488511.417971,1703488511.418279,125.000000,0.000000,4234.230957,4247.948730,4321.794922,4294.615234,4253.333496,4261.282227,4312.051270,4258.974121,4243.974121,4264.871582,4517.179688,4485.256348,4357.436035,4425.897461,6915.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.425779,1703488511.426087,126.000000,0.000000,4233.461426,4245.512695,4318.077148,4293.717773,4249.230957,4259.487305,4312.179688,4260.897461,4244.871582,4247.820313,4500.000000,4483.717773,4350.512695,4416.666504,5860.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.433587,1703488511.433995,127.000000,0.000000,4234.743652,4246.410156,4314.230957,4292.820313,4245.000000,4250.384766,4308.846191,4264.487305,4245.897461,4240.512695,4496.922852,4478.846191,4348.589844,4413.717773,97.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.441395,1703488511.441803,0.000000,0.000000,4228.461426,4245.000000,4307.179688,4292.436035,4246.153809,4251.410156,4310.000000,4261.153809,4231.282227,4229.487305,4498.077148,4473.077148,4340.128418,4416.922852,5434.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.707493,-0.114868,-0.687561,0.116272,0.941521,-0.329630,0.024417,-10.062100,-42.751442,60.584415
1703488511.449203,1703488511.449710,1.000000,0.000000,4229.358887,4248.205078,4308.077148,4296.153809,4249.358887,4263.846191,4313.461426,4263.717773,4230.769043,4227.179688,4500.641113,4480.897461,4338.846191,4419.102539,5526.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.457011,1703488511.457518,2.000000,0.000000,4229.230957,4247.051270,4306.794922,4294.358887,4247.948730,4265.256348,4311.794922,4268.461426,4240.000000,4241.025879,4503.717773,4477.179688,4349.871582,4416.666504,5350.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.464819,1703488511.465426,3.000000,0.000000,4215.512695,4235.128418,4297.948730,4283.589844,4245.641113,4259.102539,4310.128418,4265.641113,4237.820313,4239.230957,4504.102539,4461.794922,4352.436035,4413.974121,5432.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.472627,1703488511.473234,4.000000,0.000000,4210.897461,4232.820313,4293.333496,4275.512695,4252.051270,4262.820313,4314.615234,4261.025879,4229.230957,4227.692383,4503.589844,4465.769043,4347.563965,4417.563965,5193.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.707760,-0.114746,-0.687317,0.116211,0.947381,-0.329630,0.026370,-10.072557,-42.642963,60.709309
1703488511.480435,1703488511.480942,5.000000,0.000000,4225.000000,4245.897461,4294.358887,4284.487305,4263.461426,4266.794922,4318.077148,4262.563965,4227.820313,4231.666504,4507.948730,4478.717773,4357.179688,4425.384766,5048.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.488243,1703488511.488750,6.000000,0.000000,4235.512695,4250.512695,4300.641113,4291.282227,4264.358887,4264.871582,4316.153809,4261.153809,4231.153809,4246.153809,4514.230957,4476.153809,4365.256348,4430.128418,2307.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.496051,1703488511.496458,7.000000,0.000000,4234.102539,4246.410156,4308.205078,4287.179688,4257.820313,4263.974121,4315.256348,4248.461426,4227.051270,4250.769043,4512.051270,4473.077148,4362.051270,4426.153809,5068.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.503859,1703488511.504266,8.000000,0.000000,4232.179688,4252.563965,4307.820313,4292.948730,4258.717773,4264.358887,4319.743652,4238.974121,4223.333496,4232.179688,4505.512695,4475.512695,4356.922852,4417.051270,5230.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.707730,-0.114685,-0.687378,0.116089,0.929801,-0.333048,0.018557,-10.198635,-42.645336,60.721710
1703488511.511667,1703488511.511974,9.000000,0.000000,4232.436035,4260.512695,4302.692383,4300.384766,4266.794922,4264.871582,4324.871582,4243.589844,4228.974121,4218.461426,4500.128418,4468.077148,4350.128418,4409.743652,5308.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703488511.519475,1703488511.519782,10.000000,0.000000,4231.410156,4256.410156,4301.153809,4294.743652,4263.589844,4263.589844,4322.436035,4247.307617,4232.820313,4230.769043,4493.974121,4455.512695,4350.641113,4410.512695,5823.000000,4.000000,97.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
