title:aya مسافة, start timestamp:1702803205.440065, stop timestamp:1702803216.590002, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1429      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1702803205.440065,1702803205.791851,82.000000,0.000000,4180.256348,4133.846191,4288.077148,4235.000000,4142.307617,4118.205078,4248.461426,4150.128418,4135.128418,4143.846191,4661.153809,4465.641113,4177.948730,4541.282227,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.447873,1702803205.799559,83.000000,0.000000,4184.743652,4141.794922,4290.897461,4247.820313,4142.692383,4123.333496,4256.153809,4160.256348,4132.563965,4148.717773,4665.384766,4461.025879,4179.358887,4539.743652,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.455681,1702803205.807467,84.000000,0.000000,4174.871582,4137.948730,4285.384766,4236.282227,4148.846191,4129.358887,4261.794922,4153.077148,4112.307617,4138.589844,4649.102539,4444.102539,4167.179688,4526.922852,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,21.000000,0.000000,0.719653,0.152466,-0.653870,0.176941,0.986449,0.009278,0.098157,-5.804765,14.420983,98.849525
1702803205.463489,1702803205.815275,85.000000,0.000000,4166.282227,4121.410156,4271.282227,4216.153809,4147.307617,4136.282227,4261.153809,4136.538574,4090.128174,4125.641113,4628.333496,4430.384766,4157.563965,4519.358887,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.471297,1702803205.823183,86.000000,0.000000,4169.615234,4114.743652,4267.307617,4212.436035,4139.615234,4143.717773,4263.846191,4128.589844,4086.794922,4125.641113,4631.666504,4427.948730,4161.538574,4520.512695,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.479105,1702803205.830992,87.000000,0.000000,4169.102539,4116.410156,4266.282227,4216.538574,4144.102539,4142.307617,4266.794922,4132.436035,4097.436035,4133.461426,4644.358887,4430.128418,4170.512695,4525.128418,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.486914,1702803205.838900,88.000000,0.000000,4166.410156,4119.358887,4258.974121,4220.384766,4146.410156,4137.436035,4263.205078,4142.692383,4113.333496,4147.948730,4653.077148,4437.692383,4178.333496,4533.461426,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,22.000000,0.000000,0.719681,0.152527,-0.653809,0.177002,0.996704,-0.004883,0.097668,-5.874288,14.395552,98.647903
1702803205.494722,1702803205.846708,89.000000,0.000000,4166.538574,4117.820313,4256.410156,4218.846191,4136.538574,4131.282227,4261.538574,4153.974121,4127.692383,4158.333496,4657.692383,4449.102539,4180.512695,4533.333496,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.502530,1702803205.854616,90.000000,0.000000,4177.563965,4125.897461,4273.846191,4225.897461,4140.128418,4127.051270,4260.641113,4158.461426,4142.692383,4165.256348,4673.846191,4467.692383,4190.897461,4542.692383,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,1.000000,58.333332,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,,,,,,,,,,,,
1702803205.510338,1702803205.862424,91.000000,0.000000,4194.102539,4147.436035,4293.205078,4243.333496,4155.256348,4128.974121,4255.000000,4147.948730,4148.974121,4174.230957,4694.871582,4478.974121,4207.948730,4563.974121,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.518146,1702803205.870332,92.000000,0.000000,4193.205078,4154.358887,4289.615234,4247.563965,4161.666504,4126.410156,4248.077148,4136.538574,4143.333496,4178.077148,4694.358887,4470.256348,4205.897461,4562.820313,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,23.000000,0.000000,0.719636,0.152405,-0.653870,0.177063,0.972775,-0.012697,0.110365,-5.820193,14.389330,98.566444
1702803205.525954,1702803205.878140,93.000000,0.000000,4185.384766,4149.230957,4283.205078,4245.256348,4159.487305,4123.974121,4246.282227,4148.717773,4149.102539,4175.256348,4685.769043,4467.820313,4195.000000,4555.512695,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.533762,1702803205.885949,94.000000,0.000000,4175.128418,4139.487305,4277.948730,4239.102539,4154.871582,4126.153809,4248.077148,4166.666504,4153.205078,4156.410156,4672.179688,4460.256348,4173.461426,4540.897461,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.541570,1702803205.893757,95.000000,0.000000,4154.871582,4120.256348,4258.461426,4219.230957,4142.563965,4130.256348,4257.179688,4164.358887,4132.307617,4128.077148,4640.384766,4430.256348,4145.512695,4513.846191,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.549378,1702803205.901465,96.000000,0.000000,4146.282227,4101.794922,4245.897461,4208.461426,4129.615234,4138.333496,4269.358887,4150.769043,4107.692383,4113.077148,4621.282227,4414.871582,4139.230957,4504.102539,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,24.000000,0.000000,0.719679,0.152466,-0.653809,0.177063,0.993774,-0.000488,0.090831,-5.838173,14.417063,98.593132
1702803205.557186,1702803205.909273,97.000000,0.000000,4152.692383,4096.282227,4251.794922,4210.897461,4131.666504,4147.179688,4270.384766,4135.128418,4094.487061,4108.461426,4627.179688,4418.717773,4140.384766,4508.717773,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.564994,1702803205.916982,98.000000,0.000000,4157.948730,4102.948730,4262.436035,4210.512695,4137.436035,4151.666504,4269.230957,4126.025879,4086.153809,4110.641113,4631.025879,4419.871582,4135.128418,4509.615234,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.572802,1702803205.924790,99.000000,0.000000,4160.641113,4109.871582,4267.307617,4213.077148,4132.820313,4143.974121,4271.025879,4127.307617,4082.948730,4118.717773,4628.461426,4425.769043,4141.666504,4514.615234,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.580610,1702803205.932498,100.000000,0.000000,4168.717773,4119.358887,4271.538574,4226.025879,4133.333496,4132.820313,4265.897461,4131.538574,4098.205078,4126.794922,4644.358887,4442.051270,4160.128418,4527.563965,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,25.000000,0.000000,0.719666,0.152405,-0.653870,0.176941,0.987425,-0.000977,0.083018,-5.771023,14.442023,98.667152
1702803205.588419,1702803205.940306,101.000000,0.000000,4182.436035,4133.846191,4279.487305,4240.128418,4146.410156,4132.948730,4257.692383,4140.128418,4130.641113,4146.538574,4672.051270,4457.307617,4175.000000,4540.384766,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.596227,1702803205.948015,102.000000,0.000000,4192.179688,4144.615234,4290.000000,4247.563965,4155.769043,4132.307617,4253.333496,4148.205078,4153.974121,4171.282227,4682.051270,4472.051270,4184.230957,4555.128418,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.604035,1702803205.955823,103.000000,0.000000,4201.153809,4155.512695,4305.256348,4256.666504,4157.692383,4128.333496,4248.846191,4153.974121,4163.205078,4179.487305,4696.794922,4488.846191,4196.922852,4571.410156,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.611843,1702803205.963531,104.000000,0.000000,4207.948730,4162.820313,4311.538574,4262.436035,4153.077148,4125.641113,4247.820313,4163.333496,4171.025879,4178.205078,4717.051270,4496.538574,4206.282227,4576.794922,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,26.000000,0.000000,0.719617,0.152588,-0.653931,0.176758,0.982542,0.000977,0.084483,-5.727254,14.514488,98.583771
1702803205.619651,1702803205.971339,105.000000,0.000000,4195.897461,4146.922852,4298.077148,4250.128418,4144.615234,4126.794922,4255.128418,4175.512695,4173.077148,4177.948730,4711.153809,4488.077148,4199.487305,4565.769043,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.627459,1702803205.979047,106.000000,0.000000,4170.256348,4115.512695,4275.641113,4224.487305,4137.436035,4136.666504,4262.948730,4179.615234,4159.230957,4158.974121,4685.000000,4467.051270,4176.794922,4540.769043,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.635267,1702803205.986955,107.000000,0.000000,4150.128418,4095.256348,4251.666504,4201.794922,4129.487305,4143.589844,4265.769043,4163.461426,4127.436035,4117.948730,4642.692383,4431.922852,4137.436035,4505.897461,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.643075,1702803205.994763,108.000000,0.000000,4148.077148,4093.846191,4241.025879,4202.948730,4129.615234,4142.179688,4266.282227,4139.871582,4095.512939,4101.282227,4612.179688,4410.256348,4114.615234,4491.538574,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,27.000000,0.000000,0.719507,0.152771,-0.653992,0.176819,0.988890,-0.006348,0.098645,-5.737862,14.413039,98.558731
1702803205.650883,1702803206.002671,109.000000,0.000000,4158.974121,4105.512695,4252.051270,4220.897461,4139.743652,4138.077148,4264.487305,4124.871582,4078.846191,4116.794922,4623.077148,4420.384766,4131.794922,4510.256348,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.658691,1702803206.010479,110.000000,0.000000,4168.974121,4122.307617,4262.820313,4229.743652,4147.436035,4132.051270,4258.717773,4113.974121,4072.435791,4120.128418,4641.794922,4430.769043,4146.153809,4523.846191,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.666499,1702803206.018387,111.000000,0.000000,4175.256348,4131.666504,4265.384766,4232.179688,4145.256348,4126.410156,4253.589844,4109.358887,4078.076904,4113.589844,4638.974121,4430.128418,4142.820313,4523.205078,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.674307,1702803206.026196,112.000000,0.000000,4172.563965,4120.128418,4265.256348,4227.563965,4134.102539,4118.717773,4251.666504,4120.641113,4096.538574,4125.641113,4636.666504,4434.615234,4145.512695,4526.538574,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,28.000000,0.000000,0.719603,0.152771,-0.653870,0.176880,0.995239,-0.011232,0.097668,-5.547409,14.471735,98.636192
1702803205.682115,1702803206.034104,113.000000,0.000000,4172.051270,4110.256348,4268.717773,4221.410156,4127.692383,4112.179688,4249.615234,4143.077148,4122.436035,4146.666504,4658.077148,4455.897461,4159.871582,4538.846191,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.689924,1702803206.041912,114.000000,0.000000,4184.871582,4123.205078,4281.025879,4230.128418,4131.922852,4110.641113,4246.666504,4156.922852,4146.794922,4158.589844,4684.743652,4474.487305,4173.077148,4549.615234,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.697732,1702803206.049820,115.000000,0.000000,4191.282227,4133.974121,4287.820313,4243.077148,4143.077148,4115.128418,4243.205078,4149.871582,4151.410156,4161.025879,4691.025879,4467.692383,4176.794922,4548.846191,5875.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.705540,1702803206.057628,116.000000,0.000000,4177.051270,4124.871582,4277.179688,4241.922852,4152.436035,4130.256348,4243.846191,4138.461426,4136.666504,4154.871582,4677.436035,4451.538574,4169.358887,4538.461426,6765.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,29.000000,0.000000,0.719590,0.152832,-0.653870,0.176880,0.981077,-0.003907,0.100598,-5.659335,14.291228,98.522568
1702803205.713348,1702803206.065536,117.000000,0.000000,4155.000000,4107.692383,4256.282227,4222.563965,4150.769043,4143.461426,4251.282227,4138.077148,4119.102539,4138.846191,4655.384766,4435.897461,4147.307617,4522.948730,6873.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702803205.721156,1702803206.073345,118.000000,0.000000,4154.743652,4102.692383,4247.820313,4208.077148,4146.666504,4146.538574,4261.410156,4144.487305,4108.717773,4124.487305,4647.436035,4429.102539,4134.487305,4515.897461,5838.000000,3.000000,74.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
