title:صنجي مسافة, start timestamp:1703492151.950449, stop timestamp:1703492162.741171, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1383      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492151.950449,1703492151.951572,120.000000,0.000000,4198.589844,4203.717773,4293.461426,4294.871582,4240.512695,4248.333496,4233.974121,4215.128418,4218.077148,4201.794922,4526.410156,4450.000000,4349.102539,4432.436035,6808.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.155262,0.630188,-0.196350,0.734985,0.972287,-0.083995,0.136247,-16.339670,-41.320702,66.770393
1703492151.958257,1703492151.959481,121.000000,0.000000,4189.487305,4197.436035,4288.333496,4285.256348,4235.897461,4251.922852,4238.589844,4215.000000,4223.333496,4197.692383,4524.102539,4445.769043,4343.077148,4426.153809,7312.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492151.966065,1703492151.967289,122.000000,0.000000,4183.461426,4200.000000,4282.051270,4280.000000,4233.589844,4248.077148,4239.743652,4220.000000,4223.077148,4204.230957,4520.769043,4442.692383,4347.820313,4425.769043,5980.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492151.973873,1703492151.975197,123.000000,0.000000,4184.230957,4195.641113,4283.974121,4277.563965,4229.615234,4247.948730,4243.077148,4227.692383,4220.128418,4204.230957,4523.205078,4446.794922,4352.179688,4428.077148,6322.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492151.981681,1703492151.983005,124.000000,0.000000,4195.897461,4197.692383,4300.769043,4283.974121,4223.205078,4246.282227,4246.666504,4237.820313,4218.333496,4202.307617,4539.358887,4461.666504,4360.641113,4444.358887,6808.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.155534,0.630249,-0.196167,0.734924,0.972287,-0.071786,0.127457,-16.422371,-41.438633,66.810020
1703492151.989489,1703492151.990913,125.000000,0.000000,4205.384766,4205.769043,4313.205078,4293.589844,4225.769043,4238.846191,4249.487305,4248.974121,4220.128418,4205.641113,4551.282227,4478.717773,4370.128418,4461.666504,7312.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492151.997297,1703492151.998721,126.000000,0.000000,4203.333496,4202.563965,4313.846191,4292.692383,4228.205078,4229.102539,4247.436035,4250.000000,4220.000000,4202.179688,4544.102539,4483.589844,4367.179688,4459.487305,5980.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492152.005105,1703492152.006530,127.000000,0.000000,4202.563965,4202.692383,4312.563965,4288.205078,4224.871582,4218.205078,4237.820313,4242.692383,4212.692383,4194.615234,4536.410156,4479.743652,4363.077148,4459.487305,86.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492152.012913,1703492152.014238,0.000000,0.000000,4210.128418,4212.820313,4312.692383,4294.487305,4223.846191,4206.538574,4229.615234,4230.769043,4196.538574,4188.461426,4531.282227,4472.051270,4360.384766,4463.846191,5298.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.155672,0.630310,-0.195862,0.734924,0.988890,-0.077646,0.123550,-16.546801,-41.378101,66.729019
1703492152.020721,1703492152.022146,1.000000,0.000000,4214.615234,4219.102539,4312.692383,4300.000000,4226.666504,4199.743652,4228.717773,4217.051270,4183.974121,4185.000000,4523.333496,4463.333496,4356.025879,4455.384766,5490.000000,4.000000,86.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
