title:عمار مسافة, start timestamp:1703503300.126127, stop timestamp:1703503311.041783, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1399      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703503300.126127,1703503300.127007,86.000000,0.000000,4291.153809,4276.410156,4301.410156,4273.589844,4277.436035,4277.436035,4295.256348,4210.897461,4287.051270,4299.871582,4460.769043,4455.641113,4394.487305,4423.717773,6162.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.133935,1703503300.134715,87.000000,0.000000,4293.461426,4282.563965,4292.051270,4275.256348,4278.717773,4279.102539,4295.641113,4213.974121,4278.205078,4281.922852,4442.563965,4437.563965,4374.358887,4405.641113,6406.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.141743,1703503300.142523,88.000000,0.000000,4294.102539,4281.282227,4295.256348,4272.051270,4274.615234,4278.846191,4296.922852,4220.128418,4286.538574,4290.000000,4452.820313,4451.922852,4377.820313,4420.512695,6967.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.459814,0.509216,-0.458679,0.564697,0.987914,-0.044439,0.053717,-16.053843,-37.116795,61.305984
1703503300.149551,1703503300.150231,89.000000,0.000000,4297.563965,4274.615234,4305.000000,4263.333496,4263.461426,4271.282227,4293.461426,4223.077148,4291.153809,4302.692383,4467.179688,4471.538574,4392.563965,4438.717773,7327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.157359,1703503300.158039,90.000000,0.000000,4303.077148,4273.077148,4310.384766,4263.333496,4258.846191,4263.589844,4285.641113,4220.384766,4285.000000,4295.128418,4460.641113,4465.769043,4390.769043,4433.333496,6162.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.165167,1703503300.165747,91.000000,0.000000,4307.692383,4279.102539,4311.153809,4269.487305,4263.974121,4262.436035,4280.128418,4219.487305,4282.692383,4287.563965,4448.589844,4457.563965,4387.179688,4427.820313,6406.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.172975,1703503300.173655,92.000000,0.000000,4313.461426,4287.692383,4310.128418,4267.563965,4261.538574,4261.922852,4276.282227,4216.922852,4281.410156,4288.333496,4450.384766,4461.025879,4391.282227,4435.897461,6967.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.459753,0.509216,-0.458740,0.564697,0.994750,-0.052741,0.066414,-15.881791,-37.121780,61.342052
1703503300.180783,1703503300.181463,93.000000,0.000000,4321.025879,4292.563965,4316.922852,4257.820313,4252.820313,4259.871582,4276.410156,4208.974121,4276.922852,4287.820313,4463.589844,4472.436035,4400.384766,4446.922852,7327.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.188591,1703503300.189371,94.000000,0.000000,4323.077148,4292.051270,4322.179688,4245.384766,4251.794922,4262.179688,4279.102539,4203.974121,4270.641113,4284.615234,4459.615234,4471.794922,4397.051270,4438.974121,6162.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703503300.196399,1703503300.197179,95.000000,0.000000,4310.256348,4284.487305,4305.000000,4210.256348,4249.102539,4260.384766,4275.512695,4198.333496,4262.051270,4269.871582,4431.538574,4443.077148,4375.512695,4406.282227,6406.000000,3.000000,63.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
