title:ليال مسافة, start timestamp:1703407724.284816, stop timestamp:1703407735.130196, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703407724.284816,1703407724.285156,57.000000,0.000000,4204.358887,4182.563965,4283.205078,4239.615234,4185.000000,4151.538574,4188.461426,4153.205078,4147.051270,4157.563965,4596.922852,4441.666504,4388.589844,4464.743652,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.292624,1703407724.293063,58.000000,0.000000,4211.538574,4182.051270,4285.641113,4247.307617,4178.589844,4154.230957,4186.794922,4158.717773,4148.461426,4156.410156,4598.333496,4442.051270,4394.487305,4481.153809,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.300432,1703407724.300871,59.000000,0.000000,4220.641113,4197.436035,4287.179688,4250.897461,4179.871582,4151.538574,4193.205078,4169.102539,4155.128418,4158.205078,4608.077148,4446.538574,4405.897461,4498.589844,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.308240,1703407724.308779,60.000000,0.000000,4222.692383,4200.384766,4289.743652,4245.769043,4198.205078,4149.358887,4197.436035,4170.128418,4156.025879,4161.922852,4614.358887,4451.410156,4408.461426,4498.205078,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,15.000000,0.000000,0.724623,-0.149536,-0.664124,-0.107239,0.987425,-0.075204,0.071786,-15.139963,-40.651218,65.558075
1703407724.316048,1703407724.316587,61.000000,0.000000,4211.153809,4186.666504,4283.205078,4242.948730,4198.974121,4153.846191,4197.948730,4167.563965,4152.948730,4166.282227,4614.487305,4449.615234,4407.051270,4494.358887,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.323856,1703407724.324395,62.000000,0.000000,4198.846191,4179.230957,4277.692383,4241.153809,4166.282227,4155.128418,4198.333496,4170.384766,4161.922852,4175.897461,4614.358887,4449.615234,4408.974121,4489.743652,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.331664,1703407724.332203,63.000000,0.000000,4209.230957,4187.051270,4292.179688,4243.974121,4173.077148,4155.897461,4199.871582,4174.871582,4169.871582,4179.358887,4620.641113,4463.717773,4415.128418,4490.641113,0.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.339472,1703407724.339911,64.000000,0.000000,4218.205078,4192.948730,4300.128418,4250.512695,4203.974121,4161.538574,4203.974121,4173.461426,4160.000000,4167.051270,4618.717773,4467.179688,4411.153809,4493.846191,4816.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,16.000000,0.000000,0.724629,-0.149780,-0.664063,-0.107239,0.991820,-0.057136,0.075693,-15.209300,-40.786095,65.435600
1703407724.347280,1703407724.347719,65.000000,0.000000,4203.077148,4179.743652,4281.282227,4243.205078,4187.692383,4160.000000,4200.769043,4166.538574,4149.615234,4153.077148,4600.769043,4442.307617,4393.333496,4473.974121,5425.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703407724.355088,1703407724.355427,66.000000,0.000000,4191.666504,4171.666504,4272.948730,4234.871582,4182.563965,4155.000000,4195.897461,4163.077148,4152.179688,4150.769043,4590.000000,4430.000000,4382.179688,4458.333496,5237.000000,4.000000,75.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
