title:ملاح مسافة, start timestamp:1703495734.394460, stop timestamp:1703495745.177361, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1382      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703495734.394460,1703495734.394933,105.000000,0.000000,4122.179688,4110.641113,4235.384766,4183.717773,4119.487305,4109.358887,4155.256348,4182.436035,4179.871582,4087.051270,4441.153809,4380.000000,4241.538574,4314.871582,5996.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495734.402268,1703495734.402641,106.000000,0.000000,4120.769043,4110.000000,4238.205078,4184.487305,4112.179688,4113.589844,4157.436035,4181.153809,4175.769043,4090.128174,4438.205078,4379.871582,4238.333496,4309.871582,6043.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,83.333336,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,3.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1703495734.410076,1703495734.410449,107.000000,0.000000,4127.179688,4115.256348,4238.846191,4188.846191,4108.974121,4119.743652,4157.820313,4174.358887,4173.717773,4096.538574,4447.820313,4381.153809,4246.794922,4311.794922,6280.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495734.417884,1703495734.418157,108.000000,0.000000,4133.333496,4114.743652,4239.230957,4185.897461,4109.743652,4120.000000,4154.487305,4165.512695,4173.589844,4091.666748,4452.692383,4385.897461,4255.512695,4321.153809,6713.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.671678,0.257385,-0.662842,0.207947,0.986449,0.079600,-0.008302,-17.079977,-38.303242,63.338966
1703495734.425692,1703495734.425965,109.000000,0.000000,4146.410156,4116.153809,4251.410156,4192.307617,4116.794922,4121.025879,4160.256348,4171.153809,4172.179688,4096.794922,4462.563965,4395.000000,4263.717773,4334.871582,5996.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495734.433500,1703495734.433673,110.000000,0.000000,4163.205078,4133.717773,4260.000000,4210.512695,4125.128418,4124.230957,4170.641113,4184.102539,4171.538574,4115.512695,4483.077148,4405.897461,4279.230957,4355.641113,6043.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495734.441308,1703495734.441581,111.000000,0.000000,4164.102539,4141.538574,4258.077148,4213.846191,4123.589844,4123.077148,4167.563965,4181.666504,4170.512695,4115.256348,4488.589844,4414.230957,4290.641113,4369.871582,6280.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495734.449116,1703495734.449389,112.000000,0.000000,4154.487305,4133.974121,4257.563965,4204.358887,4123.717773,4120.769043,4159.871582,4169.871582,4167.436035,4096.025879,4478.077148,4411.153809,4281.025879,4361.666504,6713.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.671818,0.257385,-0.662720,0.207886,1.009889,0.077646,-0.020999,-16.988646,-38.239582,63.421738
1703495734.456925,1703495734.457297,113.000000,0.000000,4152.436035,4136.282227,4257.179688,4204.230957,4128.717773,4123.077148,4160.128418,4168.717773,4165.641113,4082.307617,4467.307617,4396.538574,4261.153809,4342.948730,5996.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703495734.464733,1703495734.465106,114.000000,0.000000,4147.051270,4134.871582,4253.589844,4201.666504,4116.922852,4123.077148,4156.153809,4171.025879,4166.922852,4075.384521,4457.692383,4385.897461,4250.897461,4329.871582,6043.000000,4.000000,76.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
