title:الما مسافة, start timestamp:1703404617.909651, stop timestamp:1703404628.676953, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1380      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703404617.909651,1703404617.910315,112.000000,0.000000,4211.282227,4168.205078,4283.846191,4246.794922,4169.743652,4135.769043,4226.666504,4148.589844,4150.897461,4156.025879,4627.948730,4447.563965,4414.358887,4535.641113,6638.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.671591,-0.200500,-0.701477,-0.129211,0.994750,-0.100598,-0.033696,-13.662514,-39.637844,62.257755
1703404617.917459,1703404617.918023,113.000000,0.000000,4215.128418,4167.692383,4286.025879,4245.641113,4170.384766,4136.922852,4225.256348,4155.128418,4156.410156,4151.794922,4628.461426,4451.922852,4411.666504,4541.025879,6536.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.925267,1703404617.925831,114.000000,0.000000,4220.128418,4178.333496,4287.179688,4249.871582,4163.846191,4136.794922,4227.436035,4148.974121,4153.717773,4151.282227,4628.717773,4453.974121,4413.589844,4540.769043,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.933075,1703404617.933539,115.000000,0.000000,4219.230957,4184.871582,4284.615234,4252.179688,4166.666504,4138.461426,4223.205078,4143.974121,4151.922852,4153.846191,4632.820313,4449.615234,4414.615234,4537.692383,6192.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.940883,1703404617.941447,116.000000,0.000000,4215.128418,4174.358887,4281.282227,4246.922852,4174.230957,4139.743652,4225.512695,4149.615234,4154.615234,4158.461426,4639.871582,4451.153809,4414.230957,4537.051270,6638.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.671624,-0.200562,-0.701416,-0.129272,0.976682,-0.084483,-0.031742,-13.462929,-39.640728,62.281982
1703404617.948691,1703404617.949256,117.000000,0.000000,4212.820313,4165.000000,4283.974121,4244.871582,4173.974121,4139.358887,4229.487305,4157.692383,4156.025879,4167.820313,4647.179688,4463.974121,4418.205078,4539.487305,6536.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.956499,1703404617.957164,118.000000,0.000000,4216.666504,4169.487305,4284.487305,4248.717773,4171.794922,4137.051270,4227.563965,4155.384766,4154.102539,4170.256348,4644.102539,4467.948730,4418.205078,4541.282227,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.964307,1703404617.964972,119.000000,0.000000,4219.230957,4173.461426,4280.897461,4254.871582,4178.461426,4135.897461,4225.512695,4152.436035,4155.384766,4168.846191,4634.743652,4458.589844,4411.794922,4540.000000,6192.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.972115,1703404617.972880,120.000000,0.000000,4214.871582,4172.820313,4281.153809,4258.077148,4183.077148,4137.179688,4224.230957,4155.641113,4156.538574,4167.820313,4634.358887,4452.563965,4411.282227,4532.563965,6638.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.671637,-0.200439,-0.701416,-0.129395,0.980588,-0.086436,-0.023440,-13.466636,-39.609989,62.253784
1703404617.979923,1703404617.980688,121.000000,0.000000,4205.897461,4172.563965,4280.897461,4254.358887,4172.436035,4136.538574,4222.307617,4156.922852,4154.358887,4161.153809,4630.641113,4452.820313,4409.743652,4524.230957,6536.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.987731,1703404617.988596,122.000000,0.000000,4201.410156,4168.589844,4279.487305,4244.743652,4162.179688,4133.974121,4222.692383,4152.436035,4156.282227,4155.256348,4623.974121,4450.641113,4399.358887,4521.410156,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404617.995540,1703404617.996404,123.000000,0.000000,4208.333496,4167.692383,4282.820313,4244.358887,4166.666504,4135.000000,4222.820313,4144.230957,4149.871582,4152.307617,4621.922852,4447.820313,4395.384766,4522.820313,6192.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.003348,1703404618.004311,124.000000,0.000000,4216.538574,4172.948730,4289.615234,4260.897461,4173.717773,4138.461426,4223.846191,4143.077148,4135.641113,4143.077148,4619.487305,4450.769043,4399.102539,4527.436035,6638.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.671801,-0.200317,-0.701294,-0.129395,0.983030,-0.098157,-0.025394,-13.353306,-39.598991,62.128407
1703404618.011155,1703404618.012119,125.000000,0.000000,4219.230957,4175.256348,4290.769043,4268.077148,4173.333496,4135.512695,4231.282227,4151.794922,4141.410156,4139.487305,4619.743652,4455.384766,4398.589844,4532.436035,6536.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.018964,1703404618.019827,126.000000,0.000000,4216.282227,4170.897461,4287.563965,4252.051270,4168.333496,4128.846191,4230.769043,4158.077148,4157.820313,4145.128418,4625.256348,4453.717773,4395.256348,4531.794922,5948.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.026772,1703404618.027635,127.000000,0.000000,4214.743652,4168.589844,4288.974121,4246.410156,4166.282227,4123.077148,4221.922852,4157.051270,4156.794922,4148.205078,4629.102539,4453.077148,4399.230957,4531.922852,85.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.034580,1703404618.035343,0.000000,0.000000,4221.410156,4173.717773,4291.025879,4259.487305,4170.128418,4121.538574,4217.307617,4157.948730,4158.205078,4157.563965,4633.205078,4459.743652,4411.538574,4541.410156,4642.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.671955,-0.200562,-0.701111,-0.129211,1.002075,-0.110365,-0.021487,-13.417975,-39.489090,62.248898
1703404618.042388,1703404618.043151,1.000000,0.000000,4222.307617,4174.230957,4286.538574,4252.179688,4170.641113,4121.282227,4214.871582,4156.922852,4170.128418,4166.538574,4633.077148,4458.589844,4411.922852,4539.358887,5320.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.050196,1703404618.050860,2.000000,0.000000,4213.846191,4170.256348,4287.820313,4241.410156,4169.743652,4119.615234,4216.410156,4150.641113,4159.230957,4162.563965,4626.922852,4453.205078,4399.743652,4526.666504,5203.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.058004,1703404618.058667,3.000000,0.000000,4216.410156,4173.461426,4300.641113,4260.769043,4173.717773,4122.948730,4223.846191,4150.128418,4141.922852,4152.307617,4634.102539,4466.025879,4399.871582,4535.128418,5332.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.065812,1703404618.066376,4.000000,0.000000,4224.358887,4174.102539,4300.641113,4268.077148,4163.205078,4123.589844,4227.179688,4153.461426,4141.410156,4142.563965,4635.641113,4474.487305,4404.615234,4545.128418,5060.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.671912,-0.200745,-0.701111,-0.129150,0.996704,-0.086436,-0.026859,-13.526177,-39.456848,62.240673
1703404618.073620,1703404618.074184,5.000000,0.000000,4217.436035,4167.948730,4289.102539,4248.846191,4147.051270,4115.897461,4220.897461,4151.410156,4137.051270,4136.153809,4618.205078,4461.153809,4393.846191,4531.153809,4442.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703404618.081428,1703404618.081892,6.000000,0.000000,4210.128418,4167.051270,4291.666504,4249.230957,4162.051270,4115.128418,4215.000000,4143.846191,4126.794922,4140.512695,4612.692383,4451.538574,4385.897461,4523.461426,1950.000000,4.000000,85.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
