title:يمان مسافة, start timestamp:1703416834.450328, stop timestamp:1703416845.264477, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703416834.450328,1703416834.450619,70.000000,0.000000,4210.256348,4207.563965,4254.358887,4218.077148,4177.948730,4173.077148,4186.410156,4308.717773,4161.282227,4145.641113,4520.641113,4449.358887,4313.846191,4438.205078,4597.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.458136,1703416834.458327,71.000000,0.000000,4213.846191,4208.846191,4253.717773,4214.102539,4178.077148,4168.974121,4180.128418,4301.794922,4150.128418,4143.077148,4513.846191,4445.256348,4306.410156,4432.436035,5233.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.465944,1703416834.466235,72.000000,0.000000,4206.538574,4207.436035,4251.538574,4214.230957,4177.051270,4164.743652,4178.846191,4303.846191,4149.102539,4140.000000,4513.846191,4442.179688,4308.717773,4422.948730,5649.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.684662,0.095947,-0.677368,0.251404,0.949335,-0.229032,0.061531,-11.487042,-49.879684,66.212059
1703416834.473752,1703416834.474043,73.000000,0.000000,4208.589844,4205.384766,4252.307617,4218.717773,4173.846191,4162.692383,4177.948730,4306.666504,4158.717773,4142.820313,4519.871582,4448.461426,4315.897461,4430.897461,5614.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.481561,1703416834.481951,74.000000,0.000000,4212.820313,4200.769043,4254.871582,4218.077148,4168.589844,4155.128418,4174.871582,4300.512695,4155.641113,4144.487305,4518.205078,4449.230957,4313.717773,4436.538574,6230.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.489369,1703416834.489759,75.000000,0.000000,4209.102539,4201.794922,4257.948730,4218.846191,4172.179688,4153.461426,4177.307617,4300.128418,4153.333496,4146.410156,4521.794922,4448.974121,4317.692383,4435.128418,6491.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.497177,1703416834.497668,76.000000,0.000000,4204.230957,4205.384766,4255.128418,4223.077148,4175.641113,4157.051270,4177.436035,4297.692383,4156.153809,4147.563965,4524.615234,4448.846191,4325.000000,4432.563965,7039.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.684671,0.095886,-0.677368,0.251404,0.977658,-0.222683,0.072274,-11.471671,-49.791718,66.174187
1703416834.504985,1703416834.505476,77.000000,0.000000,4206.025879,4205.128418,4254.230957,4222.436035,4175.128418,4159.487305,4177.179688,4292.307617,4156.025879,4146.282227,4520.256348,4446.410156,4320.384766,4433.717773,7556.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.512793,1703416834.513384,78.000000,0.000000,4206.153809,4201.282227,4255.897461,4220.000000,4172.948730,4158.974121,4178.333496,4297.692383,4158.974121,4150.000000,4519.102539,4448.461426,4313.077148,4439.487305,6230.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703416834.520601,1703416834.521192,79.000000,0.000000,4201.922852,4199.871582,4255.641113,4220.641113,4169.358887,4156.666504,4176.538574,4305.000000,4163.846191,4151.410156,4523.974121,4452.692383,4312.948730,4438.717773,6491.000000,2.000000,51.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
