title:حازم مسافة, start timestamp:1703494183.995362, stop timestamp:1703494194.708007, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1373      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703494183.995362,1703494183.995915,9.000000,0.000000,4250.000000,4315.256348,4307.948730,4318.461426,4263.974121,4243.846191,4261.794922,4222.563965,4242.692383,4230.384766,4537.051270,4458.077148,4388.717773,4468.974121,5514.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.003170,1703494184.003623,10.000000,0.000000,4247.436035,4308.077148,4305.897461,4312.948730,4266.153809,4245.897461,4262.179688,4222.692383,4234.871582,4221.538574,4532.563965,4459.743652,4389.358887,4464.871582,5913.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.010978,1703494184.011431,11.000000,0.000000,4249.871582,4316.538574,4308.717773,4318.461426,4265.641113,4244.487305,4263.974121,4215.641113,4234.615234,4217.948730,4529.487305,4460.897461,4387.692383,4465.128418,6199.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.018786,1703494184.019139,12.000000,0.000000,4258.846191,4328.717773,4314.230957,4327.179688,4269.230957,4244.615234,4265.384766,4218.077148,4247.179688,4237.307617,4537.692383,4464.230957,4399.871582,4475.000000,6584.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.525023,0.391418,-0.566101,0.500671,0.982542,-0.163106,0.053229,-13.394355,-45.206387,64.923607
1703494184.026594,1703494184.026947,13.000000,0.000000,4256.794922,4320.512695,4311.922852,4328.974121,4273.461426,4250.128418,4264.743652,4226.922852,4247.692383,4240.512695,4541.410156,4468.333496,4396.922852,4477.051270,6756.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.034402,1703494184.034655,14.000000,0.000000,4244.358887,4308.205078,4303.717773,4320.128418,4266.025879,4247.820313,4263.077148,4229.615234,4248.461426,4226.410156,4536.025879,4469.615234,4388.205078,4469.871582,5913.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.042210,1703494184.042563,15.000000,0.000000,4246.025879,4316.153809,4303.717773,4310.128418,4263.461426,4247.436035,4266.025879,4237.948730,4276.794922,4243.589844,4544.871582,4474.358887,4407.179688,4475.384766,6199.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.050018,1703494184.050371,16.000000,0.000000,4251.666504,4322.692383,4308.974121,4313.205078,4267.948730,4248.974121,4267.179688,4250.384766,4297.692383,4272.436035,4558.077148,4479.102539,4428.589844,4482.051270,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.524945,0.391602,-0.566101,0.500610,0.981077,-0.163106,0.057136,-13.554919,-45.102413,64.897911
1703494184.057826,1703494184.058279,17.000000,0.000000,4250.512695,4322.820313,4310.128418,4320.128418,4266.153809,4246.282227,4263.846191,4248.717773,4290.641113,4271.922852,4560.000000,4473.461426,4429.230957,4479.487305,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.065635,1703494184.066088,18.000000,0.000000,4253.974121,4319.743652,4306.153809,4317.948730,4267.179688,4248.077148,4262.307617,4234.871582,4280.128418,4253.077148,4551.282227,4459.871582,4418.717773,4475.897461,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.073443,1703494184.073995,19.000000,0.000000,4261.282227,4320.256348,4306.025879,4320.256348,4274.102539,4250.512695,4263.205078,4230.384766,4278.846191,4246.153809,4539.102539,4453.846191,4416.025879,4476.153809,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.081251,1703494184.081803,20.000000,0.000000,4266.794922,4326.538574,4311.794922,4324.102539,4263.589844,4241.794922,4261.922852,4232.563965,4278.205078,4253.205078,4539.871582,4459.230957,4426.153809,4480.769043,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.524925,0.391785,-0.566101,0.500488,0.970822,-0.158222,0.045904,-13.499427,-45.108841,64.858116
1703494184.089059,1703494184.089711,21.000000,0.000000,4267.692383,4318.205078,4316.410156,4317.820313,4246.922852,4237.051270,4261.153809,4224.871582,4266.282227,4249.358887,4543.974121,4465.641113,4426.410156,4479.230957,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.096867,1703494184.097519,22.000000,0.000000,4267.051270,4310.256348,4319.358887,4321.922852,4256.025879,4245.897461,4262.307617,4212.948730,4249.230957,4229.615234,4531.538574,4467.436035,4409.487305,4475.769043,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.104675,1703494184.105427,23.000000,0.000000,4268.461426,4315.897461,4320.512695,4327.820313,4263.077148,4248.333496,4261.538574,4203.589844,4235.769043,4213.333496,4516.282227,4462.948730,4398.846191,4478.077148,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703494184.112483,1703494184.113235,24.000000,0.000000,4261.922852,4302.307617,4316.794922,4319.615234,4250.769043,4242.179688,4259.871582,4196.538574,4227.051270,4210.256348,4517.948730,4456.666504,4387.563965,4471.538574,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.524937,0.391846,-0.566101,0.500427,0.992309,-0.157246,0.043951,-13.366151,-44.914623,64.905640
1703494184.120291,1703494184.120943,25.000000,0.000000,4255.256348,4284.230957,4312.948730,4313.333496,4254.102539,4244.358887,4261.025879,4198.461426,4227.179688,4214.230957,4523.333496,4457.307617,4385.128418,4461.025879,0.000000,4.000000,81.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
