title:حلاق مسافة, start timestamp:1703153147.143048, stop timestamp:1703153158.433482, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1447      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703153147.143048,1703153147.143916,28.000000,0.000000,4238.589844,4225.769043,4306.794922,4270.384766,4199.871582,4203.974121,4320.128418,4219.743652,4193.846191,4184.743652,4570.769043,4477.179688,4375.384766,4497.179688,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,7.000000,0.000000,0.650327,0.397766,-0.522461,0.381958,0.976193,0.116713,0.130875,-17.398857,-30.372545,67.068481
1703153147.150856,1703153147.151624,29.000000,0.000000,4234.230957,4223.846191,4303.077148,4271.025879,4193.974121,4197.692383,4320.769043,4216.410156,4192.563965,4173.974121,4564.102539,4468.846191,4370.000000,4479.871582,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153147.158664,1703153147.159432,30.000000,0.000000,4237.820313,4231.666504,4304.230957,4279.743652,4204.102539,4203.333496,4318.077148,4218.461426,4198.333496,4178.846191,4567.820313,4471.025879,4379.358887,4474.102539,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153147.166472,1703153147.167140,31.000000,0.000000,4242.948730,4231.922852,4303.717773,4283.846191,4218.077148,4217.307617,4319.358887,4223.205078,4201.025879,4194.230957,4572.307617,4475.897461,4386.282227,4491.025879,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153147.174280,1703153147.174948,32.000000,0.000000,4233.077148,4220.000000,4297.820313,4273.205078,4213.717773,4210.897461,4321.922852,4224.230957,4199.102539,4190.384766,4569.230957,4472.179688,4380.512695,4488.461426,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,8.000000,0.000000,0.650303,0.397827,-0.522400,0.382019,0.984984,0.119155,0.134294,-17.225637,-30.351957,67.228302
1703153147.182089,1703153147.182656,33.000000,0.000000,4219.230957,4214.358887,4294.102539,4263.846191,4200.769043,4196.538574,4321.794922,4221.666504,4202.051270,4182.051270,4562.436035,4464.230957,4374.743652,4467.051270,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153147.189896,1703153147.190464,34.000000,0.000000,4215.128418,4217.436035,4290.128418,4260.256348,4200.641113,4200.128418,4317.307617,4217.820313,4201.922852,4185.256348,4557.436035,4458.974121,4369.102539,4460.897461,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153147.197704,1703153147.198172,35.000000,0.000000,4213.846191,4216.666504,4283.717773,4253.205078,4204.615234,4204.230957,4316.282227,4216.153809,4192.179688,4173.077148,4547.179688,4457.692383,4355.000000,4450.641113,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703153147.205513,1703153147.205980,36.000000,0.000000,4216.538574,4213.717773,4278.974121,4245.384766,4205.000000,4200.512695,4319.743652,4213.974121,4183.333496,4151.922852,4533.717773,4454.487305,4345.128418,4437.179688,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,9.000000,0.000000,0.650253,0.397827,-0.522461,0.382019,0.983518,0.118178,0.136247,-17.136408,-30.433430,67.188805
1703153147.213321,1703153147.213688,37.000000,0.000000,4219.871582,4211.410156,4282.436035,4244.487305,4205.769043,4204.615234,4318.077148,4213.205078,4182.692383,4155.384766,4537.948730,4452.307617,4353.717773,4455.128418,0.000000,4.000000,89.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
