title:حمزة مسافة, start timestamp:1703409465.558773, stop timestamp:1703409476.372914, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1386      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703409465.558773,1703409465.559264,79.000000,0.000000,4210.512695,4183.974121,4249.487305,4246.282227,4180.897461,4185.512695,4184.358887,4181.666504,4176.025879,4161.153809,4557.051270,4432.436035,4353.589844,4468.717773,6043.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.566581,1703409465.567172,80.000000,0.000000,4216.282227,4183.974121,4246.666504,4253.717773,4181.794922,4185.128418,4182.820313,4186.410156,4186.794922,4167.307617,4554.487305,4430.128418,4357.820313,4475.128418,6499.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,20.000000,0.000000,0.355696,0.485718,-0.540649,0.587585,0.950800,-0.291051,-0.048834,-7.955371,-48.086452,61.093719
1703409465.574389,1703409465.574980,81.000000,0.000000,4217.820313,4183.077148,4252.692383,4261.025879,4186.282227,4185.897461,4183.846191,4182.563965,4183.846191,4162.563965,4554.871582,4436.666504,4359.871582,4477.436035,7117.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.582197,1703409465.582888,82.000000,0.000000,4214.871582,4178.846191,4254.230957,4256.538574,4180.384766,4184.871582,4183.589844,4175.256348,4173.333496,4154.358887,4554.615234,4441.153809,4347.820313,4468.846191,5784.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.590005,1703409465.590696,83.000000,0.000000,4207.563965,4170.384766,4250.384766,4248.974121,4177.563965,4185.256348,4182.436035,4171.410156,4168.333496,4151.025879,4552.563965,4435.641113,4340.641113,4463.846191,6043.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.597813,1703409465.598604,84.000000,0.000000,4203.717773,4168.974121,4255.256348,4249.358887,4184.102539,4188.205078,4185.128418,4170.000000,4166.282227,4155.512695,4556.282227,4434.487305,4358.846191,4474.102539,6499.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.355715,0.485840,-0.540527,0.587585,0.929801,-0.288121,-0.065926,-7.959834,-48.161140,61.084351
1703409465.605621,1703409465.606412,85.000000,0.000000,4213.461426,4173.333496,4257.436035,4251.410156,4176.794922,4188.333496,4185.897461,4168.205078,4165.769043,4156.282227,4554.487305,4431.538574,4366.025879,4479.230957,7117.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.613429,1703409465.614120,86.000000,0.000000,4218.461426,4176.794922,4252.307617,4249.358887,4169.487305,4186.922852,4184.487305,4167.051270,4168.077148,4141.282227,4543.333496,4419.871582,4344.358887,4469.871582,5784.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.621237,1703409465.621928,87.000000,0.000000,4215.384766,4184.230957,4255.256348,4253.333496,4181.666504,4188.077148,4186.153809,4167.820313,4170.256348,4137.307617,4543.589844,4417.563965,4339.358887,4468.846191,6043.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703409465.629046,1703409465.629636,88.000000,0.000000,4218.077148,4187.179688,4264.358887,4264.230957,4193.077148,4190.000000,4189.230957,4167.692383,4170.000000,4158.205078,4555.769043,4428.333496,4355.641113,4478.333496,6499.000000,3.000000,70.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.355694,0.486206,-0.540344,0.587463,0.942986,-0.295935,-0.050787,-7.897183,-48.111691,61.059246
