title:شويكي مسافة, start timestamp:1703500529.422000, stop timestamp:1703500541.532270, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1552      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703500529.422000,1703500529.422325,27.000000,0.000000,4292.436035,4259.358887,4334.615234,4279.230957,4261.025879,4251.025879,4255.000000,4239.358887,4232.820313,4227.436035,4548.077148,4502.820313,4380.897461,4404.230957,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.429808,1703500529.430233,28.000000,0.000000,4297.820313,4264.487305,4343.717773,4281.282227,4265.384766,4251.538574,4260.256348,4248.717773,4233.589844,4224.102539,4557.051270,4511.282227,4393.333496,4402.307617,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.614450,0.294250,-0.634583,0.364929,0.989867,-0.098645,0.022952,-12.178036,-37.305069,62.061104
1703500529.437616,1703500529.438041,29.000000,0.000000,4307.820313,4262.820313,4348.077148,4283.077148,4258.846191,4247.692383,4260.128418,4244.230957,4231.025879,4227.436035,4555.769043,4513.077148,4392.563965,4413.333496,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.445424,1703500529.445849,30.000000,0.000000,4310.512695,4262.948730,4350.641113,4290.256348,4251.666504,4249.102539,4255.897461,4236.153809,4230.384766,4235.512695,4552.563965,4511.538574,4384.871582,4428.974121,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.453232,1703500529.453558,31.000000,0.000000,4306.794922,4261.153809,4350.641113,4294.230957,4243.205078,4242.051270,4248.589844,4233.589844,4229.487305,4237.563965,4554.102539,4508.461426,4385.384766,4418.205078,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.461040,1703500529.461366,32.000000,0.000000,4308.974121,4259.743652,4351.922852,4296.922852,4247.948730,4232.820313,4245.641113,4234.358887,4228.974121,4236.410156,4554.615234,4513.717773,4390.384766,4409.358887,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.614591,0.294067,-0.634460,0.365051,0.984007,-0.099622,0.016604,-12.243566,-37.324562,62.121662
1703500529.468848,1703500529.469074,33.000000,0.000000,4312.820313,4264.743652,4354.358887,4307.051270,4264.487305,4239.102539,4248.461426,4240.384766,4230.769043,4234.358887,4555.256348,4522.563965,4394.358887,4427.051270,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.476656,1703500529.476882,34.000000,0.000000,4311.666504,4266.282227,4357.179688,4312.307617,4263.461426,4248.461426,4248.717773,4246.538574,4232.436035,4233.205078,4558.333496,4523.846191,4397.563965,4436.282227,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.484465,1703500529.484590,35.000000,0.000000,4309.230957,4263.974121,4358.077148,4308.974121,4255.256348,4246.025879,4246.410156,4245.384766,4232.436035,4231.666504,4557.692383,4518.974121,4398.974121,4428.974121,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.492273,1703500529.492398,36.000000,0.000000,4308.974121,4269.230957,4354.615234,4317.436035,4264.230957,4249.487305,4250.897461,4244.102539,4231.025879,4228.333496,4555.384766,4520.000000,4397.948730,4428.589844,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.614649,0.293945,-0.634460,0.365051,0.999145,-0.112807,0.023929,-12.369209,-37.392105,62.109493
1703500529.500080,1703500529.500105,37.000000,0.000000,4305.512695,4273.461426,4344.615234,4326.410156,4263.461426,4256.153809,4260.769043,4245.897461,4232.692383,4236.282227,4553.846191,4522.051270,4395.512695,4420.384766,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.507889,1703500529.508014,38.000000,0.000000,4297.948730,4268.846191,4333.205078,4317.179688,4245.512695,4252.307617,4264.487305,4248.077148,4233.589844,4248.974121,4549.615234,4512.179688,4391.922852,4408.589844,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.515697,1703500529.515822,39.000000,0.000000,4293.717773,4264.102539,4324.871582,4309.358887,4249.102539,4256.538574,4265.897461,4248.205078,4231.794922,4248.974121,4548.077148,4506.153809,4395.000000,4413.589844,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.523505,1703500529.523730,40.000000,0.000000,4292.948730,4265.000000,4321.025879,4312.948730,4267.179688,4267.436035,4273.846191,4250.512695,4238.589844,4241.153809,4554.230957,4513.333496,4401.153809,4416.282227,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,10.000000,0.000000,0.614582,0.293823,-0.634583,0.365051,0.984495,-0.102552,0.023929,-12.215622,-37.452892,62.148544
1703500529.531313,1703500529.531538,41.000000,0.000000,4292.563965,4270.512695,4321.153809,4315.256348,4265.000000,4265.000000,4278.974121,4257.436035,4248.077148,4248.974121,4559.615234,4520.512695,4403.333496,4413.205078,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.539121,1703500529.539445,42.000000,0.000000,4298.077148,4277.436035,4323.846191,4321.025879,4262.051270,4260.769043,4278.846191,4264.230957,4252.051270,4263.974121,4563.974121,4527.051270,4411.538574,4430.641113,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.546929,1703500529.547253,43.000000,0.000000,4306.922852,4280.000000,4325.897461,4331.025879,4264.871582,4263.974121,4279.102539,4266.025879,4259.743652,4264.871582,4579.230957,4536.538574,4427.307617,4449.358887,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.554737,1703500529.555161,44.000000,0.000000,4310.641113,4279.487305,4328.974121,4333.333496,4254.615234,4263.077148,4276.153809,4266.282227,4265.256348,4268.333496,4589.487305,4541.666504,4431.410156,4439.871582,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,11.000000,0.000000,0.614548,0.293762,-0.634644,0.365051,0.992309,-0.111342,0.024905,-12.227393,-37.490936,62.200356
1703500529.562545,1703500529.562969,45.000000,0.000000,4308.461426,4280.769043,4327.436035,4332.948730,4253.717773,4260.512695,4273.461426,4264.487305,4254.743652,4267.820313,4575.256348,4539.487305,4417.692383,4430.641113,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.570353,1703500529.570877,46.000000,0.000000,4302.179688,4277.692383,4315.384766,4334.230957,4266.282227,4262.307617,4274.871582,4256.538574,4237.307617,4241.410156,4554.615234,4527.179688,4403.077148,4431.410156,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.578161,1703500529.578685,47.000000,0.000000,4295.641113,4273.333496,4310.897461,4334.102539,4268.333496,4266.666504,4276.666504,4251.410156,4231.025879,4223.846191,4552.436035,4513.077148,4398.717773,4423.205078,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703500529.585969,1703500529.586393,48.000000,0.000000,4293.205078,4275.641113,4317.051270,4333.846191,4269.358887,4273.974121,4277.820313,4256.282227,4235.769043,4239.487305,4557.051270,4514.871582,4397.436035,4410.384766,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,12.000000,0.000000,0.614548,0.293762,-0.634644,0.365051,1.001099,-0.110365,0.015139,-12.171320,-37.425179,62.230320
1703500529.593777,1703500529.594201,49.000000,0.000000,4292.436035,4278.077148,4313.589844,4328.717773,4276.538574,4278.205078,4278.846191,4266.922852,4246.410156,4237.948730,4550.769043,4520.000000,4394.871582,4408.974121,0.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
