title:صنجي نعم, start timestamp:1703492054.100003, stop timestamp:1703492064.945381, headset type:EPOCX, headset serial:E50206EF, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:1390      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1703492054.100003,1703492054.100308,4.000000,0.000000,4283.974121,4311.794922,4368.461426,4350.000000,4300.256348,4292.179688,4328.974121,4296.538574,4312.692383,4355.641113,4595.256348,4552.820313,4463.077148,4543.846191,5268.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.331042,0.615295,-0.294800,0.651855,0.987425,0.011720,0.133805,-17.979546,-37.910172,66.934181
1703492054.107811,1703492054.108016,5.000000,0.000000,4295.897461,4331.025879,4362.820313,4361.025879,4296.410156,4293.717773,4327.436035,4283.717773,4310.384766,4334.743652,4586.922852,4543.846191,4455.769043,4538.205078,5208.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492054.115619,1703492054.115824,6.000000,0.000000,4301.410156,4328.461426,4362.307617,4359.487305,4306.410156,4293.333496,4327.563965,4285.256348,4316.538574,4369.230957,4598.846191,4550.256348,4478.717773,4552.051270,3662.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492054.123427,1703492054.123532,7.000000,0.000000,4294.487305,4316.666504,4362.307617,4342.820313,4307.307617,4296.282227,4329.871582,4288.077148,4305.384766,4380.641113,4597.307617,4549.358887,4481.025879,4550.897461,5158.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492054.131235,1703492054.131340,8.000000,0.000000,4292.051270,4327.563965,4356.282227,4343.461426,4297.820313,4294.615234,4328.974121,4269.743652,4281.666504,4338.461426,4580.769043,4537.948730,4459.487305,4534.871582,5298.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.331255,0.615356,-0.294434,0.651855,0.983030,-0.000488,0.136247,-17.981592,-37.869152,67.007431
1703492054.139043,1703492054.139048,9.000000,0.000000,4302.307617,4324.487305,4354.358887,4350.769043,4294.615234,4283.333496,4322.948730,4249.358887,4272.563965,4336.794922,4575.384766,4534.615234,4468.974121,4537.948730,5440.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492054.146851,1703492054.146956,10.000000,0.000000,4302.820313,4301.794922,4358.846191,4344.230957,4298.333496,4280.000000,4321.410156,4252.179688,4277.948730,4360.641113,4583.333496,4538.461426,4481.282227,4538.461426,5976.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492054.154659,1703492054.154764,11.000000,0.000000,4294.230957,4305.384766,4355.000000,4339.615234,4297.692383,4283.717773,4323.846191,4260.897461,4276.794922,4338.077148,4582.051270,4538.717773,4462.692383,4529.743652,6322.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703492054.162467,1703492054.162672,12.000000,0.000000,4295.512695,4314.358887,4350.256348,4341.922852,4297.563965,4281.410156,4323.461426,4259.230957,4270.769043,4313.077148,4574.615234,4537.179688,4453.846191,4538.589844,6805.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.000000,0.000000,0.331529,0.615173,-0.294373,0.651917,0.986937,-0.007325,0.130387,-18.016766,-38.015572,66.956688
1703492054.170275,1703492054.170481,13.000000,0.000000,4296.410156,4298.974121,4350.256348,4335.384766,4296.025879,4277.820313,4321.538574,4260.769043,4270.128418,4322.051270,4568.461426,4526.794922,4455.128418,4538.846191,7309.000000,4.000000,87.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
